at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,GÜLZEMİN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %44, on-grup %50, onde %0.",1/18 (6%) | 8/18 (44%) | 9/18 (50%) | 0/18 (0%),1/18 (6%),8/18 (44%),9/18 (50%),0/18 (0%),https://www.yenibeygir.com/at/102762/gulzemin,102762
2,ÇUHA GÜLÜ,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %39, on-grup %28, onde %0.",6/18 (33%) | 7/18 (39%) | 5/18 (28%) | 0/18 (0%),6/18 (33%),7/18 (39%),5/18 (28%),0/18 (0%),https://www.yenibeygir.com/at/102994/cuha-gulu,102994
3,CAVİDAN HATUN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %15, on-grup %35, onde %40.",2/20 (10%) | 3/20 (15%) | 7/20 (35%) | 8/20 (40%),2/20 (10%),3/20 (15%),7/20 (35%),8/20 (40%),https://www.yenibeygir.com/at/101469/cavidan-hatun,101469
4,GÜLGİBİ YARİM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://www.yenibeygir.com/at/103259/gulgibi-yarim,103259
5,HİSARLI KIZ,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %67, on-grup %17, onde %0.",1/6 (17%) | 4/6 (67%) | 1/6 (17%) | 0/6 (0%),1/6 (17%),4/6 (67%),1/6 (17%),0/6 (0%),https://www.yenibeygir.com/at/102751/hisarli-kiz,102751
6,KÜÇÜK KARTAL,Karakteri Belli Değil,,"4 stil kutucugu birbirine cok yakin. Dagilim: arkada %22, arka-grup %22, on-grup %33, onde %22.",2/9 (22%) | 2/9 (22%) | 3/9 (33%) | 2/9 (22%),2/9 (22%),2/9 (22%),3/9 (33%),2/9 (22%),https://www.yenibeygir.com/at/102559/kucuk-kartal,102559
7,TOYPINAR,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %28, on-grup %12, onde %0.",15/25 (60%) | 7/25 (28%) | 3/25 (12%) | 0/25 (0%),15/25 (60%),7/25 (28%),3/25 (12%),0/25 (0%),https://www.yenibeygir.com/at/101963/toypinar,101963
8,TÜRKÖREN,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %50, onde %0.",1/2 (50%) | 0/2 (0%) | 1/2 (50%) | 0/2 (0%),1/2 (50%),0/2 (0%),1/2 (50%),0/2 (0%),https://www.yenibeygir.com/at/102532/turkoren,102532
9,YARSELİ,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %50, on-grup %25, onde %0.",2/8 (25%) | 4/8 (50%) | 2/8 (25%) | 0/8 (0%),2/8 (25%),4/8 (50%),2/8 (25%),0/8 (0%),https://www.yenibeygir.com/at/102277/yarseli,102277
1,ÇIĞGİBİ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %38, on-grup %38, onde %6.",3/16 (19%) | 6/16 (38%) | 6/16 (38%) | 1/16 (6%),3/16 (19%),6/16 (38%),6/16 (38%),1/16 (6%),https://www.yenibeygir.com/at/101346/ciggibi,101346
2,GÜMÜŞ KARANFİL,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %60, on-grup %40, onde %0.",0/5 (0%) | 3/5 (60%) | 2/5 (40%) | 0/5 (0%),0/5 (0%),3/5 (60%),2/5 (40%),0/5 (0%),https://www.yenibeygir.com/at/104917/gumus-karanfil,104917
