At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
TÜRKÖREN,,7.46,1400,Kum,55,56.6,Adana,8,102532,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %50, onde %0.",1/2 (50%) | 0/2 (0%) | 1/2 (50%) | 0/2 (0%),https://www.yenibeygir.com/at/102532/turkoren,bulundu
HİSARLI KIZ,,7.53,1700,Kum,58,52.8,Şanlıurfa,5,102751,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %67, on-grup %17, onde %0.",1/6 (17%) | 4/6 (67%) | 1/6 (17%) | 0/6 (0%),https://www.yenibeygir.com/at/102751/hisarli-kiz,bulundu
ÇUHA GÜLÜ,,7.59,1300,Çim,60,58.2,Adana,2,102994,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %39, on-grup %28, onde %0.",6/18 (33%) | 7/18 (39%) | 5/18 (28%) | 0/18 (0%),https://www.yenibeygir.com/at/102994/cuha-gulu,bulundu
KÜÇÜK KARTAL,,7.59,1400,Kum,58,58,Adana,6,102559,Karakteri Belli Değil,,"4 stil kutucugu birbirine cok yakin. Dagilim: arkada %22, arka-grup %22, on-grup %33, onde %22.",2/9 (22%) | 2/9 (22%) | 3/9 (33%) | 2/9 (22%),https://www.yenibeygir.com/at/102559/kucuk-kartal,bulundu
GÜLZEMİN,,7.61,1300,Çim,60,56,Adana,1,102762,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %44, on-grup %50, onde %0.",1/18 (6%) | 8/18 (44%) | 9/18 (50%) | 0/18 (0%),https://www.yenibeygir.com/at/102762/gulzemin,bulundu
CAVİDAN HATUN,,7.63,1300,Çim,56,56,Adana,3,101469,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %15, on-grup %35, onde %40.",2/20 (10%) | 3/20 (15%) | 7/20 (35%) | 8/20 (40%),https://www.yenibeygir.com/at/101469/cavidan-hatun,bulundu
YARSELİ,,7.66,1400,Kum,58,52,Adana,9,102277,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %50, on-grup %25, onde %0.",2/8 (25%) | 4/8 (50%) | 2/8 (25%) | 0/8 (0%),https://www.yenibeygir.com/at/102277/yarseli,bulundu
TOYPINAR,,8.70,1700,Kum,58,58,Şanlıurfa,7,101963,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %28, on-grup %12, onde %0.",15/25 (60%) | 7/25 (28%) | 3/25 (12%) | 0/25 (0%),https://www.yenibeygir.com/at/101963/toypinar,bulundu
GÜLGİBİ YARİM,,geçersiz,,,58,,,4,103259,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://www.yenibeygir.com/at/103259/gulgibi-yarim,bulundu
,2. Koşu,,,,,,,,,,,,,,
ÇIĞGİBİ,,7.50,1700,Kum,60,60,Şanlıurfa,1,101346,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %38, on-grup %38, onde %6.",3/16 (19%) | 6/16 (38%) | 6/16 (38%) | 1/16 (6%),https://www.yenibeygir.com/at/101346/ciggibi,bulundu
GÖKNAZ ECE,,7.52,1400,Kum,56,56.9,Adana,7,102054,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %56, on-grup %22, onde %0.",2/9 (22%) | 5/9 (56%) | 2/9 (22%) | 0/9 (0%),https://www.yenibeygir.com/at/102054/goknaz-ece,bulundu
RODİGÜLÜ,,7.61,1300,Çim,60,58,Adana,4,102642,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %22, on-grup %67, onde %6.",1/18 (6%) | 4/18 (22%) | 12/18 (67%) | 1/18 (6%),https://www.yenibeygir.com/at/102642/rodigulu,bulundu
