date,city,city_id,label,combination,amount,amount_text,race_count,url,races_json
2026-01-16,Izmir,2,6'LI GANYAN,"2/4/4/2/1/8,12",1117.68,"1.117,68 ₺",6,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=16%2F01%2F2026&SehirAdi=Izmir,"[{""race_index"": 1, ""race_id"": ""222536"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 1.58.31"", ""winner"": ""MİGRAKOM BEYİ"", ""winner_ganyan"": ""6,85""}, {""race_index"": 2, ""race_id"": ""222541"", ""config"": ""Handikap 16 /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 1.58.31"", ""winner"": ""NORTHERN SHOT"", ""winner_ganyan"": ""3,70""}, {""race_index"": 3, ""race_id"": ""222544"", ""config"": ""KV-6/DHÖW , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 61 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.10.52"", ""winner"": ""DÜNDARZADE"", ""winner_ganyan"": ""1,80""}, {""race_index"": 4, ""race_id"": ""222543"", ""config"": ""ŞARTLI 4/DHÖW /X , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.19.36"", ""winner"": ""OKTAY KAHYA"", ""winner_ganyan"": ""2,10""}, {""race_index"": 5, ""race_id"": ""222537"", ""config"": ""ŞARTLI 3 /X , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""FROST CAT"", ""winner_ganyan"": ""3,40""}, {""race_index"": 6, ""race_id"": ""222538"", ""config"": ""SATIŞ 1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""OBRADA"", ""winner_ganyan"": ""2,05""}]"
2026-01-18,Izmir,2,1. 6'LI GANYAN,"8/3,8/3,10/6/1/1",517.56,"517,56 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=18%2F01%2F2026&SehirAdi=Izmir,"[{""race_index"": 1, ""race_id"": ""222611"", ""config"": ""ŞARTLI 1 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""HOLY"", ""winner_ganyan"": ""4,45""}, {""race_index"": 2, ""race_id"": ""222613"", ""config"": ""ŞARTLI 3 /X-1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.11.25"", ""winner"": ""DRAGON PULSE"", ""winner_ganyan"": ""1,30""}, {""race_index"": 3, ""race_id"": ""222610"", ""config"": ""ŞARTLI 1 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""TOLPER"", ""winner_ganyan"": ""1,85""}, {""race_index"": 4, ""race_id"": ""222615"", ""config"": ""Handikap 14/DHÖ /H2 , 4 Yaşlı Araplar,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 2.10.52"", ""winner"": ""CANYAMAN"", ""winner_ganyan"": ""5,70""}, {""race_index"": 5, ""race_id"": ""222616"", ""config"": ""G 3/DHT , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 61 kg, \r\n                    1600\r\n\r\nKum , E.İ.D. : 1.48.55"", ""winner"": ""BEYAZIŞIK"", ""winner_ganyan"": ""1,55""}, {""race_index"": 6, ""race_id"": ""222614"", ""config"": ""Kısa Vade Handikap 24 /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    2100\r\n\r\nKum , E.İ.D. : 2.12.31"", ""winner"": ""DROWZEE"", ""winner_ganyan"": ""2,70""}, {""race_index"": 7, ""race_id"": ""222612"", ""config"": ""ŞARTLI 5 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.11.25"", ""winner"": ""KIZILCAHAMAM BEYİ"", ""winner_ganyan"": ""1,20""}, {""race_index"": 8, ""race_id"": ""222617"", ""config"": ""Handikap 14/DHÖ /H1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""BER KEMAL"", ""winner_ganyan"": ""4,45""}]"
2026-01-18,Izmir,2,2. 6'LI GANYAN,"3,10/6/1/1/3,6/7",631.75,"631,75 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=18%2F01%2F2026&SehirAdi=Izmir,"[{""race_index"": 1, ""race_id"": ""222611"", ""config"": ""ŞARTLI 1 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""HOLY"", ""winner_ganyan"": ""4,45""}, {""race_index"": 2, ""race_id"": ""222613"", ""config"": ""ŞARTLI 3 /X-1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.11.25"", ""winner"": ""DRAGON PULSE"", ""winner_ganyan"": ""1,30""}, {""race_index"": 3, ""race_id"": ""222610"", ""config"": ""ŞARTLI 1 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""TOLPER"", ""winner_ganyan"": ""1,85""}, {""race_index"": 4, ""race_id"": ""222615"", ""config"": ""Handikap 14/DHÖ /H2 , 4 Yaşlı Araplar,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 2.10.52"", ""winner"": ""CANYAMAN"", ""winner_ganyan"": ""5,70""}, {""race_index"": 5, ""race_id"": ""222616"", ""config"": ""G 3/DHT , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 61 kg, \r\n                    1600\r\n\r\nKum , E.İ.D. : 1.48.55"", ""winner"": ""BEYAZIŞIK"", ""winner_ganyan"": ""1,55""}, {""race_index"": 6, ""race_id"": ""222614"", ""config"": ""Kısa Vade Handikap 24 /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    2100\r\n\r\nKum , E.İ.D. : 2.12.31"", ""winner"": ""DROWZEE"", ""winner_ganyan"": ""2,70""}, {""race_index"": 7, ""race_id"": ""222612"", ""config"": ""ŞARTLI 5 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.11.25"", ""winner"": ""KIZILCAHAMAM BEYİ"", ""winner_ganyan"": ""1,20""}, {""race_index"": 8, ""race_id"": ""222617"", ""config"": ""Handikap 14/DHÖ /H1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""BER KEMAL"", ""winner_ganyan"": ""4,45""}]"
2026-01-29,Izmir,2,1. 6'LI GANYAN,"2/3/2/7/1,6/3",141.18,"141,18 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=29%2F01%2F2026&SehirAdi=Izmir,"[{""race_index"": 1, ""race_id"": ""222824"", ""config"": ""Handikap 14 /H2 , 3 Yaşlı İngilizler,\r\n\r\n\r\n                    1600\r\n\r\nKum , E.İ.D. : 1.37.63"", ""winner"": ""KUZEYİN KRALI"", ""winner_ganyan"": ""2,15""}, {""race_index"": 2, ""race_id"": ""222819"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""MOĞOL"", ""winner_ganyan"": ""1,20""}, {""race_index"": 3, ""race_id"": ""222827"", ""config"": ""Handikap 15 /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    2000\r\n\r\nKum , E.İ.D. : 2.05.51"", ""winner"": ""EL CACİQUE"", ""winner_ganyan"": ""2,90""}, {""race_index"": 4, ""race_id"": ""222830"", ""config"": ""Handikap 17/DHT /H1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""ŞİMŞEKKIRAN"", ""winner_ganyan"": ""1,55""}, {""race_index"": 5, ""race_id"": ""222828"", ""config"": ""Handikap 15/DHÖW/Dişi /H2 , 4 Yaşlı Araplar,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 2.10.52"", ""winner"": ""KIVILCIM ATEŞİ"", ""winner_ganyan"": ""1,25""}, {""race_index"": 6, ""race_id"": ""222829"", ""config"": ""ŞARTLI 3/DHÖW /X-1 , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 60.50 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""HOLİGAN"", ""winner_ganyan"": ""3,35""}, {""race_index"": 7, ""race_id"": ""222820"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""JANN POLL"", ""winner_ganyan"": ""1,50""}, {""race_index"": 8, ""race_id"": ""222826"", ""config"": ""SATIŞ 1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 60 kg, \r\n                    2000\r\n\r\nKum , E.İ.D. : 2.05.51"", ""winner"": ""OBRADA"", ""winner_ganyan"": ""5,70""}]"
2026-01-29,Izmir,2,2. 6'LI GANYAN,"2/7/1,6/3/2,3,8/9",1087.56,"1.087,56 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=29%2F01%2F2026&SehirAdi=Izmir,"[{""race_index"": 1, ""race_id"": ""222824"", ""config"": ""Handikap 14 /H2 , 3 Yaşlı İngilizler,\r\n\r\n\r\n                    1600\r\n\r\nKum , E.İ.D. : 1.37.63"", ""winner"": ""KUZEYİN KRALI"", ""winner_ganyan"": ""2,15""}, {""race_index"": 2, ""race_id"": ""222819"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""MOĞOL"", ""winner_ganyan"": ""1,20""}, {""race_index"": 3, ""race_id"": ""222827"", ""config"": ""Handikap 15 /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    2000\r\n\r\nKum , E.İ.D. : 2.05.51"", ""winner"": ""EL CACİQUE"", ""winner_ganyan"": ""2,90""}, {""race_index"": 4, ""race_id"": ""222830"", ""config"": ""Handikap 17/DHT /H1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""ŞİMŞEKKIRAN"", ""winner_ganyan"": ""1,55""}, {""race_index"": 5, ""race_id"": ""222828"", ""config"": ""Handikap 15/DHÖW/Dişi /H2 , 4 Yaşlı Araplar,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 2.10.52"", ""winner"": ""KIVILCIM ATEŞİ"", ""winner_ganyan"": ""1,25""}, {""race_index"": 6, ""race_id"": ""222829"", ""config"": ""ŞARTLI 3/DHÖW /X-1 , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 60.50 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""HOLİGAN"", ""winner_ganyan"": ""3,35""}, {""race_index"": 7, ""race_id"": ""222820"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""JANN POLL"", ""winner_ganyan"": ""1,50""}, {""race_index"": 8, ""race_id"": ""222826"", ""config"": ""SATIŞ 1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 60 kg, \r\n                    2000\r\n\r\nKum , E.İ.D. : 2.05.51"", ""winner"": ""OBRADA"", ""winner_ganyan"": ""5,70""}]"
2026-01-31,Adana,1,2. 6'LI GANYAN,"3,4/5,6,7/4/10/3/5,6",300.87,"300,87 ₺",9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=31%2F01%2F2026&SehirAdi=Adana,"[{""race_index"": 1, ""race_id"": ""222855"", ""config"": ""Handikap 14/DHÖW /H1/Y1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""FIRTINAYÜREK"", ""winner_ganyan"": ""2,60""}, {""race_index"": 2, ""race_id"": ""222851"", ""config"": ""Maiden/Satış/DHÖW , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1300\r\n\r\nKum , E.İ.D. : 1.28.54"", ""winner"": ""YOSUNKAYA"", ""winner_ganyan"": ""3,70""}, {""race_index"": 3, ""race_id"": ""222854"", ""config"": ""ŞARTLI 5 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 60 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.00.00"", ""winner"": ""DRAGON KINGDOM"", ""winner_ganyan"": ""5,55""}, {""race_index"": 4, ""race_id"": ""222858"", ""config"": ""ŞARTLI 4/DHÖW/Dişi , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.11.74"", ""winner"": ""ATAKLI KIZ"", ""winner_ganyan"": ""3,40""}, {""race_index"": 5, ""race_id"": ""222856"", ""config"": ""ŞARTLI 4/Dişi , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1500\r\n\r\nKum , E.İ.D. : 1.31.83"", ""winner"": ""MADAM ORACLE"", ""winner_ganyan"": ""1,90""}, {""race_index"": 6, ""race_id"": ""222853"", ""config"": ""G 3 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.53"", ""winner"": ""SILENT TREATMENT"", ""winner_ganyan"": ""1,90""}, {""race_index"": 7, ""race_id"": ""222852"", ""config"": ""Maiden/Satış/DHÖW , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1300\r\n\r\nKum , E.İ.D. : 1.28.54"", ""winner"": ""UZUN YAZ"", ""winner_ganyan"": ""3,00""}, {""race_index"": 8, ""race_id"": ""222857"", ""config"": ""KV-8/DHÖW , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 60.50 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""KATI ZAMANI"", ""winner_ganyan"": ""1,05""}, {""race_index"": 9, ""race_id"": ""222850"", ""config"": ""Maiden/Satış/DHÖW , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1300\r\n\r\nKum , E.İ.D. : 1.28.54"", ""winner"": ""TOYHAN BEY"", ""winner_ganyan"": ""1,95""}]"
2026-02-01,Adana,1,1. 6'LI GANYAN,"2,5/7/5/3/1,6/6",1080.25,"1.080,25 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=01%2F02%2F2026&SehirAdi=Adana,"[{""race_index"": 1, ""race_id"": ""222874"", ""config"": ""Handikap 15 /H2 , 3 Yaşlı İngilizler,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.53"", ""winner"": ""SHADOW SOLDIER"", ""winner_ganyan"": ""1,50""}, {""race_index"": 2, ""race_id"": ""222867"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.00.00"", ""winner"": ""VICTOR THE BRAVE"", ""winner_ganyan"": ""3,90""}, {""race_index"": 3, ""race_id"": ""222878"", ""config"": ""Handikap 15/Dişi /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.53"", ""winner"": ""EMİRAY DAFNE"", ""winner_ganyan"": ""2,00""}, {""race_index"": 4, ""race_id"": ""222877"", ""config"": ""Handikap 15/DHÖW/Dişi /H1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    2100\r\n\r\nKum , E.İ.D. : 2.28.74"", ""winner"": ""HOŞGÜLHAT"", ""winner_ganyan"": ""4,90""}, {""race_index"": 5, ""race_id"": ""222868"", ""config"": ""Maiden , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.00.00"", ""winner"": ""CALVADOS"", ""winner_ganyan"": ""1,10""}, {""race_index"": 6, ""race_id"": ""222875"", ""config"": ""KV-9 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1500\r\n\r\nKum , E.İ.D. : 1.31.83"", ""winner"": ""SUPERBELLA"", ""winner_ganyan"": ""1,80""}, {""race_index"": 7, ""race_id"": ""222879"", ""config"": ""ŞARTLI 4/DHÖW , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 60.50 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""GÜRAYHAN"", ""winner_ganyan"": ""3,70""}, {""race_index"": 8, ""race_id"": ""222881"", ""config"": ""Handikap 14/DHÖW /H2 , 4 Yaşlı Araplar,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 2.11.74"", ""winner"": ""BOĞAZİÇİ BEYİ"", ""winner_ganyan"": ""7,50""}]"
2026-02-01,Izmir,2,1. 6'LI GANYAN,"2/2/1/1/6/1,4",571.75,"571,75 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=01%2F02%2F2026&SehirAdi=Izmir,"[{""race_index"": 1, ""race_id"": ""222869"", ""config"": ""Maiden/DHÖW , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""ALACA HÖYÜK"", ""winner_ganyan"": ""1,35""}, {""race_index"": 2, ""race_id"": ""222872"", ""config"": ""ŞARTLI 5 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""BLACK SHARK"", ""winner_ganyan"": ""1,35""}, {""race_index"": 3, ""race_id"": ""222883"", ""config"": ""KV-6/DHÖW , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 60.50 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""SADIK AĞANIN OĞLU"", ""winner_ganyan"": ""1,60""}, {""race_index"": 4, ""race_id"": ""222870"", ""config"": ""Maiden/DHÖW , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.32.97"", ""winner"": ""KÜLÜNÇ AĞASI"", ""winner_ganyan"": ""2,60""}, {""race_index"": 5, ""race_id"": ""222882"", ""config"": ""ŞARTLI 4/DHÖW /X , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    2000\r\n\r\nKum , E.İ.D. : 2.17.95"", ""winner"": ""YILMA TAY"", ""winner_ganyan"": ""6,05""}, {""race_index"": 6, ""race_id"": ""222873"", ""config"": ""KV-8 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 60 kg, \r\n                    2000\r\n\r\nKum , E.İ.D. : 2.05.51"", ""winner"": ""THE PROTECTER"", ""winner_ganyan"": ""1,05""}, {""race_index"": 7, ""race_id"": ""222871"", ""config"": ""KV-6/Dişi , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 1.58.31"", ""winner"": ""QUEEN SEV"", ""winner_ganyan"": ""2,45""}, {""race_index"": 8, ""race_id"": ""222880"", ""config"": ""ŞARTLI 4/Dişi /X-1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.15"", ""winner"": ""DUYARLI"", ""winner_ganyan"": ""9,75""}]"
2026-02-07,Adana,1,1. 6'LI GANYAN,"4/1,4/5/4/1/5",685.12,"685,12 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=07%2F02%2F2026&SehirAdi=Adana,"[{""race_index"": 1, ""race_id"": ""222998"", ""config"": ""Handikap 15 /H2 , 3 Yaşlı İngilizler,\r\n\r\n\r\n                    1900\r\n\r\nKum , E.İ.D. : 2.00.00"", ""winner"": ""ŞAMAR"", ""winner_ganyan"": ""1,20""}, {""race_index"": 2, ""race_id"": ""223001"", ""config"": ""ŞARTLI 5/DHÖW/Y2 , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.11.74"", ""winner"": ""İSMET ABİ"", ""winner_ganyan"": ""1,20""}, {""race_index"": 3, ""race_id"": ""223002"", ""config"": ""ŞARTLI 3/DHÖW /X-1 , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 61 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.11.74"", ""winner"": ""KENT RÜZGARI"", ""winner_ganyan"": ""1,70""}, {""race_index"": 4, ""race_id"": ""222991"", ""config"": ""Maiden/Dişi , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.12.20"", ""winner"": ""DİNEDA"", ""winner_ganyan"": ""25,45""}, {""race_index"": 5, ""race_id"": ""222999"", ""config"": ""ŞARTLI 5 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.12.20"", ""winner"": ""HALLELUKA"", ""winner_ganyan"": ""1,05""}, {""race_index"": 6, ""race_id"": ""223000"", ""config"": ""KV-8/DHT , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""SERGÖKÇE"", ""winner_ganyan"": ""1,15""}, {""race_index"": 7, ""race_id"": ""222990"", ""config"": ""Maiden/Dişi , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1200\r\n\r\nKum , E.İ.D. : 1.12.20"", ""winner"": ""BALİNKA"", ""winner_ganyan"": ""3,65""}, {""race_index"": 8, ""race_id"": ""223003"", ""config"": ""SATIŞ 1/DHÖW , 4 ve Yukarı Araplar,\r\n\r\n58 kg, 60.50 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""DUMAN"", ""winner_ganyan"": ""3,05""}]"
2026-02-08,Adana,1,1. 6'LI GANYAN,5/4/1/2/1/1,247.56,"247,56 ₺",8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=08%2F02%2F2026&SehirAdi=Adana,"[{""race_index"": 1, ""race_id"": ""223005"", ""config"": ""Maiden/DHÖ/Dişi , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""KIRMIZI PERDE"", ""winner_ganyan"": ""2,05""}, {""race_index"": 2, ""race_id"": ""223011"", ""config"": ""ŞARTLI 3 , 3 Yaşlı İngilizler,\r\n\r\n58 kg, \r\n                    1900\r\n\r\nKum , E.İ.D. : 2.00.00"", ""winner"": ""FIRE OF TYGAR"", ""winner_ganyan"": ""2,55""}, {""race_index"": 3, ""race_id"": ""223014"", ""config"": ""Handikap 14/DHÖW /H1 , 4 ve Yukarı Araplar,\r\n\r\n\r\n                    2100\r\n\r\nKum , E.İ.D. : 2.28.74"", ""winner"": ""TABİP BEY"", ""winner_ganyan"": ""5,30""}, {""race_index"": 4, ""race_id"": ""223013"", ""config"": ""Handikap 15/Dişi /H2 , 3 Yaşlı İngilizler,\r\n\r\n\r\n                    1500\r\n\r\nKum , E.İ.D. : 1.31.83"", ""winner"": ""GRINGA"", ""winner_ganyan"": ""1,25""}, {""race_index"": 5, ""race_id"": ""223016"", ""config"": ""ŞARTLI 3 /X-1 , 4 ve Yukarı İngilizler,\r\n\r\n58 kg, 59 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.24.53"", ""winner"": ""MY STAR"", ""winner_ganyan"": ""1,30""}, {""race_index"": 6, ""race_id"": ""223015"", ""config"": ""KV-8/DHÖW , 4 ve Yukarı Araplar,\r\n\r\n57.50 kg, 61 kg, \r\n                    2000\r\n\r\nKum , E.İ.D. : 2.20.77"", ""winner"": ""KATI ZAMANI"", ""winner_ganyan"": ""1,05""}, {""race_index"": 7, ""race_id"": ""223004"", ""config"": ""Maiden/DHÖ/Dişi , 4 Yaşlı Araplar,\r\n\r\n58 kg, \r\n                    1400\r\n\r\nKum , E.İ.D. : 1.34.68"", ""winner"": ""ZEMHERİ AY"", ""winner_ganyan"": ""7,90""}, {""race_index"": 8, ""race_id"": ""223018"", ""config"": ""Handikap 14 /H1 , 4 ve Yukarı İngilizler,\r\n\r\n\r\n                    2000\r\n\r\nKum , E.İ.D. : 2.06.32"", ""winner"": ""SIR AT"", ""winner_ganyan"": ""3,10""}]"
