segment_type,segment,count,under_1750_rate,avg_amount,total_amount
month,2026-02,41,29.27%,76299.71,3128288.07
weekday,Pazar,100,23.00%,196408.37,19640837.21
month,2025-05,62,20.97%,54013.01,3348806.52
city,Izmir,92,19.57%,127487.25,11728827.34
city,Adana,84,19.05%,231642.56,19457975.27
month,2026-04,16,18.75%,42432.45,678919.22
city,Antalya,39,17.95%,48717.68,1899989.34
weekday,Cuma,71,15.49%,67997.54,4827825.31
month,2025-04,21,14.29%,81236.38,1705963.94
weekday,Sali,86,13.95%,163343.90,14047575.83
month,2026-03,43,13.95%,450151.39,19356509.85
month,2025-06,60,13.33%,230422.46,13825347.61
weekday,Cumartesi,99,13.13%,171258.91,16954632.23
month,2025-07,63,12.70%,112601.44,7093890.63
city,Bursa,71,12.68%,67757.96,4810815.35
city,Ankara,83,12.05%,77218.35,6409122.95
month,2025-12,42,11.90%,52213.76,2192978.09
month,2026-01,35,11.43%,82508.77,2887806.91
weekday,Persembe,83,10.84%,93206.08,7736104.72
month,2025-10,58,10.34%,156677.62,9087302.13
weekday,Pazartesi,87,10.34%,374696.45,32598590.88
city,Istanbul,126,10.32%,181962.95,22927331.80
month,2025-08,60,10.00%,281261.48,16875688.89
city,Elazig,44,9.09%,331173.33,14571626.33
month,2025-11,51,7.84%,313400.82,15983441.70
city,Urfa,44,6.82%,389271.14,17127930.28
city,Kocaeli,30,6.67%,255862.66,7675879.70
month,2025-09,61,6.56%,171222.21,10444554.80
weekday,Carsamba,87,5.75%,124183.13,10803932.18
