date,year_month,weekday_no,weekday,city,city_id,label,combination,amount,amount_text,under_1750,race_count,url
2025-04-20,2025-04,6,Pazar,Adana,1,1. 6'LI GANYAN,11/2/7/1/12/2,1577.1,"1.577,10 ₺",1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=20%2F04%2F2025&SehirAdi=Adana
2025-04-20,2025-04,6,Pazar,Istanbul,3,1. 6'LI GANYAN,11/7/3/1/10/9,58309.86,"58.309,86 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=20%2F04%2F2025&SehirAdi=Istanbul
2025-04-21,2025-04,0,Pazartesi,Bursa,4,1. 6'LI GANYAN,3/3/3/3/4/10,856679.13,"856.679,13 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=21%2F04%2F2025&SehirAdi=Bursa
2025-04-21,2025-04,0,Pazartesi,Urfa,6,1. 6'LI GANYAN,"1,4/2/10/2/9/11",1954.27,"1.954,27 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=21%2F04%2F2025&SehirAdi=Urfa
2025-04-22,2025-04,1,Sali,Antalya,10,1. 6'LI GANYAN,5/2/8/5/9/2,17715.33,"17.715,33 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=10&QueryParameter_Tarih=22%2F04%2F2025&SehirAdi=Antalya
2025-04-22,2025-04,1,Sali,Elazig,7,1. 6'LI GANYAN,"1,12/1/7/7,8/1/2",15898.65,"15.898,65 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=22%2F04%2F2025&SehirAdi=Elazig
2025-04-23,2025-04,2,Carsamba,Istanbul,3,1. 6'LI GANYAN,5/3/1/6/1/3,3592.5,"3.592,50 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=23%2F04%2F2025&SehirAdi=Istanbul
2025-04-24,2025-04,3,Persembe,Ankara,5,1. 6'LI GANYAN,"2,6/7/3/8/4/12",10909.83,"10.909,83 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=24%2F04%2F2025&SehirAdi=Ankara
2025-04-24,2025-04,3,Persembe,Izmir,2,1. 6'LI GANYAN,7/2/4/7/9/5,62856.36,"62.856,36 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=24%2F04%2F2025&SehirAdi=Izmir
2025-04-25,2025-04,4,Cuma,Bursa,4,1. 6'LI GANYAN,"2/8/4,7/6/10/5,7",52997.34,"52.997,34 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=25%2F04%2F2025&SehirAdi=Bursa
