date,weekday,count,total_amount,avg_amount,min_amount,max_amount,under_1750_count,under_1750_rate
2025-04-20,Pazar,2,59886.96,29943.48,1577.10,58309.86,1,50.00%
2025-04-21,Pazartesi,2,858633.40,429316.70,1954.27,856679.13,0,0.00%
2025-04-22,Sali,2,33613.98,16806.99,15898.65,17715.33,0,0.00%
2025-04-23,Carsamba,1,3592.50,3592.50,3592.50,3592.50,0,0.00%
2025-04-24,Persembe,2,73766.19,36883.10,10909.83,62856.36,0,0.00%
2025-04-25,Cuma,2,103619.55,51809.77,50622.21,52997.34,0,0.00%
2025-04-26,Cumartesi,2,77350.02,38675.01,6265.59,71084.43,0,0.00%
2025-04-27,Pazar,3,14270.52,4756.84,334.74,7213.53,1,33.33%
2025-04-28,Pazartesi,1,341227.29,341227.29,341227.29,341227.29,0,0.00%
2025-04-29,Sali,2,122388.06,61194.03,21649.20,100738.86,0,0.00%
2025-04-30,Carsamba,2,17615.47,8807.73,813.37,16802.10,1,50.00%
2025-05-01,Persembe,2,1520922.66,760461.33,176647.29,1344275.37,0,0.00%
2025-05-02,Cuma,2,6866.34,3433.17,1946.31,4920.03,0,0.00%
2025-05-03,Cumartesi,2,2396.52,1198.26,1177.53,1218.99,2,100.00%
2025-05-04,Pazar,2,154908.51,77454.26,47908.05,107000.46,0,0.00%
2025-05-05,Pazartesi,2,9912.82,4956.41,1201.30,8711.52,1,50.00%
2025-05-06,Sali,2,467447.28,233723.64,197963.25,269484.03,0,0.00%
2025-05-07,Carsamba,2,27032.41,13516.21,7215.67,19816.74,0,0.00%
2025-05-08,Persembe,2,6943.77,3471.89,2980.20,3963.57,0,0.00%
2025-05-09,Cuma,2,32714.67,16357.34,1602.15,31112.52,1,50.00%
2025-05-10,Cumartesi,2,25862.49,12931.24,9886.59,15975.90,0,0.00%
2025-05-11,Pazar,2,5547.45,2773.72,1361.70,4185.75,1,50.00%
2025-05-12,Pazartesi,2,4510.77,2255.39,1798.35,2712.42,0,0.00%
2025-05-13,Sali,2,9646.95,4823.48,770.28,8876.67,1,50.00%
2025-05-14,Carsamba,2,5135.98,2567.99,2436.07,2699.91,0,0.00%
2025-05-15,Persembe,2,15584.76,7792.38,2462.67,13122.09,0,0.00%
2025-05-16,Cuma,2,36890.58,18445.29,18390.81,18499.77,0,0.00%
2025-05-17,Cumartesi,2,8535.33,4267.66,3880.95,4654.38,0,0.00%
2025-05-18,Pazar,2,67870.44,33935.22,1990.89,65879.55,0,0.00%
2025-05-19,Pazartesi,1,10040.64,10040.64,10040.64,10040.64,0,0.00%
2025-05-20,Sali,2,416.40,208.20,186.84,229.56,2,100.00%
2025-05-21,Carsamba,2,14891.10,7445.55,258.15,14632.95,1,50.00%
2025-05-22,Persembe,2,100917.57,50458.78,12143.40,88774.17,0,0.00%
2025-05-23,Cuma,2,41635.11,20817.56,2978.70,38656.41,0,0.00%
2025-05-24,Cumartesi,2,20441.31,10220.65,5942.67,14498.64,0,0.00%
2025-05-25,Pazar,2,73934.46,36967.23,21141.84,52792.62,0,0.00%
2025-05-26,Pazartesi,2,43483.59,21741.79,16890.12,26593.47,0,0.00%
2025-05-27,Sali,2,1862.82,931.41,179.49,1683.33,2,100.00%
2025-05-28,Carsamba,2,33354.84,16677.42,12734.40,20620.44,0,0.00%
2025-05-29,Persembe,2,447805.35,223902.67,184604.85,263200.50,0,0.00%
2025-05-30,Cuma,2,6822.69,3411.35,375.72,6446.97,1,50.00%
2025-05-31,Cumartesi,3,144470.91,48156.97,1572.27,140063.37,1,33.33%
2025-06-01,Pazar,2,44404.20,22202.10,21218.00,23186.20,0,0.00%
2025-06-02,Pazartesi,2,12842.65,6421.33,6385.05,6457.60,0,0.00%
2025-06-03,Sali,2,39410.10,19705.05,1089.15,38320.95,1,50.00%
2025-06-04,Carsamba,2,649320.70,324660.35,93115.70,556205.00,0,0.00%
2025-06-05,Persembe,2,369384.70,184692.35,8371.80,361012.90,0,0.00%
2025-06-06,Cuma,1,13995.45,13995.45,13995.45,13995.45,0,0.00%
2025-06-07,Cumartesi,2,51406.75,25703.38,16927.45,34479.30,0,0.00%
2025-06-08,Pazar,3,140186.75,46728.92,624.95,77380.70,1,33.33%
2025-06-09,Pazartesi,2,40781.69,20390.85,8906.64,31875.05,0,0.00%
2025-06-10,Sali,2,5393.70,2696.85,1016.10,4377.60,1,50.00%
2025-06-11,Carsamba,2,647703.84,323851.92,1494.24,646209.60,1,50.00%
2025-06-12,Persembe,2,187212.25,93606.12,7157.90,180054.35,0,0.00%
2025-06-13,Cuma,2,50915.10,25457.55,8570.55,42344.55,0,0.00%
2025-06-14,Cumartesi,2,43769.70,21884.85,1363.55,42406.15,1,50.00%
2025-06-15,Pazar,2,16652.30,8326.15,3908.95,12743.35,0,0.00%
2025-06-16,Pazartesi,2,335292.97,167646.49,1595.52,333697.45,1,50.00%
2025-06-17,Sali,2,4625292.55,2312646.27,6213.25,4619079.30,0,0.00%
2025-06-18,Carsamba,2,365143.95,182571.98,14919.20,350224.75,0,0.00%
2025-06-19,Persembe,2,179163.65,89581.82,25526.35,153637.30,0,0.00%
2025-06-20,Cuma,2,45957.90,22978.95,1726.75,44231.15,1,50.00%
2025-06-21,Cumartesi,2,6527.15,3263.57,2969.15,3558.00,0,0.00%
2025-06-22,Pazar,2,20636.45,10318.23,694.65,19941.80,1,50.00%
2025-06-23,Pazartesi,2,18367.91,9183.95,7783.35,10584.56,0,0.00%
2025-06-24,Sali,2,17883.85,8941.92,3833.80,14050.05,0,0.00%
2025-06-25,Carsamba,2,363817.45,181908.73,95229.45,268588.00,0,0.00%
2025-06-26,Persembe,2,152462.50,76231.25,18043.65,134418.85,0,0.00%
2025-06-27,Cuma,2,58828.88,29414.44,6672.68,52156.20,0,0.00%
2025-06-28,Cumartesi,2,231119.55,115559.78,2098.85,229020.70,0,0.00%
2025-06-29,Pazar,2,569630.85,284815.42,26495.35,543135.50,0,0.00%
2025-06-30,Pazartesi,2,4521842.12,2260921.06,36884.20,4484957.92,0,0.00%
