month,city,played,hit,hit_rate_pct,total_gain_tl,avg_gain_per_play_tl,avg_hit_amount_tl
2025-04,Adana,3,1,33.33,1577.1,525.7,1577.1
2025-04,Ankara,4,0,0.0,0.0,0.0,0.0
2025-04,Antalya,2,0,0.0,0.0,0.0,0.0
2025-04,Bursa,4,1,25.0,1597.56,399.39,1597.56
2025-04,Elazig,3,1,33.33,813.37,271.12,813.37
2025-04,Istanbul,6,2,33.33,1518.18,253.03,759.09
2025-04,Izmir,4,0,0.0,0.0,0.0,0.0
2025-04,Urfa,2,0,0.0,0.0,0.0,0.0
2025-05,Adana,4,1,25.0,1361.7,340.43,1361.7
2025-05,Ankara,15,4,26.67,4704.15,313.61,1176.04
2025-05,Antalya,4,3,75.0,1136.61,284.15,378.87
2025-05,Bursa,9,1,11.11,1602.15,178.02,1602.15
2025-05,Elazig,4,0,0.0,0.0,0.0,0.0
2025-05,Istanbul,13,2,15.38,633.87,48.76,316.94
2025-05,Izmir,10,1,10.0,1177.53,117.75,1177.53
2025-05,Urfa,4,1,25.0,1201.3,300.32,1201.3
2025-06,Adana,4,1,25.0,624.95,156.24,624.95
2025-06,Ankara,12,1,8.33,1363.55,113.63,1363.55
2025-06,Bursa,8,1,12.5,1726.75,215.84,1726.75
2025-06,Elazig,6,1,16.67,1494.24,249.04,1494.24
2025-06,Istanbul,15,1,6.67,694.65,46.31,694.65
2025-06,Izmir,8,0,0.0,0.0,0.0,0.0
2025-06,Kocaeli,4,2,50.0,2105.25,526.31,1052.62
2025-06,Urfa,3,1,33.33,1595.52,531.84,1595.52
2025-07,Ankara,15,1,6.67,641.8,42.79,641.8
2025-07,Bursa,8,2,25.0,2365.55,295.69,1182.78
2025-07,Elazig,9,1,11.11,1252.92,139.21,1252.92
2025-07,Istanbul,13,2,15.38,2060.65,158.51,1030.33
2025-07,Izmir,8,2,25.0,1850.55,231.32,925.27
2025-07,Kocaeli,10,0,0.0,0.0,0.0,0.0
2025-08,Adana,1,0,0.0,0.0,0.0,0.0
2025-08,Ankara,13,1,7.69,514.75,39.6,514.75
2025-08,Bursa,9,2,22.22,2612.2,290.24,1306.1
2025-08,Elazig,7,1,14.29,969.2,138.46,969.2
2025-08,Istanbul,14,0,0.0,0.0,0.0,0.0
2025-08,Izmir,9,2,22.22,1712.95,190.33,856.48
