date,city,city_id,label,combination,amount,amount_text,hit_max_tl,is_hit,race_count,url
2025-06-09,Bursa,4,1. 6'LI GANYAN,"2,3/1/2/5/4/14",31875.05,"31.875,05 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=09%2F06%2F2025&SehirAdi=Bursa
2025-06-09,Urfa,6,1. 6'LI GANYAN,"6/2,5,8/5/2/3,10/8",8906.64,"8.906,64 ₺",1750.0,0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=09%2F06%2F2025&SehirAdi=Urfa
2025-06-10,Ankara,5,1. 6'LI GANYAN,"6/7/1,3,5/7/1/6",4377.6,"4.377,60 ₺",1750.0,0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=10%2F06%2F2025&SehirAdi=Ankara
2025-06-10,Kocaeli,9,1. 6'LI GANYAN,"3,8/6,7/2,4,5,9/1/5/4",1016.1,"1.016,10 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=9&QueryParameter_Tarih=10%2F06%2F2025&SehirAdi=Kocaeli
2025-06-11,Elazig,7,1. 6'LI GANYAN,11/3/2/3/12/7,1494.24,"1.494,24 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=11%2F06%2F2025&SehirAdi=Elazig
2025-06-11,Istanbul,3,1. 6'LI GANYAN,"1,5,7/4/3/8/4/3",646209.6,"646.209,60 ₺",1750.0,0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=11%2F06%2F2025&SehirAdi=Istanbul
2025-06-12,Ankara,5,1. 6'LI GANYAN,2/2/5/5/6/2,180054.35,"180.054,35 ₺",1750.0,0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=12%2F06%2F2025&SehirAdi=Ankara
2025-06-12,Izmir,2,1. 6'LI GANYAN,7/5/2/5/2/7,7157.9,"7.157,90 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=12%2F06%2F2025&SehirAdi=Izmir
2025-06-13,Bursa,4,1. 6'LI GANYAN,3/4/1/6/12/2,8570.55,"8.570,55 ₺",1750.0,0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=13%2F06%2F2025&SehirAdi=Bursa
2025-06-13,Istanbul,3,1. 6'LI GANYAN,1/1/7/5/5/6,42344.55,"42.344,55 ₺",1750.0,0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=13%2F06%2F2025&SehirAdi=Istanbul
2025-06-14,Ankara,5,1. 6'LI GANYAN,"1/1/2/1/1/2,10",1363.55,"1.363,55 ₺",1750.0,1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=14%2F06%2F2025&SehirAdi=Ankara
2025-06-14,Izmir,2,1. 6'LI GANYAN,"3/3/3/2/5,9/11",42406.15,"42.406,15 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=14%2F06%2F2025&SehirAdi=Izmir
2025-06-15,Adana,1,1. 6'LI GANYAN,4/5/6/9/11/7,12743.35,"12.743,35 ₺",1750.0,0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=15%2F06%2F2025&SehirAdi=Adana
2025-06-15,Istanbul,3,1. 6'LI GANYAN,"7/10/3/1/5,10,11/4",3908.95,"3.908,95 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=15%2F06%2F2025&SehirAdi=Istanbul
2025-06-16,Bursa,4,1. 6'LI GANYAN,3/3/1/2/5/11,333697.45,"333.697,45 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=16%2F06%2F2025&SehirAdi=Bursa
2025-06-16,Urfa,6,1. 6'LI GANYAN,"3/14/3/10,13/3/5,10",1595.52,"1.595,52 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=16%2F06%2F2025&SehirAdi=Urfa
2025-06-17,Ankara,5,1. 6'LI GANYAN,"6/9/4/1,2/2,9/1",6213.25,"6.213,25 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=17%2F06%2F2025&SehirAdi=Ankara
2025-06-17,Kocaeli,9,1. 6'LI GANYAN,6/4/4/1/8/5,4619079.3,"4.619.079,30 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=9&QueryParameter_Tarih=17%2F06%2F2025&SehirAdi=Kocaeli
2025-06-18,Elazig,7,1. 6'LI GANYAN,11/1/12/2/9/4,14919.2,"14.919,20 ₺",1750.0,0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=18%2F06%2F2025&SehirAdi=Elazig
2025-06-18,Istanbul,3,1. 6'LI GANYAN,1/5/7/3/6/13,350224.75,"350.224,75 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=18%2F06%2F2025&SehirAdi=Istanbul
2025-06-19,Ankara,5,1. 6'LI GANYAN,"1/3,6,7,8/4/2,6/6/7",25526.35,"25.526,35 ₺",1750.0,0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=19%2F06%2F2025&SehirAdi=Ankara
2025-06-19,Izmir,2,1. 6'LI GANYAN,"7/6,7/5/10/6/4",153637.3,"153.637,30 ₺",1750.0,0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=19%2F06%2F2025&SehirAdi=Izmir
