date,city,city_id,label,combination,amount,amount_text,hit_max_tl,is_hit,race_count,url
2025-06-10,Kocaeli,9,1. 6'LI GANYAN,"3,8/6,7/2,4,5,9/1/5/4",1016.1,"1.016,10 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=9&QueryParameter_Tarih=10%2F06%2F2025&SehirAdi=Kocaeli
2025-06-11,Elazig,7,1. 6'LI GANYAN,11/3/2/3/12/7,1494.24,"1.494,24 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=11%2F06%2F2025&SehirAdi=Elazig
2025-06-14,Ankara,5,1. 6'LI GANYAN,"1/1/2/1/1/2,10",1363.55,"1.363,55 ₺",1750.0,1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=14%2F06%2F2025&SehirAdi=Ankara
2025-06-16,Urfa,6,1. 6'LI GANYAN,"3/14/3/10,13/3/5,10",1595.52,"1.595,52 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=16%2F06%2F2025&SehirAdi=Urfa
2025-06-20,Bursa,4,1. 6'LI GANYAN,"4/1,3,4,6,7,8/1,3/1/2/6",1726.75,"1.726,75 ₺",1750.0,1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=20%2F06%2F2025&SehirAdi=Bursa
2025-06-22,Istanbul,3,1. 6'LI GANYAN,"3/3/1/2/5/3,7",694.65,"694,65 ₺",1750.0,1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=22%2F06%2F2025&SehirAdi=Istanbul
2025-07-04,Istanbul,3,1. 6'LI GANYAN,"1,5/3/3/1/4/15",664.95,"664,95 ₺",1750.0,1,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=04%2F07%2F2025&SehirAdi=Istanbul
2025-07-06,Istanbul,3,1. 6'LI GANYAN,2/3/3/1/4/7,1395.7,"1.395,70 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=06%2F07%2F2025&SehirAdi=Istanbul
2025-07-07,Elazig,7,1. 6'LI GANYAN,"9/4/10,14/4/9/4",1252.92,"1.252,92 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=07%2F07%2F2025&SehirAdi=Elazig
2025-07-11,Bursa,4,1. 6'LI GANYAN,"2/7/4/1,5,8/5/4",1595.5,"1.595,50 ₺",1750.0,1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=11%2F07%2F2025&SehirAdi=Bursa
2025-07-14,Bursa,4,1. 6'LI GANYAN,"3,4/1,3/3,7,8/2/3/2,7",770.05,"770,05 ₺",1750.0,1,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=14%2F07%2F2025&SehirAdi=Bursa
