at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,CATALYST,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %35, on-grup %29, onde %29.",1/17 (6%) | 6/17 (35%) | 5/17 (29%) | 5/17 (29%),1/17 (6%),6/17 (35%),5/17 (29%),5/17 (29%),,,0.95,https://yenibeygir.com/at/100284/catalyst,100284
2,MY SİXTH SENSE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %27, on-grup %54, onde %11.",3/37 (8%) | 10/37 (27%) | 20/37 (54%) | 4/37 (11%),3/37 (8%),10/37 (27%),20/37 (54%),4/37 (11%),,,3.99,https://yenibeygir.com/at/101202/my-sixth-sense,101202
3,CALVADOS,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %12, onde %75.",0/8 (0%) | 1/8 (12%) | 1/8 (12%) | 6/8 (75%),0/8 (0%),1/8 (12%),1/8 (12%),6/8 (75%),Nem,,0.00,https://yenibeygir.com/at/103484/calvados,103484
4,THRACE FEVER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %17, on-grup %62, onde %12.",2/24 (8%) | 4/24 (17%) | 15/24 (62%) | 3/24 (12%),2/24 (8%),4/24 (17%),15/24 (62%),3/24 (12%),,,0.50,https://yenibeygir.com/at/94590/thrace-fever,94590
5,TURBO FANI,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %59, arka-grup %30, on-grup %11, onde %0.",22/37 (59%) | 11/37 (30%) | 4/37 (11%) | 0/37 (0%),22/37 (59%),11/37 (30%),4/37 (11%),0/37 (0%),,,0.64,https://yenibeygir.com/at/99954/turbo-fani,99954
6,REFLECTED GLORY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %67, onde %17.",0/6 (0%) | 1/6 (17%) | 4/6 (67%) | 1/6 (17%),0/6 (0%),1/6 (17%),4/6 (67%),1/6 (17%),,X,7.55,https://yenibeygir.com/at/100116/reflected-glory,100116
7,WALLACE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %4, on-grup %71, onde %25.",0/24 (0%) | 1/24 (4%) | 17/24 (71%) | 6/24 (25%),0/24 (0%),1/24 (4%),17/24 (71%),6/24 (25%),,,0.62,https://yenibeygir.com/at/100516/wallace,100516
8,KUPA AVCISI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %75, onde %0.",1/8 (12%) | 1/8 (12%) | 6/8 (75%) | 0/8 (0%),1/8 (12%),1/8 (12%),6/8 (75%),0/8 (0%),,,0.09,https://yenibeygir.com/at/104396/kupa-avcisi,104396
9,GOLDEN SNOW,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %38, on-grup %25, onde %0.",3/8 (38%) | 3/8 (38%) | 2/8 (25%) | 0/8 (0%),3/8 (38%),3/8 (38%),2/8 (25%),0/8 (0%),,X,7.27,https://yenibeygir.com/at/99969/golden-snow,99969
1,ALAMETİ FARİKA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %42, on-grup %50, onde %8.",0/12 (0%) | 5/12 (42%) | 6/12 (50%) | 1/12 (8%),0/12 (0%),5/12 (42%),6/12 (50%),1/12 (8%),,,0.11,https://yenibeygir.com/at/103402/alameti-farika,103402
2,NEJDET BAŞKAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %71, onde %29.",0/7 (0%) | 0/7 (0%) | 5/7 (71%) | 2/7 (29%),0/7 (0%),0/7 (0%),5/7 (71%),2/7 (29%),Sulu,,0.54,https://yenibeygir.com/at/103856/nejdet-baskan,103856
3,TAM TIME,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %64, arka-grup %27, on-grup %9, onde %0.",7/11 (64%) | 3/11 (27%) | 1/11 (9%) | 0/11 (0%),7/11 (64%),3/11 (27%),1/11 (9%),0/11 (0%),,,2.74,https://yenibeygir.com/at/102787/tam-time,102787
