At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
CALVADOS,,6.13,1500,Kum,53.5,58,Adana,3,103484,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %12, onde %75.",0/8 (0%) | 1/8 (12%) | 1/8 (12%) | 6/8 (75%),Nem,,0.00,https://yenibeygir.com/at/103484/calvados,bulundu
KUPA AVCISI,,6.19,1200,Kum,50,55,Antalya,8,104396,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %75, onde %0.",1/8 (12%) | 1/8 (12%) | 6/8 (75%) | 0/8 (0%),,,0.09,https://yenibeygir.com/at/104396/kupa-avcisi,bulundu
WALLACE,,6.25,1400,Sentetik,54,56,İstanbul,7,100516,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %4, on-grup %71, onde %25.",0/24 (0%) | 1/24 (4%) | 17/24 (71%) | 6/24 (25%),,,0.62,https://yenibeygir.com/at/100516/wallace,bulundu
MY SİXTH SENSE,,6.28,1400,Kum,60.5,58,Şanlıurfa,2,101202,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %27, on-grup %54, onde %11.",3/37 (8%) | 10/37 (27%) | 20/37 (54%) | 4/37 (11%),,,3.99,https://yenibeygir.com/at/101202/my-sixth-sense,bulundu
CATALYST,,6.34,1400,Kum,63,63,Adana,1,100284,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %35, on-grup %29, onde %29.",1/17 (6%) | 6/17 (35%) | 5/17 (29%) | 5/17 (29%),,,0.95,https://yenibeygir.com/at/100284/catalyst,bulundu
THRACE FEVER,,6.35,1300,Kum,60,58.5,Adana,4,94590,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %17, on-grup %62, onde %12.",2/24 (8%) | 4/24 (17%) | 15/24 (62%) | 3/24 (12%),,,0.50,https://yenibeygir.com/at/94590/thrace-fever,bulundu
TURBO FANI,,6.35,1300,Kum,58.5,57.5,Adana,5,99954,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %59, arka-grup %30, on-grup %11, onde %0.",22/37 (59%) | 11/37 (30%) | 4/37 (11%) | 0/37 (0%),,,0.64,https://yenibeygir.com/at/99954/turbo-fani,bulundu
GOLDEN SNOW,,6.53,1900,Kum,50,59.5,Bursa,9,99969,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %38, on-grup %25, onde %0.",3/8 (38%) | 3/8 (38%) | 2/8 (25%) | 0/8 (0%),,X,7.27,https://yenibeygir.com/at/99969/golden-snow,bulundu
REFLECTED GLORY,,6.68,1400,Kum,55,54,Adana,6,100116,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %67, onde %17.",0/6 (0%) | 1/6 (17%) | 4/6 (67%) | 1/6 (17%),,X,7.55,https://yenibeygir.com/at/100116/reflected-glory,bulundu
