at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,ASALETLİ ÇOCUK,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106642/asaletli-cocuk,106642
2,BELAMAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106971/belaman,106971
3,ERGÜNEŞ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105619/ergunes,105619
4,GOZEYOĞLU,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105961/gozeyoglu,105961
5,MERDÜMGİRİZ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106322/merdumgiriz,106322
6,ŞENSOY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105452/sensoy,105452
7,ZİRVE BEYİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106331/zirve-beyi,106331
8,BULUTLARIN İNCİSİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106092/bulutlarin-incisi,106092
9,EFLANİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105585/eflani,105585
10,HİFA GÜZELİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105950/hifa-guzeli,105950
11,SOĞUK DAMLA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105825/soguk-damla,105825
12,ŞÖHRET HANIM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105658/sohret-hanim,105658
1,GRAND MISSION,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %45, arka-grup %29, on-grup %26, onde %0.",29/65 (45%) | 19/65 (29%) | 17/65 (26%) | 0/65 (0%),29/65 (45%),19/65 (29%),17/65 (26%),0/65 (0%),https://yenibeygir.com/at/87981/grand-mission,87981
2,ANZAKLI,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %47, on-grup %27, onde %0.",17/64 (27%) | 30/64 (47%) | 17/64 (27%) | 0/64 (0%),17/64 (27%),30/64 (47%),17/64 (27%),0/64 (0%),https://yenibeygir.com/at/88297/anzakli,88297
3,KIZILIŞIK,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %18, on-grup %52, onde %28.",1/40 (2%) | 7/40 (18%) | 21/40 (52%) | 11/40 (28%),1/40 (2%),7/40 (18%),21/40 (52%),11/40 (28%),https://yenibeygir.com/at/92582/kizilisik,92582
4,ANGEL OF GOLD,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %53, on-grup %47, onde %0.",0/15 (0%) | 8/15 (53%) | 7/15 (47%) | 0/15 (0%),0/15 (0%),8/15 (53%),7/15 (47%),0/15 (0%),https://yenibeygir.com/at/100637/angel-of-gold,100637
5,ANDY DUFRESNE,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %42, on-grup %21, onde %5.",6/19 (32%) | 8/19 (42%) | 4/19 (21%) | 1/19 (5%),6/19 (32%),8/19 (42%),4/19 (21%),1/19 (5%),https://yenibeygir.com/at/100913/andy-dufresne,100913
6,ESATIM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %28, on-grup %53, onde %11.",3/36 (8%) | 10/36 (28%) | 19/36 (53%) | 4/36 (11%),3/36 (8%),10/36 (28%),19/36 (53%),4/36 (11%),https://yenibeygir.com/at/99903/esatim,99903
7,LORD OF THE WOLF,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %6, on-grup %88, onde %6.",0/16 (0%) | 1/16 (6%) | 14/16 (88%) | 1/16 (6%),0/16 (0%),1/16 (6%),14/16 (88%),1/16 (6%),https://yenibeygir.com/at/100799/lord-of-the-wolf,100799
8,QUEEN OF HAPPINESS,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %49, on-grup %44, onde %2.",2/41 (5%) | 20/41 (49%) | 18/41 (44%) | 1/41 (2%),2/41 (5%),20/41 (49%),18/41 (44%),1/41 (2%),https://yenibeygir.com/at/96075/queen-of-happiness,96075
9,STASERA,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %43, on-grup %29, onde %2.",15/58 (26%) | 25/58 (43%) | 17/58 (29%) | 1/58 (2%),15/58 (26%),25/58 (43%),17/58 (29%),1/58 (2%),https://yenibeygir.com/at/95779/stasera,95779
10,YAVUZEMRE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %78, on-grup %11, onde %0.",1/9 (11%) | 7/9 (78%) | 1/9 (11%) | 0/9 (0%),1/9 (11%),7/9 (78%),1/9 (11%),0/9 (0%),https://yenibeygir.com/at/100925/yavuzemre,100925
