at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,YILMAKENAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %36, on-grup %27, onde %0.",4/11 (36%) | 4/11 (36%) | 3/11 (27%) | 0/11 (0%),4/11 (36%),4/11 (36%),3/11 (27%),0/11 (0%),,,0.73,https://yenibeygir.com/at/104336/yilmakenan,104336
2,DRAGON BREATH,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",1/5 (20%) | 2/5 (40%) | 2/5 (40%) | 0/5 (0%),1/5 (20%),2/5 (40%),2/5 (40%),0/5 (0%),Sulu,,2.04,https://yenibeygir.com/at/104085/dragon-breath,104085
3,PERSONA NON GRATA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),0/1 (0%),0/1 (0%),1/1 (100%),0/1 (0%),,,0.29,https://yenibeygir.com/at/105331/persona-non-grata,105331
4,FINALLY IDYLL,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %31, on-grup %31, onde %0.",5/13 (38%) | 4/13 (31%) | 4/13 (31%) | 0/13 (0%),5/13 (38%),4/13 (31%),4/13 (31%),0/13 (0%),,,1.01,https://yenibeygir.com/at/104242/finally-idyll,104242
5,CANFEDA GÜÇLÜBEY,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %12, onde %88.",0/8 (0%) | 0/8 (0%) | 1/8 (12%) | 7/8 (88%),0/8 (0%),0/8 (0%),1/8 (12%),7/8 (88%),,,0.89,https://yenibeygir.com/at/104395/canfeda-guclubey,104395
6,AZURA,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),1/3 (33%),1/3 (33%),1/3 (33%),0/3 (0%),,X,52.56,https://yenibeygir.com/at/104845/azura,104845
7,BLUE WAVE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),0/3 (0%),1/3 (33%),2/3 (67%),0/3 (0%),,,0.82,https://yenibeygir.com/at/104445/blue-wave,104445
8,LA GRANDE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %50, on-grup %25, onde %0.",1/4 (25%) | 2/4 (50%) | 1/4 (25%) | 0/4 (0%),1/4 (25%),2/4 (50%),1/4 (25%),0/4 (0%),,,1.21,https://yenibeygir.com/at/105237/la-grande,105237
9,LIFE AND LIGHT,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/2 (0%) | 1/2 (50%) | 1/2 (50%) | 0/2 (0%),0/2 (0%),1/2 (50%),1/2 (50%),0/2 (0%),,,0.10,https://yenibeygir.com/at/105321/life-and-light,105321
1,BLIZZARD,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %57, onde %29.",0/7 (0%) | 1/7 (14%) | 4/7 (57%) | 2/7 (29%),0/7 (0%),1/7 (14%),4/7 (57%),2/7 (29%),Isl,,3.10,https://yenibeygir.com/at/103674/blizzard,103674
