Kosu,Sira,At,Stil 1,Stil 2,Stil Skoru,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,ASALETLİ ÇOCUK,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,2,BELAMAN,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,3,ERGÜNEŞ,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,4,GOZEYOĞLU,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,5,MERDÜMGİRİZ,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,6,ŞENSOY,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,7,ZİRVE BEYİ,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,8,BULUTLARIN İNCİSİ,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,9,EFLANİ,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,10,HİFA GÜZELİ,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,11,SOĞUK DAMLA,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
1. Koşu,12,ŞÖHRET HANIM,Bilinmiyor,,0,1.000,1.000,0.000,Düşük Tempo,0.600000,
2. Koşu,1,ESATIM,Takipçi,,1,6.450,0.972,0.972,Düşük Tempo,0.343023,
2. Koşu,2,KIZILIŞIK,Takipçi,,1,6.550,0.987,0.987,Düşük Tempo,0.341603,
2. Koşu,3,LORD OF THE WOLF,Takipçi,,1,6.790,1.023,1.023,Düşük Tempo,0.338365,
2. Koşu,4,ANGEL OF GOLD,Orta Grup,Takipçi,1,6.540,0.986,0.986,Düşük Tempo,0.241743,
2. Koşu,5,QUEEN OF HAPPINESS,Orta Grup,Takipçi,1,6.790,1.023,1.023,Düşük Tempo,0.238365,
2. Koşu,6,STASERA,Orta Grup,,0,6.480,0.977,0.000,Düşük Tempo,0.092593,
2. Koşu,7,ANZAKLI,Orta Grup,,0,6.790,1.023,0.000,Düşük Tempo,0.088365,
2. Koşu,8,YAVUZEMRE,Orta Grup,,0,6.880,1.037,0.000,Düşük Tempo,0.087209,
2. Koşu,9,ANDY DUFRESNE,Orta Grup,Sprinter,-1,6.550,0.987,-0.987,Düşük Tempo,-0.208397,
2. Koşu,10,GRAND MISSION,Sprinter,,-1,6.530,0.984,-0.984,Düşük Tempo,-0.408116,
3. Koşu,1,SİGUEME,Önde Kaçan,Takipçi,3,6.540,0.979,2.938,Düşük Tempo,0.741743,
3. Koşu,2,RASİM HAN,Takipçi,Önde Kaçan,3,6.600,0.988,2.965,Düşük Tempo,0.640909,
3. Koşu,3,BEYLERİNBEYİ,Takipçi,,1,6.660,0.997,0.997,Düşük Tempo,0.340090,
3. Koşu,4,BLUEBACK,Orta Grup,,0,6.540,0.979,0.000,Düşük Tempo,0.091743,
3. Koşu,5,YAĞIZ BİKE,Orta Grup,,0,6.820,1.021,0.000,Düşük Tempo,0.087977,
