Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,PERSONA NON GRATA,Takipçi,,6.330,1.084,0.678,Orta Tempo,0.436044,
1. Koşu,2,BLUE WAVE,Takipçi,Orta Grup,6.420,1.069,0.674,Orta Tempo,0.406141,
1. Koşu,3,DRAGON BREATH,Orta Grup,Takipçi,6.560,1.046,0.402,Orta Tempo,0.312083,
1. Koşu,4,LIFE AND LIGHT,Orta Grup,Takipçi,6.330,1.084,0.407,Orta Tempo,0.235993,
1. Koşu,5,YILMAKENAN,Sprinter,Orta Grup,6.380,1.075,-1.044,Orta Tempo,0.078815,
1. Koşu,6,FINALLY IDYLL,Sprinter,Orta Grup,6.560,1.046,-1.035,Orta Tempo,0.077101,
1. Koşu,7,LA GRANDE,Orta Grup,,6.500,1.056,0.000,Orta Tempo,0.044090,
1. Koşu,8,AZURA,Sprinter,Orta Grup,10.300,0.666,-0.784,Orta Tempo,-0.032180,
1. Koşu,9,CANFEDA GÜÇLÜBEY,Önde Kaçan,,6.370,1.077,1.414,Orta Tempo,-0.094633,
2. Koşu,1,BLIZZARD,Takipçi,,6.690,1.002,0.660,Çok Yüksek,0.520872,1.811
2. Koşu,2,RASİM HAN,Takipçi,Önde Kaçan,6.660,1.006,1.491,Çok Yüksek,0.341016,1.579
2. Koşu,3,KOPAL,Önde Kaçan,Takipçi,6.690,1.002,1.777,Çok Yüksek,0.092231,1.486
2. Koşu,4,VAŞAK KIZ,Karakteri Belli Değil,,6.910,0.970,0.000,Çok Yüksek,-0.010275,1.940
2. Koşu,5,DRECARİ,Önde Kaçan,,6.560,1.022,1.389,Çok Yüksek,-0.099875,1.641
3. Koşu,1,SECRET FLIGHT,Takipçi,Önde Kaçan,6.250,1.026,1.500,Çok Yüksek,0.349516,1.617
3. Koşu,2,FEARLESS DRAGON,Takipçi,Önde Kaçan,6.320,1.014,1.495,Çok Yüksek,0.347882,1.594
3. Koşu,3,HIGH GROUND,Takipçi,Önde Kaçan,6.460,0.992,1.484,Çok Yüksek,0.344720,1.551
3. Koşu,4,SİGUEME,Takipçi,Önde Kaçan,6.480,0.989,1.483,Çok Yüksek,0.344279,1.544
3. Koşu,5,BLUEBACK,Orta Grup,,6.540,0.980,0.000,Çok Yüksek,0.154042,1.960
4. Koşu,1,FERMAN YAZAR,Takipçi,,7.070,1.004,0.661,Orta Tempo,0.504113,
4. Koşu,2,EL FURAT,Takipçi,,7.010,1.012,0.663,Orta Tempo,0.425043,
4. Koşu,3,ASLAN KILICI,Takipçi,Orta Grup,7.060,1.005,0.661,Orta Tempo,0.396033,
4. Koşu,4,STEPHENSON,Takipçi,,7.420,0.956,0.560,Orta Tempo,0.389874,
4. Koşu,5,GÜROBASI,Orta Grup,Takipçi,6.930,1.024,0.399,Orta Tempo,0.226721,
4. Koşu,6,ÇAĞLAR TAY,Orta Grup,Sprinter,6.840,1.038,-0.619,Orta Tempo,0.120262,
4. Koşu,7,KUTADGU,Sprinter,,7.110,0.998,-1.019,Orta Tempo,0.099589,
4. Koşu,8,İTAATSİZ,Önde Kaçan,Takipçi,6.980,1.017,1.785,Orta Tempo,0.082720,
4. Koşu,9,AKYEL ABİ,Sprinter,Orta Grup,6.900,1.029,-1.029,Orta Tempo,0.073028,
4. Koşu,10,TILISIM,Orta Grup,,7.000,1.014,0.000,Orta Tempo,0.037237,
4. Koşu,11,KÖYCÜ BEY,Orta Grup,,7.180,0.988,0.000,Orta Tempo,0.035017,
4. Koşu,12,BÜYÜK MENDERES,Orta Grup,Sprinter,7.280,0.975,-0.522,Orta Tempo,-0.055501,
4. Koşu,13,BİBA AĞA,Orta Grup,Sprinter,7.480,0.949,-0.518,Orta Tempo,-0.057344,
5. Koşu,1,EL QUİMİCO,Takipçi,Önde Kaçan,6.690,0.991,1.484,Orta Tempo,0.407129,
5. Koşu,2,GECE İZ,Takipçi,Orta Grup,6.450,1.028,0.666,Orta Tempo,0.399635,
5. Koşu,3,PERSIAN DIAMOND,Takipçi,Orta Grup,6.550,1.012,0.663,Orta Tempo,0.397840,
5. Koşu,4,QUİEREME,Orta Grup,Takipçi,6.940,0.955,0.336,Orta Tempo,0.192029,
5. Koşu,5,BAHRİYELİ ÇİKOK,Sprinter,Orta Grup,6.690,0.991,-1.017,Orta Tempo,0.161465,
5. Koşu,6,DALYA LİNA,Bilinmiyor,,6.630,1.000,0.000,Orta Tempo,0.093514,
5. Koşu,7,EMRES GAME,Bilinmiyor,,6.630,1.000,0.000,Orta Tempo,0.093514,
5. Koşu,8,ARSLAN KAN,Sprinter,Orta Grup,6.590,1.006,-1.022,Orta Tempo,0.082385,
5. Koşu,9,KEDİ ÇOCUK,Sprinter,Orta Grup,6.700,0.990,-0.874,Orta Tempo,0.075607,
5. Koşu,10,LADY ONAT,Sprinter,Önde Kaçan,6.430,1.031,-0.194,Orta Tempo,0.016682,
6. Koşu,1,ALONE WOLF,Takipçi,Orta Grup,6.450,1.001,0.660,Yüksek Tempo,0.524929,1.810
6. Koşu,2,KOÇARSLAN,Takipçi,,6.450,1.001,0.660,Yüksek Tempo,0.519791,1.810
6. Koşu,3,BLAZE THUNDER,Takipçi,Orta Grup,6.430,1.004,0.661,Yüksek Tempo,0.445293,1.816
6. Koşu,4,OĞLUM DORUK,Orta Grup,Takipçi,6.410,1.008,0.397,Yüksek Tempo,0.378461,1.900
6. Koşu,5,SWORD MASTER,Takipçi,Önde Kaçan,6.400,1.009,1.492,Yüksek Tempo,0.340413,1.584
6. Koşu,6,EAST WEST WARRIOR,Sprinter,Takipçi,6.590,0.980,-0.620,Yüksek Tempo,0.311131,1.960
6. Koşu,7,ŞEN AKYÜZ,Orta Grup,Takipçi,6.550,0.986,0.394,Yüksek Tempo,0.296124,1.857
6. Koşu,8,BELLICOSO,Önde Kaçan,Takipçi,6.390,1.011,1.782,Yüksek Tempo,0.174600,1.504
7. Koşu,1,KOCAMUTLU,Takipçi,,6.830,1.029,0.666,Yüksek Tempo,0.432064,1.865
7. Koşu,2,OĞUL ÇINAR,Takipçi,,6.900,1.018,0.664,Yüksek Tempo,0.430925,1.844
7. Koşu,3,GÜLÜMSE BİRAZ,Takipçi,,7.100,0.990,0.658,Yüksek Tempo,0.427795,1.787
7. Koşu,4,ALSAKİB,Takipçi,Orta Grup,6.830,1.029,0.666,Yüksek Tempo,0.423693,1.865
7. Koşu,5,HASHEYBETLİ,Takipçi,Orta Grup,6.840,1.027,0.666,Yüksek Tempo,0.423529,1.862
7. Koşu,6,OĞLUM GÜROL,Takipçi,Orta Grup,6.870,1.023,0.665,Yüksek Tempo,0.423040,1.853
7. Koşu,7,SULTAN FERMANI,Sprinter,Takipçi,7.510,0.936,-0.526,Yüksek Tempo,0.234930,1.872
7. Koşu,8,KARA AYHAN,Orta Grup,,7.340,0.957,0.000,Yüksek Tempo,-0.030751,1.915
8. Koşu,1,MÜZEYYEN ABLA,Takipçi,,7.300,0.993,0.659,Yüksek Tempo,0.504454,1.794
8. Koşu,2,BEDİZ DE FAUST,Takipçi,,7.390,0.981,0.656,Yüksek Tempo,0.503167,1.770
8. Koşu,3,SULTAN NENE,Takipçi,Orta Grup,7.230,1.003,0.661,Yüksek Tempo,0.492437,1.813
8. Koşu,4,GÜNÇE KIZ,Takipçi,Orta Grup,7.170,1.011,0.662,Yüksek Tempo,0.413330,1.830
8. Koşu,5,KURUÇAY,Orta Grup,Takipçi,7.390,0.981,0.394,Yüksek Tempo,0.250065,1.847
8. Koşu,6,BAYAN ALTIN,Sprinter,Orta Grup,7.290,0.995,-1.018,Yüksek Tempo,0.053560,1.989
8. Koşu,7,TORUNCALAS,Orta Grup,Sprinter,7.130,1.017,-0.615,Yüksek Tempo,0.047576,2.034
8. Koşu,8,GÜNDÜZDÜŞÜ,Önde Kaçan,,7.110,1.020,1.389,Yüksek Tempo,-0.107264,1.637
