At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
ASALETLİ ÇOCUK,,geçersiz,,,57,,,1,106642,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106642/asaletli-cocuk,bulundu
BELAMAN,,geçersiz,,,57,,,2,106971,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106971/belaman,bulundu
ERGÜNEŞ,,geçersiz,,,57,,,3,105619,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105619/ergunes,bulundu
GOZEYOĞLU,,geçersiz,,,57,,,4,105961,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105961/gozeyoglu,bulundu
MERDÜMGİRİZ,,geçersiz,,,57,,,5,106322,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106322/merdumgiriz,bulundu
ŞENSOY,,geçersiz,,,57,,,6,105452,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105452/sensoy,bulundu
ZİRVE BEYİ,,geçersiz,,,57,,,7,106331,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106331/zirve-beyi,bulundu
BULUTLARIN İNCİSİ,,geçersiz,,,55,,,8,106092,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106092/bulutlarin-incisi,bulundu
EFLANİ,,geçersiz,,,55,,,9,105585,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105585/eflani,bulundu
HİFA GÜZELİ,,geçersiz,,,55,,,10,105950,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105950/hifa-guzeli,bulundu
SOĞUK DAMLA,,geçersiz,,,55,,,11,105825,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105825/soguk-damla,bulundu
ŞÖHRET HANIM,,geçersiz,,,55,,,12,105658,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105658/sohret-hanim,bulundu
,2. Koşu,,,,,,,,,,,,,,
ESATIM,,6.45,2100,Kum,57,59,Bursa,6,99903,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %28, on-grup %53, onde %11.",3/36 (8%) | 10/36 (28%) | 19/36 (53%) | 4/36 (11%),https://yenibeygir.com/at/99903/esatim,bulundu
STASERA,,6.48,2100,Kum,57,58,İzmir,9,95779,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %43, on-grup %29, onde %2.",15/58 (26%) | 25/58 (43%) | 17/58 (29%) | 1/58 (2%),https://yenibeygir.com/at/95779/stasera,bulundu
GRAND MISSION,,6.53,1800,Kum,58,57.5,Bursa,1,87981,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %45, arka-grup %29, on-grup %26, onde %0.",29/65 (45%) | 19/65 (29%) | 17/65 (26%) | 0/65 (0%),https://yenibeygir.com/at/87981/grand-mission,bulundu
ANGEL OF GOLD,,6.54,1900,Kum,58,56,Bursa,4,100637,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %53, on-grup %47, onde %0.",0/15 (0%) | 8/15 (53%) | 7/15 (47%) | 0/15 (0%),https://yenibeygir.com/at/100637/angel-of-gold,bulundu
KIZILIŞIK,,6.55,2100,Kum,59,58,İzmir,3,92582,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %18, on-grup %52, onde %28.",1/40 (2%) | 7/40 (18%) | 21/40 (52%) | 11/40 (28%),https://yenibeygir.com/at/92582/kizilisik,bulundu
ANDY DUFRESNE,,6.55,1200,Kum,57,59.2,Bursa,5,100913,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %42, on-grup %21, onde %5.",6/19 (32%) | 8/19 (42%) | 4/19 (21%) | 1/19 (5%),https://yenibeygir.com/at/100913/andy-dufresne,bulundu
