At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
PERSONA NON GRATA,,6.33,1400,Kum,58,58,Bursa,3,105331,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,0.29,https://yenibeygir.com/at/105331/persona-non-grata,bulundu
LIFE AND LIGHT,,6.33,1400,Kum,56,56,Bursa,9,105321,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/2 (0%) | 1/2 (50%) | 1/2 (50%) | 0/2 (0%),,,0.10,https://yenibeygir.com/at/105321/life-and-light,bulundu
CANFEDA GÜÇLÜBEY,,6.37,1400,Kum,58,58,Bursa,5,104395,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %12, onde %88.",0/8 (0%) | 0/8 (0%) | 1/8 (12%) | 7/8 (88%),,,0.89,https://yenibeygir.com/at/104395/canfeda-guclubey,bulundu
YILMAKENAN,,6.38,1400,Kum,60,58,Bursa,1,104336,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %36, on-grup %27, onde %0.",4/11 (36%) | 4/11 (36%) | 3/11 (27%) | 0/11 (0%),,,0.73,https://yenibeygir.com/at/104336/yilmakenan,bulundu
BLUE WAVE,,6.42,1300,Kum,53,54,Bursa,7,104445,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),,,0.82,https://yenibeygir.com/at/104445/blue-wave,bulundu
LA GRANDE,,6.50,1800,Kum,56,58,Bursa,8,105237,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %50, on-grup %25, onde %0.",1/4 (25%) | 2/4 (50%) | 1/4 (25%) | 0/4 (0%),,,1.21,https://yenibeygir.com/at/105237/la-grande,bulundu
DRAGON BREATH,,6.56,1900,Kum,58,58,Bursa,2,104085,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",1/5 (20%) | 2/5 (40%) | 2/5 (40%) | 0/5 (0%),Sulu,,2.04,https://yenibeygir.com/at/104085/dragon-breath,bulundu
FINALLY IDYLL,,6.56,1900,Kum,60,59,İzmir,4,104242,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %31, on-grup %31, onde %0.",5/13 (38%) | 4/13 (31%) | 4/13 (31%) | 0/13 (0%),,,1.01,https://yenibeygir.com/at/104242/finally-idyll,bulundu
AZURA,,10.30,1400,Kum,56,53.2,Antalya,6,104845,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),,X,52.56,https://yenibeygir.com/at/104845/azura,bulundu
,2. Koşu,,,,,,,,,,,,,,,,,
DRECARİ,,6.56,1300,Kum,58,58,Bursa,2,105061,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/2 (0%) | 0/2 (0%) | 0/2 (0%) | 2/2 (100%),,,0.00,https://yenibeygir.com/at/105061/drecari,bulundu
RASİM HAN,,6.66,2000,Kum,58,57.2,Bursa,3,101863,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %22, on-grup %44, onde %33.",0/9 (0%) | 2/9 (22%) | 4/9 (44%) | 3/9 (33%),,,1.45,https://yenibeygir.com/at/101863/rasim-han,bulundu
BLIZZARD,,6.69,2100,Kum,60,56.6,Antalya,1,103674,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %57, onde %29.",0/7 (0%) | 1/7 (14%) | 4/7 (57%) | 2/7 (29%),Isl,,3.10,https://yenibeygir.com/at/103674/blizzard,bulundu
KOPAL,,6.69,1400,Kum,55,58.4,Bursa,4,103359,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %0, on-grup %33, onde %50.",1/6 (17%) | 0/6 (0%) | 2/6 (33%) | 3/6 (50%),,,2.15,https://yenibeygir.com/at/103359/kopal,bulundu
VAŞAK KIZ,,6.91,1500,Kum,53,56.8,Adana,5,104356,Karakteri Belli Değil,,"4 stil kutucugu birbirine cok yakin. Dagilim: arkada %30, arka-grup %30, on-grup %20, onde %20.",3/10 (30%) | 3/10 (30%) | 2/10 (20%) | 2/10 (20%),,X,6.21,https://yenibeygir.com/at/104356/vasak-kiz,bulundu
,3. Koşu,,,,,,,,,,,,,,,,,
SECRET FLIGHT,,6.25,1400,Kum,58,58,İzmir,2,102279,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %10, on-grup %50, onde %40.",0/10 (0%) | 1/10 (10%) | 5/10 (50%) | 4/10 (40%),,,0.00,https://yenibeygir.com/at/102279/secret-flight,bulundu
FEARLESS DRAGON,,6.32,2000,Kum,60,58,Bursa,1,104742,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %17, on-grup %50, onde %33.",0/6 (0%) | 1/6 (17%) | 3/6 (50%) | 2/6 (33%),,,0.60,https://yenibeygir.com/at/104742/fearless-dragon,bulundu
HIGH GROUND,,6.46,1400,Kum,56,57.2,Bursa,5,104092,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/2 (0%) | 0/2 (0%) | 1/2 (50%) | 1/2 (50%),,,0.00,https://yenibeygir.com/at/104092/high-ground,bulundu
SİGUEME,,6.48,2000,Kum,55,60,Bursa,3,102198,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %14, on-grup %43, onde %43.",0/28 (0%) | 4/28 (14%) | 12/28 (43%) | 12/28 (43%),,,1.95,https://yenibeygir.com/at/102198/sigueme,bulundu
BLUEBACK,,6.54,2000,Kum,52,54,Bursa,4,104416,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %67, on-grup %17, onde %0.",1/6 (17%) | 4/6 (67%) | 1/6 (17%) | 0/6 (0%),,,2.57,https://yenibeygir.com/at/104416/blueback,bulundu
,4. Koşu,,,,,,,,,,,,,,,,,
ÇAĞLAR TAY,,6.84,1300,Kum,61,60,Bursa,2,94199,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %42, on-grup %27, onde %0.",18/59 (31%) | 25/59 (42%) | 16/59 (27%) | 0/59 (0%),Nem,,0.00,https://yenibeygir.com/at/94199/caglar-tay,bulundu
AKYEL ABİ,,6.90,2100,Kum,50,58.6,Bursa,13,94933,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %37, on-grup %17, onde %1.",36/81 (44%) | 30/81 (37%) | 14/81 (17%) | 1/81 (1%),,,1.96,https://yenibeygir.com/at/94933/akyel-abi,bulundu
GÜROBASI,,6.93,1400,Sentetik,53.5,63,İstanbul,10,88882,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %50, on-grup %35, onde %1.",19/139 (14%) | 70/139 (50%) | 48/139 (35%) | 2/139 (1%),,,0.62,https://yenibeygir.com/at/88882/gurobasi,bulundu
İTAATSİZ,,6.98,1900,Kum,60,59,İzmir,3,97989,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %4, on-grup %30, onde %48.",4/23 (17%) | 1/23 (4%) | 7/23 (30%) | 11/23 (48%),,,2.39,https://yenibeygir.com/at/97989/itaatsiz,bulundu
