Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,9,1.000,0.000,1.000,Düşük,Orta Tempo,Orta grup,"Dengeli yarış, pozisyon savaşı belirleyici | Stil verisi dağınık: Takipçi ≈ Orta Grup ≈ Önde Kaçan ≈ Sprinter | Tahmini 400m: 27.50",Takipçi / Orta Grup / Önde Kaçan / Sprinter
2. Koşu,17,6.788,7.074,1.130,Orta,Yüksek Tempo,Kalabalık,"Tempolu yarış, sonlarda kırılma beklenir | Tarihsel sinyal: Takipçi %51.4 | Tahmini 400m: 26.05",Takipçi
3. Koşu,9,6.097,4.571,1.159,Orta,Yüksek Tempo,Orta grup,"Tempolu yarış, sonlarda kırılma beklenir | Tahmini 400m: 26.25",Takipçi
4. Koşu,9,1.000,0.000,1.000,Düşük,Orta Tempo,Orta grup,"Dengeli yarış, pozisyon savaşı belirleyici | Stil verisi dağınık: Takipçi ≈ Orta Grup ≈ Önde Kaçan ≈ Sprinter | Tahmini 400m: 27.50",Takipçi / Orta Grup / Önde Kaçan / Sprinter
5. Koşu,15,5.880,8.914,1.186,Yüksek,Yüksek Tempo,Kalabalık,"Tempolu yarış, sonlarda kırılma beklenir | Tahmini 400m: 26.04",Takipçi
6. Koşu,18,7.204,-0.750,0.987,Düşük,Orta Tempo,Kalabalık,"Dengeli yarış, pozisyon savaşı belirleyici | Tahmini 400m: 27.60",Takipçi
7. Koşu,11,6.238,3.534,1.100,Orta,Yüksek Tempo,Kalabalık,"Tempolu yarış, sonlarda kırılma beklenir | Stil dengesi: Takipçi ≈ Orta Grup | Tahmini 400m: 26.71",Takipçi / Orta Grup
8. Koşu,10,6.069,3.694,1.115,Orta,Yüksek Tempo,Orta grup,"Tempolu yarış, sonlarda kırılma beklenir | Tarihsel sinyal: Takipçi %50.1 | Tahmini 400m: 26.14",Takipçi
9. Koşu,10,1.000,0.000,1.000,Düşük,Orta Tempo,Orta grup,"Dengeli yarış, pozisyon savaşı belirleyici | Stil verisi dağınık: Takipçi ≈ Orta Grup ≈ Önde Kaçan ≈ Sprinter | Tahmini 400m: 27.50",Takipçi / Orta Grup / Önde Kaçan / Sprinter
10. Koşu,17,6.820,3.460,1.064,Orta,Orta Tempo,Kalabalık,"Dengeli yarış, pozisyon savaşı belirleyici | Tahmini 400m: 27.00",Takipçi
