at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,MONOMOY GIRL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %19, on-grup %62, onde %14.",1/21 (5%) | 4/21 (19%) | 13/21 (62%) | 3/21 (14%),1/21 (5%),4/21 (19%),13/21 (62%),3/21 (14%),Sulu,,0.54,https://yenibeygir.com/at/99599/monomoy-girl,99599
2,PEANUT GIRL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %64, onde %21.",0/14 (0%) | 2/14 (14%) | 9/14 (64%) | 3/14 (21%),0/14 (0%),2/14 (14%),9/14 (64%),3/14 (21%),Nem,X,7.14,https://yenibeygir.com/at/103015/peanut-girl,103015
3,AFTER LION,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %36, on-grup %33, onde %11.",7/36 (19%) | 13/36 (36%) | 12/36 (33%) | 4/36 (11%),7/36 (19%),13/36 (36%),12/36 (33%),4/36 (11%),,,0.72,https://yenibeygir.com/at/97414/after-lion,97414
4,PROMISE ME DELIGHT,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %11, on-grup %33, onde %56.",0/9 (0%) | 1/9 (11%) | 3/9 (33%) | 5/9 (56%),0/9 (0%),1/9 (11%),3/9 (33%),5/9 (56%),,X,5.58,https://yenibeygir.com/at/99035/promise-me-delight,99035
5,BLACK STONE,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %57, on-grup %33, onde %0.",2/21 (10%) | 12/21 (57%) | 7/21 (33%) | 0/21 (0%),2/21 (10%),12/21 (57%),7/21 (33%),0/21 (0%),,X,11.06,https://yenibeygir.com/at/100966/black-stone,100966
6,AY ÇÖLÜ,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %46, on-grup %16, onde %2.",18/50 (36%) | 23/50 (46%) | 8/50 (16%) | 1/50 (2%),18/50 (36%),23/50 (46%),8/50 (16%),1/50 (2%),,,1.33,https://yenibeygir.com/at/99705/ay-colu,99705
7,OĞUZ BAŞKAN,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %16, on-grup %47, onde %37.",0/19 (0%) | 3/19 (16%) | 9/19 (47%) | 7/19 (37%),0/19 (0%),3/19 (16%),9/19 (47%),7/19 (37%),Isl,,4.98,https://yenibeygir.com/at/98037/oguz-baskan,98037
8,CHİKYU,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/99002/chikyu,99002
9,JİNORA,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %25, on-grup %38, onde %0.",3/8 (38%) | 2/8 (25%) | 3/8 (38%) | 0/8 (0%),3/8 (38%),2/8 (25%),3/8 (38%),0/8 (0%),Sulu,X,6.83,https://yenibeygir.com/at/100049/jinora,100049
1,KIZIM RABİA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %9, on-grup %59, onde %18.",3/22 (14%) | 2/22 (9%) | 13/22 (59%) | 4/22 (18%),3/22 (14%),2/22 (9%),13/22 (59%),4/22 (18%),Sulu,,3.48,https://yenibeygir.com/at/101965/kizim-rabia,101965
2,PİTON KIZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %38, on-grup %46, onde %0.",2/13 (15%) | 5/13 (38%) | 6/13 (46%) | 0/13 (0%),2/13 (15%),5/13 (38%),6/13 (46%),0/13 (0%),,X,27.74,https://yenibeygir.com/at/104430/piton-kiz,104430
3,CEMO CAN,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %12, onde %88.",0/8 (0%) | 0/8 (0%) | 1/8 (12%) | 7/8 (88%),0/8 (0%),0/8 (0%),1/8 (12%),7/8 (88%),,,2.20,https://yenibeygir.com/at/103433/cemo-can,103433
4,FANTASTIC FLAME,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %44, on-grup %25, onde %0.",5/16 (31%) | 7/16 (44%) | 4/16 (25%) | 0/16 (0%),5/16 (31%),7/16 (44%),4/16 (25%),0/16 (0%),,X,7.34,https://yenibeygir.com/at/104118/fantastic-flame,104118
5,FIRST BREATH,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %50, onde %12.",0/8 (0%) | 3/8 (38%) | 4/8 (50%) | 1/8 (12%),0/8 (0%),3/8 (38%),4/8 (50%),1/8 (12%),Sulu,,1.42,https://yenibeygir.com/at/103169/first-breath,103169
6,NOVA SUN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/101793/nova-sun,101793
7,TELGRAF,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %25, onde %50.",1/8 (12%) | 1/8 (12%) | 2/8 (25%) | 4/8 (50%),1/8 (12%),1/8 (12%),2/8 (25%),4/8 (50%),,,2.47,https://yenibeygir.com/at/102731/telgraf,102731
8,VICTORY STAR,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %7, on-grup %29, onde %43.",3/14 (21%) | 1/14 (7%) | 4/14 (29%) | 6/14 (43%),3/14 (21%),1/14 (7%),4/14 (29%),6/14 (43%),,,1.57,https://yenibeygir.com/at/102950/victory-star,102950
9,QUEEN OF VICTORY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %16, on-grup %58, onde %11.",3/19 (16%) | 3/19 (16%) | 11/19 (58%) | 2/19 (11%),3/19 (16%),3/19 (16%),11/19 (58%),2/19 (11%),,X,16.76,https://yenibeygir.com/at/103373/queen-of-victory,103373
10,CRIMSON DANCER,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %50, onde %38.",0/8 (0%) | 1/8 (12%) | 4/8 (50%) | 3/8 (38%),0/8 (0%),1/8 (12%),4/8 (50%),3/8 (38%),,X,14.30,https://yenibeygir.com/at/105107/crimson-dancer,105107
11,DREAMFYRE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %75, onde %12.",0/8 (0%) | 1/8 (12%) | 6/8 (75%) | 1/8 (12%),0/8 (0%),1/8 (12%),6/8 (75%),1/8 (12%),Sulu,,0.00,https://yenibeygir.com/at/103718/dreamfyre,103718
12,UTKUN CAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/102802/utkun-can,102802
1,SARRAFTAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/86016/sarraftay,86016
2,ARAPÇELİK,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %32, on-grup %42, onde %12.",9/60 (15%) | 19/60 (32%) | 25/60 (42%) | 7/60 (12%),9/60 (15%),19/60 (32%),25/60 (42%),7/60 (12%),,,2.56,https://yenibeygir.com/at/88998/arapcelik,88998
3,KARAPINAR ASLANI,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %39, on-grup %22, onde %2.",33/88 (38%) | 34/88 (39%) | 19/88 (22%) | 2/88 (2%),33/88 (38%),34/88 (39%),19/88 (22%),2/88 (2%),Sulu,X,5.01,https://yenibeygir.com/at/88935/karapinar-aslani,88935
4,MUFUKCAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %22, on-grup %69, onde %5.",2/59 (3%) | 13/59 (22%) | 41/59 (69%) | 3/59 (5%),2/59 (3%),13/59 (22%),41/59 (69%),3/59 (5%),,,4.20,https://yenibeygir.com/at/91559/mufukcan,91559
5,OĞLUMBENİM,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %30, on-grup %52, onde %4.",15/105 (14%) | 31/105 (30%) | 55/105 (52%) | 4/105 (4%),15/105 (14%),31/105 (30%),55/105 (52%),4/105 (4%),,,4.57,https://yenibeygir.com/at/86986/oglumbenim,86986
6,ŞAHTAYIM,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %29, arka-grup %34, on-grup %37, onde %0.",10/35 (29%) | 12/35 (34%) | 13/35 (37%) | 0/35 (0%),10/35 (29%),12/35 (34%),13/35 (37%),0/35 (0%),Sulu,X,8.31,https://yenibeygir.com/at/97654/sahtayim,97654
7,TARGUTAY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %27, on-grup %53, onde %7.",8/59 (14%) | 16/59 (27%) | 31/59 (53%) | 4/59 (7%),8/59 (14%),16/59 (27%),31/59 (53%),4/59 (7%),,X,7.92,https://yenibeygir.com/at/93773/targutay,93773
