At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
MONOMOY GIRL,,6.75,1800,Kum,61,52.5,Şanlıurfa,1,99599,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %19, on-grup %62, onde %14.",1/21 (5%) | 4/21 (19%) | 13/21 (62%) | 3/21 (14%),Sulu,,0.54,https://yenibeygir.com/at/99599/monomoy-girl,bulundu
OĞUZ BAŞKAN,,6.75,1200,Kum,57,53,Şanlıurfa,7,98037,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %16, on-grup %47, onde %37.",0/19 (0%) | 3/19 (16%) | 9/19 (47%) | 7/19 (37%),Isl,,4.98,https://yenibeygir.com/at/98037/oguz-baskan,bulundu
AFTER LION,,6.84,2000,Kum,60,56.5,Şanlıurfa,3,97414,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %36, on-grup %33, onde %11.",7/36 (19%) | 13/36 (36%) | 12/36 (33%) | 4/36 (11%),,,0.72,https://yenibeygir.com/at/97414/after-lion,bulundu
JİNORA,,7.16,1400,Kum,52.5,55.4,Şanlıurfa,9,100049,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %25, on-grup %38, onde %0.",3/8 (38%) | 2/8 (25%) | 3/8 (38%) | 0/8 (0%),Sulu,X,6.83,https://yenibeygir.com/at/100049/jinora,bulundu
CHİKYU,,7.19,1900,Kum,55,57,Şanlıurfa,8,99002,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/99002/chikyu,bulundu
PROMISE ME DELIGHT,,7.23,1200,Sentetik,58,55,Antalya,4,99035,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %11, on-grup %33, onde %56.",0/9 (0%) | 1/9 (11%) | 3/9 (33%) | 5/9 (56%),,X,5.58,https://yenibeygir.com/at/99035/promise-me-delight,bulundu
AY ÇÖLÜ,,7.39,1700,Kum,58,55,Elazığ,6,99705,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %46, on-grup %16, onde %2.",18/50 (36%) | 23/50 (46%) | 8/50 (16%) | 1/50 (2%),,,1.33,https://yenibeygir.com/at/99705/ay-colu,bulundu
BLACK STONE,,7.40,1900,Kum,58.5,58.5,Şanlıurfa,5,100966,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %57, on-grup %33, onde %0.",2/21 (10%) | 12/21 (57%) | 7/21 (33%) | 0/21 (0%),,X,11.06,https://yenibeygir.com/at/100966/black-stone,bulundu
PEANUT GIRL,,7.55,1200,Kum,53.5,60.5,Elazığ,2,103015,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %64, onde %21.",0/14 (0%) | 2/14 (14%) | 9/14 (64%) | 3/14 (21%),Nem,X,7.14,https://yenibeygir.com/at/103015/peanut-girl,bulundu
