at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,CROWN TOZAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %38, on-grup %19, onde %0.",9/21 (43%) | 8/21 (38%) | 4/21 (19%) | 0/21 (0%),9/21 (43%),8/21 (38%),4/21 (19%),0/21 (0%),https://yenibeygir.com/at/102546/crown-tozan,102546
2,SERT RÜZGAR,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/8 (0%) | 4/8 (50%) | 4/8 (50%) | 0/8 (0%),0/8 (0%),4/8 (50%),4/8 (50%),0/8 (0%),https://yenibeygir.com/at/103913/sert-ruzgar,103913
3,BRENDON,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %56, on-grup %11, onde %0.",3/9 (33%) | 5/9 (56%) | 1/9 (11%) | 0/9 (0%),3/9 (33%),5/9 (56%),1/9 (11%),0/9 (0%),https://yenibeygir.com/at/104184/brendon,104184
4,ÇEVİK HANI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %23, on-grup %54, onde %15.",1/13 (8%) | 3/13 (23%) | 7/13 (54%) | 2/13 (15%),1/13 (8%),3/13 (23%),7/13 (54%),2/13 (15%),https://yenibeygir.com/at/102740/cevik-hani,102740
5,KING GENARAL,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %80, on-grup %20, onde %0.",0/5 (0%) | 4/5 (80%) | 1/5 (20%) | 0/5 (0%),0/5 (0%),4/5 (80%),1/5 (20%),0/5 (0%),https://yenibeygir.com/at/104687/king-genaral,104687
6,LAST GAME,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %22, arka-grup %33, on-grup %44, onde %0.",4/18 (22%) | 6/18 (33%) | 8/18 (44%) | 0/18 (0%),4/18 (22%),6/18 (33%),8/18 (44%),0/18 (0%),https://yenibeygir.com/at/102678/last-game,102678
7,ALPERİN OĞLU,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %20, on-grup %20, onde %0.",3/5 (60%) | 1/5 (20%) | 1/5 (20%) | 0/5 (0%),3/5 (60%),1/5 (20%),1/5 (20%),0/5 (0%),https://yenibeygir.com/at/101922/alperin-oglu,101922
8,BARAKHAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %60, arka-grup %30, on-grup %10, onde %0.",6/10 (60%) | 3/10 (30%) | 1/10 (10%) | 0/10 (0%),6/10 (60%),3/10 (30%),1/10 (10%),0/10 (0%),https://yenibeygir.com/at/104722/barakhan,104722
1,BİZİMSOY,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %36, onde %64.",0/11 (0%) | 0/11 (0%) | 4/11 (36%) | 7/11 (64%),0/11 (0%),0/11 (0%),4/11 (36%),7/11 (64%),https://yenibeygir.com/at/101774/bizimsoy,101774
2,MESTAN BEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %19, on-grup %56, onde %19.",1/16 (6%) | 3/16 (19%) | 9/16 (56%) | 3/16 (19%),1/16 (6%),3/16 (19%),9/16 (56%),3/16 (19%),https://yenibeygir.com/at/102042/mestan-bey,102042
