at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,SKYDIVE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %11, on-grup %80, onde %9.",0/44 (0%) | 5/44 (11%) | 35/44 (80%) | 4/44 (9%),0/44 (0%),5/44 (11%),35/44 (80%),4/44 (9%),https://yenibeygir.com/at/94385/skydive,94385
2,SAKLIKAPI,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %58, arka-grup %42, on-grup %0, onde %0.",14/24 (58%) | 10/24 (42%) | 0/24 (0%) | 0/24 (0%),14/24 (58%),10/24 (42%),0/24 (0%),0/24 (0%),https://yenibeygir.com/at/100630/saklikapi,100630
3,MELİS HANIM,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %24, arka-grup %49, on-grup %27, onde %0.",11/45 (24%) | 22/45 (49%) | 12/45 (27%) | 0/45 (0%),11/45 (24%),22/45 (49%),12/45 (27%),0/45 (0%),https://yenibeygir.com/at/97570/melis-hanim,97570
4,GREEN GÖLE,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %12, on-grup %50, onde %31.",2/26 (8%) | 3/26 (12%) | 13/26 (50%) | 8/26 (31%),2/26 (8%),3/26 (12%),13/26 (50%),8/26 (31%),https://yenibeygir.com/at/98839/green-gole,98839
5,IRON LION,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %13, on-grup %63, onde %17.",2/30 (7%) | 4/30 (13%) | 19/30 (63%) | 5/30 (17%),2/30 (7%),4/30 (13%),19/30 (63%),5/30 (17%),https://yenibeygir.com/at/101557/iron-lion,101557
6,EXOSOME,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %35, on-grup %35, onde %0.",8/26 (31%) | 9/26 (35%) | 9/26 (35%) | 0/26 (0%),8/26 (31%),9/26 (35%),9/26 (35%),0/26 (0%),https://yenibeygir.com/at/98961/exosome,98961
7,HIRÇIN KARTAL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %5, on-grup %79, onde %16.",0/19 (0%) | 1/19 (5%) | 15/19 (79%) | 3/19 (16%),0/19 (0%),1/19 (5%),15/19 (79%),3/19 (16%),https://yenibeygir.com/at/95623/hircin-kartal,95623
8,GILDED REFLECTION,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %44, onde %22.",0/9 (0%) | 3/9 (33%) | 4/9 (44%) | 2/9 (22%),0/9 (0%),3/9 (33%),4/9 (44%),2/9 (22%),https://yenibeygir.com/at/100233/gilded-reflection,100233
9,JUNIOR CURA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %41, on-grup %53, onde %0.",1/17 (6%) | 7/17 (41%) | 9/17 (53%) | 0/17 (0%),1/17 (6%),7/17 (41%),9/17 (53%),0/17 (0%),https://yenibeygir.com/at/100675/junior-cura,100675
1,ÇEVİK HANI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %23, on-grup %54, onde %15.",1/13 (8%) | 3/13 (23%) | 7/13 (54%) | 2/13 (15%),1/13 (8%),3/13 (23%),7/13 (54%),2/13 (15%),https://yenibeygir.com/at/102740/cevik-hani,102740
2,DANCE OF WIND,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %57, on-grup %21, onde %0.",3/14 (21%) | 8/14 (57%) | 3/14 (21%) | 0/14 (0%),3/14 (21%),8/14 (57%),3/14 (21%),0/14 (0%),https://yenibeygir.com/at/103675/dance-of-wind,103675
3,LITTLE CHIRAL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %29, on-grup %43, onde %0.",2/7 (29%) | 2/7 (29%) | 3/7 (43%) | 0/7 (0%),2/7 (29%),2/7 (29%),3/7 (43%),0/7 (0%),https://yenibeygir.com/at/104681/little-chiral,104681
4,JAZZMASTER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %13, on-grup %60, onde %27.",0/15 (0%) | 2/15 (13%) | 9/15 (60%) | 4/15 (27%),0/15 (0%),2/15 (13%),9/15 (60%),4/15 (27%),https://yenibeygir.com/at/102739/jazzmaster,102739
5,YELELİ KIZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %62, onde %12.",1/8 (12%) | 1/8 (12%) | 5/8 (62%) | 1/8 (12%),1/8 (12%),1/8 (12%),5/8 (62%),1/8 (12%),https://yenibeygir.com/at/102734/yeleli-kiz,102734
1,BÜYÜK DAĞ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %31, on-grup %62, onde %0.",1/16 (6%) | 5/16 (31%) | 10/16 (62%) | 0/16 (0%),1/16 (6%),5/16 (31%),10/16 (62%),0/16 (0%),https://yenibeygir.com/at/97498/buyuk-dag,97498
2,HAMDİ AĞA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %28, on-grup %62, onde %5.",2/39 (5%) | 11/39 (28%) | 24/39 (62%) | 2/39 (5%),2/39 (5%),11/39 (28%),24/39 (62%),2/39 (5%),https://yenibeygir.com/at/97864/hamdi-aga,97864
3,BALLIYARIM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %22, on-grup %63, onde %8.",4/51 (8%) | 11/51 (22%) | 32/51 (63%) | 4/51 (8%),4/51 (8%),11/51 (22%),32/51 (63%),4/51 (8%),https://yenibeygir.com/at/93698/balliyarim,93698
4,GÜVENABİ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %5, on-grup %39, onde %50.",2/38 (5%) | 2/38 (5%) | 15/38 (39%) | 19/38 (50%),2/38 (5%),2/38 (5%),15/38 (39%),19/38 (50%),https://yenibeygir.com/at/94203/guvenabi,94203
5,FERHAT KARDEŞ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %42, on-grup %42, onde %4.",3/24 (12%) | 10/24 (42%) | 10/24 (42%) | 1/24 (4%),3/24 (12%),10/24 (42%),10/24 (42%),1/24 (4%),https://yenibeygir.com/at/97259/ferhat-kardes,97259
6,RÜZGARTEPESİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %15, on-grup %66, onde %14.",4/86 (5%) | 13/86 (15%) | 57/86 (66%) | 12/86 (14%),4/86 (5%),13/86 (15%),57/86 (66%),12/86 (14%),https://yenibeygir.com/at/94399/ruzgartepesi,94399
7,ÇABUK,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %31, on-grup %29, onde %2.",18/48 (38%) | 15/48 (31%) | 14/48 (29%) | 1/48 (2%),18/48 (38%),15/48 (31%),14/48 (29%),1/48 (2%),https://yenibeygir.com/at/86471/cabuk,86471
8,SEDEN KIZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %28, on-grup %47, onde %17.",3/36 (8%) | 10/36 (28%) | 17/36 (47%) | 6/36 (17%),3/36 (8%),10/36 (28%),17/36 (47%),6/36 (17%),https://yenibeygir.com/at/94226/seden-kiz,94226
9,LAVİSTAKAYA,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %25, on-grup %15, onde %0.",29/48 (60%) | 12/48 (25%) | 7/48 (15%) | 0/48 (0%),29/48 (60%),12/48 (25%),7/48 (15%),0/48 (0%),https://yenibeygir.com/at/97962/lavistakaya,97962
10,BAY UTKU,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %13, on-grup %40, onde %40.",1/15 (7%) | 2/15 (13%) | 6/15 (40%) | 6/15 (40%),1/15 (7%),2/15 (13%),6/15 (40%),6/15 (40%),https://yenibeygir.com/at/100397/bay-utku,100397
11,YOVANKA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %53, onde %24.",2/17 (12%) | 2/17 (12%) | 9/17 (53%) | 4/17 (24%),2/17 (12%),2/17 (12%),9/17 (53%),4/17 (24%),https://yenibeygir.com/at/101006/yovanka,101006
1,BRAVO GÜR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106968/bravo-gur,106968
2,KING ALPASLAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106984/king-alpaslan,106984
3,KING OF LINGO,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106414/king-of-lingo,106414
4,KING SERGEN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106985/king-sergen,106985
5,PRENS APTİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106248/prens-apti,106248
6,ALPERİN KIZI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106986/alperin-kizi,106986
7,AŞAN STAR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106294/asan-star,106294
