Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,HIRÇIN KARTAL,Takipçi,,6.770,1.045,0.669,Yüksek Tempo,0.513573,1.897
1. Koşu,2,GILDED REFLECTION,Takipçi,Orta Grup,6.660,1.062,0.673,Yüksek Tempo,0.428777,1.932
1. Koşu,3,SKYDIVE,Takipçi,,7.130,0.992,0.658,Yüksek Tempo,0.427847,1.792
1. Koşu,4,IRON LION,Takipçi,,7.510,0.942,0.648,Yüksek Tempo,0.422398,1.691
1. Koşu,5,JUNIOR CURA,Takipçi,Orta Grup,7.550,0.937,0.647,Yüksek Tempo,0.415186,1.681
1. Koşu,6,EXOSOME,Orta Grup,Takipçi,6.990,1.012,0.397,Yüksek Tempo,0.347602,1.908
1. Koşu,7,GREEN GÖLE,Takipçi,Önde Kaçan,7.050,1.003,1.490,Yüksek Tempo,0.328622,1.573
1. Koşu,8,MELİS HANIM,Orta Grup,,6.810,1.039,0.000,Yüksek Tempo,0.078916,2.077
1. Koşu,9,SAKLIKAPI,Sprinter,Orta Grup,7.190,0.984,-1.015,Yüksek Tempo,0.048489,1.968
2. Koşu,1,ÇEVİK HANI,Takipçi,,7.280,0.967,0.653,Yüksek Tempo,0.506081,1.742
2. Koşu,2,YELELİ KIZ,Takipçi,,6.750,1.043,0.669,Yüksek Tempo,0.434355,1.893
2. Koşu,3,JAZZMASTER,Takipçi,,7.080,0.994,0.659,Yüksek Tempo,0.429058,1.796
2. Koşu,4,LITTLE CHIRAL,Takipçi,,7.270,0.968,0.562,Yüksek Tempo,0.317079,1.744
2. Koşu,5,DANCE OF WIND,Orta Grup,,6.820,1.032,0.000,Yüksek Tempo,0.083347,2.065
3. Koşu,1,YOVANKA,Takipçi,,7.520,1.029,0.666,Yüksek Tempo,0.424482,1.865
3. Koşu,2,RÜZGARTEPESİ,Takipçi,,7.730,1.001,0.660,Yüksek Tempo,0.421658,1.810
3. Koşu,3,SEDEN KIZ,Takipçi,,7.738,1.000,0.660,Yüksek Tempo,0.421553,1.808
