At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
GILDED REFLECTION,,6.66,1800,Kum,54.5,52,Şanlıurfa,8,100233,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %44, onde %22.",0/9 (0%) | 3/9 (33%) | 4/9 (44%) | 2/9 (22%),https://yenibeygir.com/at/100233/gilded-reflection,bulundu
HIRÇIN KARTAL,,6.77,1400,Kum,56.6,54,Adana,7,95623,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %5, on-grup %79, onde %16.",0/19 (0%) | 1/19 (5%) | 15/19 (79%) | 3/19 (16%),https://yenibeygir.com/at/95623/hircin-kartal,bulundu
MELİS HANIM,,6.81,2200,Kum,61,60.5,Antalya,3,97570,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %24, arka-grup %49, on-grup %27, onde %0.",11/45 (24%) | 22/45 (49%) | 12/45 (27%) | 0/45 (0%),https://yenibeygir.com/at/97570/melis-hanim,bulundu
EXOSOME,,6.99,1200,Kum,53.9,54,Elazığ,6,98961,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %35, on-grup %35, onde %0.",8/26 (31%) | 9/26 (35%) | 9/26 (35%) | 0/26 (0%),https://yenibeygir.com/at/98961/exosome,bulundu
GREEN GÖLE,,7.05,1200,Kum,60.5,59,Elazığ,4,98839,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %12, on-grup %50, onde %31.",2/26 (8%) | 3/26 (12%) | 13/26 (50%) | 8/26 (31%),https://yenibeygir.com/at/98839/green-gole,bulundu
SKYDIVE,,7.13,2200,Sentetik,63,56.2,İstanbul,1,94385,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %11, on-grup %80, onde %9.",0/44 (0%) | 5/44 (11%) | 35/44 (80%) | 4/44 (9%),https://yenibeygir.com/at/94385/skydive,bulundu
SAKLIKAPI,,7.19,1700,Kum,61.5,54.9,Elazığ,2,100630,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %58, arka-grup %42, on-grup %0, onde %0.",14/24 (58%) | 10/24 (42%) | 0/24 (0%) | 0/24 (0%),https://yenibeygir.com/at/100630/saklikapi,bulundu
IRON LION,,7.51,1200,Kum,58.6,58,Elazığ,5,101557,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %13, on-grup %63, onde %17.",2/30 (7%) | 4/30 (13%) | 19/30 (63%) | 5/30 (17%),https://yenibeygir.com/at/101557/iron-lion,bulundu
JUNIOR CURA,,7.55,1800,Kum,54.5,52,Şanlıurfa,9,100675,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %41, on-grup %53, onde %0.",1/17 (6%) | 7/17 (41%) | 9/17 (53%) | 0/17 (0%),https://yenibeygir.com/at/100675/junior-cura,bulundu
,2. Koşu,,,,,,,,,,,,,,
