at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,SHAREHOLDER,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %50, on-grup %25, onde %8.",2/12 (17%) | 6/12 (50%) | 3/12 (25%) | 1/12 (8%),2/12 (17%),6/12 (50%),3/12 (25%),1/12 (8%),https://yenibeygir.com/at/102524/shareholder,102524
2,COSAS,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %25, on-grup %50, onde %0.",1/4 (25%) | 1/4 (25%) | 2/4 (50%) | 0/4 (0%),1/4 (25%),1/4 (25%),2/4 (50%),0/4 (0%),https://yenibeygir.com/at/103831/cosas,103831
3,DIRE WOLF,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),1/3 (33%),1/3 (33%),1/3 (33%),0/3 (0%),https://yenibeygir.com/at/103889/dire-wolf,103889
4,GONE WITH STORM,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",2/6 (33%) | 2/6 (33%) | 2/6 (33%) | 0/6 (0%),2/6 (33%),2/6 (33%),2/6 (33%),0/6 (0%),https://yenibeygir.com/at/104040/gone-with-storm,104040
5,TALİPHAN BEY,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %0, on-grup %67, onde %0.",1/3 (33%) | 0/3 (0%) | 2/3 (67%) | 0/3 (0%),1/3 (33%),0/3 (0%),2/3 (67%),0/3 (0%),https://yenibeygir.com/at/104110/taliphan-bey,104110
6,LİSENDORA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %83, onde %17.",0/6 (0%) | 0/6 (0%) | 5/6 (83%) | 1/6 (17%),0/6 (0%),0/6 (0%),5/6 (83%),1/6 (17%),https://yenibeygir.com/at/103784/lisendora,103784
7,FIBER,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %0, on-grup %67, onde %0.",1/3 (33%) | 0/3 (0%) | 2/3 (67%) | 0/3 (0%),1/3 (33%),0/3 (0%),2/3 (67%),0/3 (0%),https://yenibeygir.com/at/104810/fiber,104810
8,NO MORE SORROW,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %67, on-grup %33, onde %0.",0/3 (0%) | 2/3 (67%) | 1/3 (33%) | 0/3 (0%),0/3 (0%),2/3 (67%),1/3 (33%),0/3 (0%),https://yenibeygir.com/at/104344/no-more-sorrow,104344
9,SECRET VICTOR,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/4 (0%) | 2/4 (50%) | 2/4 (50%) | 0/4 (0%),0/4 (0%),2/4 (50%),2/4 (50%),0/4 (0%),https://yenibeygir.com/at/105348/secret-victor,105348
10,SHINING DRAGON,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %67, onde %33.",0/3 (0%) | 0/3 (0%) | 2/3 (67%) | 1/3 (33%),0/3 (0%),0/3 (0%),2/3 (67%),1/3 (33%),https://yenibeygir.com/at/104495/shining-dragon,104495
