at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,IRON CLEM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %22, on-grup %44, onde %11.",2/9 (22%) | 2/9 (22%) | 4/9 (44%) | 1/9 (11%),2/9 (22%),2/9 (22%),4/9 (44%),1/9 (11%),,,0.35,https://yenibeygir.com/at/103222/iron-clem,103222
2,LAST HERO,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %75, arka-grup %25, on-grup %0, onde %0.",3/4 (75%) | 1/4 (25%) | 0/4 (0%) | 0/4 (0%),3/4 (75%),1/4 (25%),0/4 (0%),0/4 (0%),,,0.29,https://yenibeygir.com/at/104713/last-hero,104713
3,ANOTHER MOMENT,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %12, on-grup %38, onde %12.",3/8 (38%) | 1/8 (12%) | 3/8 (38%) | 1/8 (12%),3/8 (38%),1/8 (12%),3/8 (38%),1/8 (12%),,,0.84,https://yenibeygir.com/at/102528/another-moment,102528
4,KING OF PROTI,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %67, on-grup %33, onde %0.",0/3 (0%) | 2/3 (67%) | 1/3 (33%) | 0/3 (0%),0/3 (0%),2/3 (67%),1/3 (33%),0/3 (0%),,,0.00,https://yenibeygir.com/at/102783/king-of-proti,102783
5,VEN CONMİGO,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %56, arka-grup %44, on-grup %0, onde %0.",9/16 (56%) | 7/16 (44%) | 0/16 (0%) | 0/16 (0%),9/16 (56%),7/16 (44%),0/16 (0%),0/16 (0%),,,1.33,https://yenibeygir.com/at/102488/ven-conmigo,102488
6,BY MUTLU,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %86, onde %14.",0/7 (0%) | 0/7 (0%) | 6/7 (86%) | 1/7 (14%),0/7 (0%),0/7 (0%),6/7 (86%),1/7 (14%),,,4.53,https://yenibeygir.com/at/103826/by-mutlu,103826
7,WATERSHED,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),0/3 (0%),1/3 (33%),2/3 (67%),0/3 (0%),,,0.45,https://yenibeygir.com/at/104680/watershed,104680
8,INVINCIBLE ARES,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/6 (0%) | 3/6 (50%) | 3/6 (50%) | 0/6 (0%),0/6 (0%),3/6 (50%),3/6 (50%),0/6 (0%),,,2.09,https://yenibeygir.com/at/103602/invincible-ares,103602
1,LAZMAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %18, on-grup %59, onde %18.",2/44 (5%) | 8/44 (18%) | 26/44 (59%) | 8/44 (18%),2/44 (5%),8/44 (18%),26/44 (59%),8/44 (18%),,,2.28,https://yenibeygir.com/at/97289/lazman,97289
2,BARAN REİS,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %24, on-grup %61, onde %6.",5/62 (8%) | 15/62 (24%) | 38/62 (61%) | 4/62 (6%),5/62 (8%),15/62 (24%),38/62 (61%),4/62 (6%),,,1.09,https://yenibeygir.com/at/94511/baran-reis,94511
3,ÖZGÜNALP,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %54, arka-grup %29, on-grup %18, onde %0.",15/28 (54%) | 8/28 (29%) | 5/28 (18%) | 0/28 (0%),15/28 (54%),8/28 (29%),5/28 (18%),0/28 (0%),Nem,,0.78,https://yenibeygir.com/at/102234/ozgunalp,102234
4,AKGÜN AĞA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %20, on-grup %60, onde %4.",4/25 (16%) | 5/25 (20%) | 15/25 (60%) | 1/25 (4%),4/25 (16%),5/25 (20%),15/25 (60%),1/25 (4%),Nem,,0.00,https://yenibeygir.com/at/101441/akgun-aga,101441
5,TUNÇYILMAZ,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %24, on-grup %38, onde %4.",15/45 (33%) | 11/45 (24%) | 17/45 (38%) | 2/45 (4%),15/45 (33%),11/45 (24%),17/45 (38%),2/45 (4%),,,2.04,https://yenibeygir.com/at/94392/tuncyilmaz,94392
6,MANDAR ABBAS,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %39, on-grup %49, onde %0.",5/41 (12%) | 16/41 (39%) | 20/41 (49%) | 0/41 (0%),5/41 (12%),16/41 (39%),20/41 (49%),0/41 (0%),,X,8.07,https://yenibeygir.com/at/94966/mandar-abbas,94966
7,YAĞIZHANBEY,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %31, on-grup %51, onde %3.",6/39 (15%) | 12/39 (31%) | 20/39 (51%) | 1/39 (3%),6/39 (15%),12/39 (31%),20/39 (51%),1/39 (3%),Nem,,1.11,https://yenibeygir.com/at/97659/yagizhanbey,97659
8,BABA TUNA,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %58, arka-grup %39, on-grup %3, onde %0.",19/33 (58%) | 13/33 (39%) | 1/33 (3%) | 0/33 (0%),19/33 (58%),13/33 (39%),1/33 (3%),0/33 (0%),,,1.12,https://yenibeygir.com/at/101913/baba-tuna,101913
9,ÖZGÜNBERK,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %47, arka-grup %41, on-grup %12, onde %0.",8/17 (47%) | 7/17 (41%) | 2/17 (12%) | 0/17 (0%),8/17 (47%),7/17 (41%),2/17 (12%),0/17 (0%),Nem,,0.69,https://yenibeygir.com/at/101985/ozgunberk,101985
10,BATUGA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %33, on-grup %46, onde %0.",5/24 (21%) | 8/24 (33%) | 11/24 (46%) | 0/24 (0%),5/24 (21%),8/24 (33%),11/24 (46%),0/24 (0%),,,0.33,https://yenibeygir.com/at/102441/batuga,102441
11,İLKUTHAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %20, on-grup %50, onde %10.",2/10 (20%) | 2/10 (20%) | 5/10 (50%) | 1/10 (10%),2/10 (20%),2/10 (20%),5/10 (50%),1/10 (10%),Nem,,0.36,https://yenibeygir.com/at/103203/ilkuthan,103203
12,SAHAFBEY,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",1/5 (20%) | 2/5 (40%) | 2/5 (40%) | 0/5 (0%),1/5 (20%),2/5 (40%),2/5 (40%),0/5 (0%),Nem,,4.40,https://yenibeygir.com/at/105058/sahafbey,105058
1,BÜYÜK ATTİLA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105433/buyuk-attila,105433
2,GOLDEN CHAMPION,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106554/golden-champion,106554
3,PYROHAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106163/pyrohan,106163
4,RAZENOID,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105383/razenoid,105383
5,STORM SOVEREIGN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106553/storm-sovereign,106553
6,VICTORY OF TOMO,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105589/victory-of-tomo,105589
7,ADDISON,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106079/addison,106079
8,SPEED QUEEN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105596/speed-queen,105596
1,DAELLA,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %10, on-grup %40, onde %40.",1/10 (10%) | 1/10 (10%) | 4/10 (40%) | 4/10 (40%),1/10 (10%),1/10 (10%),4/10 (40%),4/10 (40%),Sulu,,0.29,https://yenibeygir.com/at/102665/daella,102665
2,GRACE OF GOD,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %62, onde %38.",0/8 (0%) | 0/8 (0%) | 5/8 (62%) | 3/8 (38%),0/8 (0%),0/8 (0%),5/8 (62%),3/8 (38%),"Ağır Çim (5,6)",,0.49,https://yenibeygir.com/at/101435/grace-of-god,101435
3,HAMA DESTINATION,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %57, onde %29.",0/7 (0%) | 1/7 (14%) | 4/7 (57%) | 2/7 (29%),0/7 (0%),1/7 (14%),4/7 (57%),2/7 (29%),,,0.32,https://yenibeygir.com/at/104250/hama-destination,104250
4,HAŞARI,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),0/3 (0%),1/3 (33%),2/3 (67%),0/3 (0%),,,1.09,https://yenibeygir.com/at/105184/hasari,105184
5,HOLD FAST,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %45, on-grup %27, onde %18.",1/11 (9%) | 5/11 (45%) | 3/11 (27%) | 2/11 (18%),1/11 (9%),5/11 (45%),3/11 (27%),2/11 (18%),,,0.62,https://yenibeygir.com/at/102530/hold-fast,102530
6,INCOME,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %40, onde %60.",0/5 (0%) | 0/5 (0%) | 2/5 (40%) | 3/5 (60%),0/5 (0%),0/5 (0%),2/5 (40%),3/5 (60%),,,1.16,https://yenibeygir.com/at/103623/income,103623
