Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,BLUEMOON,Takipçi,Önde Kaçan,7.170,0.999,1.584,Yüksek Tempo,0.468422,1.470
1. Koşu,2,BİLETÇİ KIZ,Orta Grup,Sprinter,7.090,1.010,-0.650,Yüksek Tempo,0.390024,2.021
1. Koşu,3,BENİM SULTANIM,Takipçi,,7.120,1.006,0.721,Yüksek Tempo,0.375225,1.772
1. Koşu,4,NERGİZLİ,Takipçi,,7.320,0.979,0.715,Yüksek Tempo,0.372186,1.717
1. Koşu,5,TUĞCU SULTAN,Orta Grup,Takipçi,6.940,1.032,0.437,Yüksek Tempo,0.347801,1.920
1. Koşu,6,FIRATIN GÜCÜ,Sprinter,,7.220,0.992,-1.077,Yüksek Tempo,0.290155,1.984
1. Koşu,7,DİLAN KIZ,Önde Kaçan,Takipçi,7.210,0.994,1.868,Yüksek Tempo,0.223588,1.363
1. Koşu,8,SUBİKE,Bilinmiyor,,6.940,1.032,0.000,Yüksek Tempo,0.089337,2.064
1. Koşu,9,SAADGIRL,Bilinmiyor,,7.460,0.960,0.000,Yüksek Tempo,0.083110,1.920
2. Koşu,1,AZİZ DOSTUM,Takipçi,,1.000,1.000,0.720,Yüksek Tempo,0.908000,1.760
2. Koşu,2,KAFKAS YÜREKLİ,Takipçi,,1.000,1.000,0.720,Yüksek Tempo,0.908000,1.760
2. Koşu,3,KERVAN SANCAĞI,Takipçi,,1.000,1.000,0.720,Yüksek Tempo,0.908000,1.760
2. Koşu,4,USKUMRU,Takipçi,,1.000,1.000,0.720,Yüksek Tempo,0.908000,1.760
2. Koşu,5,HIZLI KRAL,Sprinter,,1.000,1.000,-1.080,Yüksek Tempo,0.824000,2.000
2. Koşu,6,DAĞYIKAN,Orta Grup,,1.000,1.000,0.000,Yüksek Tempo,0.716000,2.000
2. Koşu,7,DEDEMHAMZAREİS,Orta Grup,,1.000,1.000,0.000,Yüksek Tempo,0.716000,2.000
2. Koşu,8,SAROZ BEYİ,Orta Grup,,1.000,1.000,0.000,Yüksek Tempo,0.716000,2.000
2. Koşu,9,ARABIAN NIGHTS,Bilinmiyor,,1.000,1.000,0.000,Yüksek Tempo,0.620000,2.000
2. Koşu,10,DAYANA,Bilinmiyor,,1.000,1.000,0.000,Yüksek Tempo,0.620000,2.000
2. Koşu,11,KAUÇUKÇU,Önde Kaçan,,1.000,1.000,1.440,Yüksek Tempo,0.596000,1.520
3. Koşu,1,TURKISH PUNCH,Orta Grup,Takipçi,5.920,1.053,0.440,Orta Tempo,0.623086,
3. Koşu,2,SUICIDE KING,Takipçi,Orta Grup,6.130,1.016,0.724,Orta Tempo,0.580337,
3. Koşu,3,ALAKONT,Takipçi,,6.080,1.025,0.726,Orta Tempo,0.462570,
3. Koşu,4,PAREZKAR,Orta Grup,,5.980,1.042,0.000,Orta Tempo,0.319679,
3. Koşu,5,THE WITCHER,Takipçi,,8.210,0.759,0.563,Orta Tempo,0.299800,
3. Koşu,6,GREY GHOST,Sprinter,Takipçi,6.000,1.038,-0.656,Orta Tempo,0.268102,
3. Koşu,7,DIAMOND BROTHERS,Sprinter,Orta Grup,5.990,1.040,-1.094,Orta Tempo,0.184857,
3. Koşu,8,ANOTHER BANGER,Sprinter,Orta Grup,6.050,1.030,-1.091,Orta Tempo,0.184202,
3. Koşu,9,KANDO,Bilinmiyor,,5.940,1.049,0.000,Orta Tempo,0.104377,
