At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
SUBİKE,,6.94,2000,Kum,55.5,53.5,İstanbul,1,76958,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/76958/subike,bulundu
TUĞCU SULTAN,,6.94,1400,Sentetik,56.3,56,İstanbul,9,98321,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %57, on-grup %38, onde %0.",1/21 (5%) | 12/21 (57%) | 8/21 (38%) | 0/21 (0%),,,0.52,https://yenibeygir.com/at/98321/tugcu-sultan,bulundu
BİLETÇİ KIZ,,7.09,2000,Kum,56,57.6,İstanbul,3,93575,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %44, on-grup %19, onde %4.",9/27 (33%) | 12/27 (44%) | 5/27 (19%) | 1/27 (4%),Nem,,3.52,https://yenibeygir.com/at/93575/biletci-kiz,bulundu
BENİM SULTANIM,,7.12,1300,Çim,56,60,Adana,2,98608,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %26, on-grup %48, onde %22.",1/27 (4%) | 7/27 (26%) | 13/27 (48%) | 6/27 (22%),,,2.62,https://yenibeygir.com/at/98608/benim-sultanim,bulundu
BLUEMOON,,7.17,2100,Çim,52.8,57,İstanbul,4,94362,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %14, on-grup %48, onde %33.",1/21 (5%) | 3/21 (14%) | 10/21 (48%) | 7/21 (33%),"Hafif Çim (3,6)",,0.71,https://yenibeygir.com/at/94362/bluemoon,bulundu
DİLAN KIZ,,7.21,1300,Sentetik,57.2,57,Antalya,5,89077,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %9, on-grup %31, onde %57.",2/74 (3%) | 7/74 (9%) | 23/74 (31%) | 42/74 (57%),,,2.58,https://yenibeygir.com/at/89077/dilan-kiz,bulundu
FIRATIN GÜCÜ,,7.22,1400,Sentetik,56.8,56,İstanbul,6,97348,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %51, arka-grup %27, on-grup %16, onde %5.",19/37 (51%) | 10/37 (27%) | 6/37 (16%) | 2/37 (5%),,,4.20,https://yenibeygir.com/at/97348/firatin-gucu,bulundu
NERGİZLİ,,7.32,2100,Sentetik,56,57.5,İstanbul,7,97202,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %12, on-grup %67, onde %0.",5/24 (21%) | 3/24 (12%) | 16/24 (67%) | 0/24 (0%),,,4.85,https://yenibeygir.com/at/97202/nergizli,bulundu
SAADGIRL,,7.46,2000,Kum,53.9,56.5,İstanbul,8,95352,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/95352/saadgirl,bulundu
,2. Koşu,,,,,,,,,,,,,,,,,
ARABIAN NIGHTS,,geçersiz,,,57,,,1,105460,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105460/arabian-nights,bulundu
AZİZ DOSTUM,,geçersiz,,,57,,,2,106502,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/106502/aziz-dostum,bulundu
DAĞYIKAN,,geçersiz,,,57.1,,,3,105534,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105534/dagyikan,bulundu
DEDEMHAMZAREİS,,geçersiz,,,58.1,,,4,106115,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/106115/dedemhamzareis,bulundu
HIZLI KRAL,,geçersiz,,,57,,,5,106956,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/106956/hizli-kral,bulundu
KAFKAS YÜREKLİ,,geçersiz,,,57,,,6,106436,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/106436/kafkas-yurekli,bulundu
KAUÇUKÇU,,geçersiz,,,57.6,,,7,105493,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/1 (0%) | 0/1 (0%) | 0/1 (0%) | 1/1 (100%),,,,https://yenibeygir.com/at/105493/kaucukcu,bulundu
KERVAN SANCAĞI,,geçersiz,,,58,,,8,105532,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/105532/kervan-sancagi,bulundu
SAROZ BEYİ,,geçersiz,,,57,,,9,105485,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105485/saroz-beyi,bulundu
USKUMRU,,geçersiz,,,57,,,10,105576,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/105576/uskumru,bulundu
DAYANA,,geçersiz,,,55,,,11,106103,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106103/dayana,bulundu
