at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,MAGIC BANK,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %11, on-grup %37, onde %42.",2/19 (11%) | 2/19 (11%) | 7/19 (37%) | 8/19 (42%),2/19 (11%),2/19 (11%),7/19 (37%),8/19 (42%),,,0.22,https://yenibeygir.com/at/102436/magic-bank,102436
2,TIZ A BELLA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %14, on-grup %57, onde %0.",4/14 (29%) | 2/14 (14%) | 8/14 (57%) | 0/14 (0%),4/14 (29%),2/14 (14%),8/14 (57%),0/14 (0%),Nem,,1.66,https://yenibeygir.com/at/103301/tiz-a-bella,103301
3,NO BRAKES,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %56, on-grup %0, onde %0.",4/9 (44%) | 5/9 (56%) | 0/9 (0%) | 0/9 (0%),4/9 (44%),5/9 (56%),0/9 (0%),0/9 (0%),,,0.57,https://yenibeygir.com/at/103394/no-brakes,103394
4,FIREBLADE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %75, on-grup %25, onde %0.",0/4 (0%) | 3/4 (75%) | 1/4 (25%) | 0/4 (0%),0/4 (0%),3/4 (75%),1/4 (25%),0/4 (0%),Nem,,0.79,https://yenibeygir.com/at/104630/fireblade,104630
5,OLAYIN ASLI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %23, arka-grup %8, on-grup %54, onde %15.",3/13 (23%) | 1/13 (8%) | 7/13 (54%) | 2/13 (15%),3/13 (23%),1/13 (8%),7/13 (54%),2/13 (15%),,,0.00,https://yenibeygir.com/at/104058/olayin-asli,104058
6,PERFECT WHITE,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %36, on-grup %29, onde %0.",5/14 (36%) | 5/14 (36%) | 4/14 (29%) | 0/14 (0%),5/14 (36%),5/14 (36%),4/14 (29%),0/14 (0%),,,3.66,https://yenibeygir.com/at/102978/perfect-white,102978
7,MADAM ANAHİT,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %50, onde %0.",2/4 (50%) | 0/4 (0%) | 2/4 (50%) | 0/4 (0%),2/4 (50%),0/4 (0%),2/4 (50%),0/4 (0%),,,0.73,https://yenibeygir.com/at/104476/madam-anahit,104476
8,DAUGHTER OF GODDES,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %20, on-grup %20, onde %40.",1/5 (20%) | 1/5 (20%) | 1/5 (20%) | 2/5 (40%),1/5 (20%),1/5 (20%),1/5 (20%),2/5 (40%),,,0.00,https://yenibeygir.com/at/105174/daughter-of-goddes,105174
9,DUBLIN DREAM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %0, on-grup %71, onde %14.",1/7 (14%) | 0/7 (0%) | 5/7 (71%) | 1/7 (14%),1/7 (14%),0/7 (0%),5/7 (71%),1/7 (14%),,,0.98,https://yenibeygir.com/at/105128/dublin-dream,105128
10,KOLOSTRUM,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %54, on-grup %15, onde %0.",4/13 (31%) | 7/13 (54%) | 2/13 (15%) | 0/13 (0%),4/13 (31%),7/13 (54%),2/13 (15%),0/13 (0%),,,4.84,https://yenibeygir.com/at/103596/kolostrum,103596
1,TEMERARIO,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),0/1 (0%),0/1 (0%),1/1 (100%),0/1 (0%),,,,https://yenibeygir.com/at/105625/temerario,105625
2,AHSEN SULTAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),0/1 (0%),0/1 (0%),1/1 (100%),0/1 (0%),,,,https://yenibeygir.com/at/106310/ahsen-sultan,106310
3,LADY ESİN,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),1/1 (100%),0/1 (0%),0/1 (0%),0/1 (0%),,,,https://yenibeygir.com/at/105832/lady-esin,105832
4,LEOPARDESS,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/1 (0%) | 0/1 (0%) | 0/1 (0%) | 1/1 (100%),0/1 (0%),0/1 (0%),0/1 (0%),1/1 (100%),,,,https://yenibeygir.com/at/105595/leopardess,105595
5,NEVER SAY NO,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),0/1 (0%),1/1 (100%),0/1 (0%),0/1 (0%),,,,https://yenibeygir.com/at/106303/never-say-no,106303
6,PİSA BY PİSANO,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),1/1 (100%),0/1 (0%),0/1 (0%),0/1 (0%),,,,https://yenibeygir.com/at/106308/pisa-by-pisano,106308
1,BÜLENT,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %36, on-grup %57, onde %0.",8/120 (7%) | 43/120 (36%) | 69/120 (57%) | 0/120 (0%),8/120 (7%),43/120 (36%),69/120 (57%),0/120 (0%),,,1.26,https://yenibeygir.com/at/86494/bulent,86494
2,QUANTUM OF SOLACE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %21, on-grup %58, onde %11.",2/19 (11%) | 4/19 (21%) | 11/19 (58%) | 2/19 (11%),2/19 (11%),4/19 (21%),11/19 (58%),2/19 (11%),Nem,,2.50,https://yenibeygir.com/at/98627/quantum-of-solace,98627
3,LA BOMBONERA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %28, on-grup %57, onde %7.",4/54 (7%) | 15/54 (28%) | 31/54 (57%) | 4/54 (7%),4/54 (7%),15/54 (28%),31/54 (57%),4/54 (7%),,,0.00,https://yenibeygir.com/at/90060/la-bombonera,90060
4,BERİD,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %62, arka-grup %32, on-grup %6, onde %0.",39/63 (62%) | 20/63 (32%) | 4/63 (6%) | 0/63 (0%),39/63 (62%),20/63 (32%),4/63 (6%),0/63 (0%),,,2.63,https://yenibeygir.com/at/96689/berid,96689
5,MANCUNIAN BEDİİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %13, on-grup %61, onde %21.",2/38 (5%) | 5/38 (13%) | 23/38 (61%) | 8/38 (21%),2/38 (5%),5/38 (13%),23/38 (61%),8/38 (21%),Nem,,3.04,https://yenibeygir.com/at/95372/mancunian-bedii,95372
6,AEGEAN QUEEN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %32, on-grup %44, onde %4.",5/25 (20%) | 8/25 (32%) | 11/25 (44%) | 1/25 (4%),5/25 (20%),8/25 (32%),11/25 (44%),1/25 (4%),,,1.08,https://yenibeygir.com/at/94523/aegean-queen,94523
7,CAN SADİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %22, on-grup %61, onde %4.",3/23 (13%) | 5/23 (22%) | 14/23 (61%) | 1/23 (4%),3/23 (13%),5/23 (22%),14/23 (61%),1/23 (4%),,,3.43,https://yenibeygir.com/at/99706/can-sadi,99706
8,EASTERN EXPRESS,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %14, on-grup %57, onde %21.",1/14 (7%) | 2/14 (14%) | 8/14 (57%) | 3/14 (21%),1/14 (7%),2/14 (14%),8/14 (57%),3/14 (21%),,X,10.24,https://yenibeygir.com/at/99874/eastern-express,99874
9,HUMAN TORCH,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %16, on-grup %73, onde %11.",0/37 (0%) | 6/37 (16%) | 27/37 (73%) | 4/37 (11%),0/37 (0%),6/37 (16%),27/37 (73%),4/37 (11%),,,3.96,https://yenibeygir.com/at/93314/human-torch,93314
10,ATOMİC FORCE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %11, on-grup %56, onde %28.",1/18 (6%) | 2/18 (11%) | 10/18 (56%) | 5/18 (28%),1/18 (6%),2/18 (11%),10/18 (56%),5/18 (28%),,,1.09,https://yenibeygir.com/at/100926/atomic-force,100926
11,LE ROI DANSE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %9, on-grup %80, onde %3.",3/35 (9%) | 3/35 (9%) | 28/35 (80%) | 1/35 (3%),3/35 (9%),3/35 (9%),28/35 (80%),1/35 (3%),,,0.00,https://yenibeygir.com/at/94710/le-roi-danse,94710
12,SON ELÇİ,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %68, arka-grup %23, on-grup %10, onde %0.",21/31 (68%) | 7/31 (23%) | 3/31 (10%) | 0/31 (0%),21/31 (68%),7/31 (23%),3/31 (10%),0/31 (0%),Nem,X,9.91,https://yenibeygir.com/at/96217/son-elci,96217
13,ÇİFTÇİ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %17, on-grup %33, onde %44.",1/18 (6%) | 3/18 (17%) | 6/18 (33%) | 8/18 (44%),1/18 (6%),3/18 (17%),6/18 (33%),8/18 (44%),,X,6.22,https://yenibeygir.com/at/99418/ciftci,99418
1,TURBO KING,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %26, on-grup %47, onde %15.",4/34 (12%) | 9/34 (26%) | 16/34 (47%) | 5/34 (15%),4/34 (12%),9/34 (26%),16/34 (47%),5/34 (15%),,,1.17,https://yenibeygir.com/at/97999/turbo-king,97999
2,ŞAH DRAGON,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %33, on-grup %55, onde %0.",13/107 (12%) | 35/107 (33%) | 59/107 (55%) | 0/107 (0%),13/107 (12%),35/107 (33%),59/107 (55%),0/107 (0%),,,0.32,https://yenibeygir.com/at/86072/sah-dragon,86072
3,UZUN TAY,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %47, on-grup %43, onde %0.",5/47 (11%) | 22/47 (47%) | 20/47 (43%) | 0/47 (0%),5/47 (11%),22/47 (47%),20/47 (43%),0/47 (0%),,,1.89,https://yenibeygir.com/at/93281/uzun-tay,93281
4,KATI ZEYNEL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %18, on-grup %69, onde %0.",6/45 (13%) | 8/45 (18%) | 31/45 (69%) | 0/45 (0%),6/45 (13%),8/45 (18%),31/45 (69%),0/45 (0%),,,0.71,https://yenibeygir.com/at/95218/kati-zeynel,95218
5,JÖN ROME,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %57, on-grup %14, onde %7.",3/14 (21%) | 8/14 (57%) | 2/14 (14%) | 1/14 (7%),3/14 (21%),8/14 (57%),2/14 (14%),1/14 (7%),,,0.92,https://yenibeygir.com/at/101708/jon-rome,101708
6,SUFLE,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %18, arka-grup %42, on-grup %39, onde %0.",17/92 (18%) | 39/92 (42%) | 36/92 (39%) | 0/92 (0%),17/92 (18%),39/92 (42%),36/92 (39%),0/92 (0%),,,2.54,https://yenibeygir.com/at/87548/sufle,87548
7,VODA,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %2, arka-grup %2, on-grup %40, onde %55.",1/40 (2%) | 1/40 (2%) | 16/40 (40%) | 22/40 (55%),1/40 (2%),1/40 (2%),16/40 (40%),22/40 (55%),Nem,X,8.25,https://yenibeygir.com/at/95026/voda,95026
