Kosu,Sira,At,Stil 1,Stil 2,Stil Skoru,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,MASTER KINGDOM,Takipçi,,1,6.420,0.983,0.983,Düşük Tempo,0.343458,
1. Koşu,2,ALFA KAAN,Takipçi,,1,6.760,1.035,1.035,Düşük Tempo,0.338757,
1. Koşu,3,BRAVE COLT,Bilinmiyor,,0,6.530,1.000,0.000,Düşük Tempo,0.091884,
1. Koşu,4,OCAKOĞLUŞAH,Bilinmiyor,,0,6.530,1.000,0.000,Düşük Tempo,0.091884,
1. Koşu,5,VAHŞİ YILDIZ,Orta Grup,,0,6.560,1.005,0.000,Düşük Tempo,0.091463,
1. Koşu,6,KOŞUKAVAK ASLANI,Sprinter,Orta Grup,-1,6.340,0.971,-0.971,Düşük Tempo,-0.405363,
1. Koşu,7,ATİK MEHMET,Sprinter,,-1,6.540,1.002,-1.002,Düşük Tempo,-0.408257,
1. Koşu,8,HOLLABACK GIRL,Sprinter,Orta Grup,-1,6.560,1.005,-1.005,Düşük Tempo,-0.408537,
2. Koşu,1,RAYMOND BABBITT,Takipçi,,1,6.420,0.988,0.988,Yüksek Tempo,0.343458,1.675
2. Koşu,2,PİYASA,Takipçi,,1,6.450,0.992,0.992,Yüksek Tempo,0.343023,1.685
2. Koşu,3,YİĞENİM NEHİR,Takipçi,,1,6.830,1.051,1.051,Yüksek Tempo,0.337848,1.802
2. Koşu,4,ŞEKER PİRAYE,Orta Grup,Takipçi,1,6.450,0.992,0.992,Yüksek Tempo,0.243023,1.685
2. Koşu,5,SECRET FLIGHT,Takipçi,Önde Kaçan,3,6.350,0.977,2.931,Yüksek Tempo,0.044488,1.054
3. Koşu,1,MAFDET,Takipçi,,1,6.160,0.964,0.964,Çok Yüksek,0.347403,1.627
3. Koşu,2,KARA THRACE,Takipçi,Orta Grup,1,6.170,0.965,0.965,Çok Yüksek,0.347245,1.630
3. Koşu,3,STRONG WIND,Takipçi,,1,6.230,0.975,0.975,Çok Yüksek,0.346308,1.649
3. Koşu,4,BRAVE KAAN,Takipçi,,1,6.330,0.990,0.990,Çok Yüksek,0.344787,1.681
3. Koşu,5,NIGHTMARE SPIRIT,Takipçi,Orta Grup,1,7.240,1.133,1.133,Çok Yüksek,0.332873,1.965
3. Koşu,6,QUEEN OF NİĞDE,Orta Grup,Takipçi,1,6.420,1.004,1.004,Çok Yüksek,0.243458,1.709
3. Koşu,7,LEGEND IS BACK,Orta Grup,Önde Kaçan,2,6.410,1.003,2.006,Çok Yüksek,-0.206396,1.406
3. Koşu,8,SABALENKA,Önde Kaçan,Takipçi,3,6.250,0.978,2.933,Çok Yüksek,-0.254000,1.056
3. Koşu,9,ROSİLDA,Önde Kaçan,,2,6.320,0.989,1.977,Çok Yüksek,-0.405063,1.377
4. Koşu,1,BER KEMAL,Sprinter,Orta Grup,-1,6.880,0.998,-0.998,Çok Yüksek,0.587209,2.296
4. Koşu,2,HIZLI ÇOCUK,Takipçi,,1,6.820,0.989,0.989,Çok Yüksek,0.337977,1.679
4. Koşu,3,EDİZBARIŞ,Orta Grup,Takipçi,1,6.770,0.982,0.982,Çok Yüksek,0.238626,1.664
4. Koşu,4,NEVERLAND,Orta Grup,Takipçi,1,7.140,1.036,1.036,Çok Yüksek,0.234034,1.772
4. Koşu,5,HULKİ,Takipçi,Önde Kaçan,3,6.780,0.984,2.951,Çok Yüksek,0.038496,1.067
4. Koşu,6,ŞEKER HALHAL,Takipçi,Önde Kaçan,3,6.810,0.988,2.964,Çok Yüksek,0.038106,1.076
4. Koşu,7,EMİR İLYAS,Önde Kaçan,Takipçi,3,7.050,1.023,3.068,Çok Yüksek,-0.264894,1.146
5. Koşu,1,YOU GOT THIS,Takipçi,Önde Kaçan,3,6.280,0.971,2.913,Düşük Tempo,0.645541,
5. Koşu,2,KARPATINO,Takipçi,Orta Grup,1,6.300,0.974,0.974,Düşük Tempo,0.345238,
5. Koşu,3,KIZIL ANKA,Takipçi,Orta Grup,1,6.550,1.013,1.013,Düşük Tempo,0.341603,
5. Koşu,4,SINGLE GUN,Orta Grup,,0,6.360,0.983,0.000,Düşük Tempo,0.094340,
5. Koşu,5,ORION BELT,Bilinmiyor,,0,6.467,1.000,0.000,Düşük Tempo,0.092777,
5. Koşu,6,RING RANG RONG,Orta Grup,Sprinter,-1,6.500,1.005,-1.005,Düşük Tempo,-0.207692,
5. Koşu,7,DARK RİSHA,Sprinter,Orta Grup,-1,6.630,1.025,-1.025,Düşük Tempo,-0.409502,
5. Koşu,8,RISE REASON,Sprinter,,-1,6.650,1.028,-1.028,Düşük Tempo,-0.409774,
6. Koşu,1,SWORD MASTER,Takipçi,Önde Kaçan,3,6.390,0.998,2.993,Orta Tempo,0.593897,
6. Koşu,2,DROWZEE,Takipçi,,1,6.470,1.010,1.010,Orta Tempo,0.592736,
6. Koşu,3,CAN ALUŞ,Takipçi,Önde Kaçan,3,6.480,1.012,3.036,Orta Tempo,0.592593,
6. Koşu,4,EL CACİQUE,Orta Grup,Sprinter,-1,6.350,0.992,-0.992,Orta Tempo,0.344488,
6. Koşu,5,ALONE ALONE,Sprinter,Orta Grup,-1,6.330,0.988,-0.988,Orta Tempo,0.244787,
7. Koşu,1,TOCCET TO THE MOON,Takipçi,,1,6.540,0.994,0.994,Düşük Tempo,0.341743,
7. Koşu,2,LETS LOVE,Takipçi,,1,6.560,0.997,0.997,Düşük Tempo,0.341463,
7. Koşu,3,REASON AND LOGİC,Takipçi,Orta Grup,1,6.610,1.005,1.005,Düşük Tempo,0.340772,
7. Koşu,4,GULAZER,Orta Grup,,0,6.490,0.987,0.000,Düşük Tempo,0.092450,
7. Koşu,5,Mİ PRİNCESA ŞÜKRAN,Orta Grup,,0,6.500,0.988,0.000,Düşük Tempo,0.092308,
