Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,CEBEL ASLANI,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,2,ÇERKES ENVER,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,3,GUREGH,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,4,GÜMBÜR BABA,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,5,NAKIŞ HAN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,6,TUĞRAPTAY,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,7,AMANKIZIM,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,8,KAYANİLİM,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
2. Koşu,1,VİTE VİTE,Takipçi,,6.240,1.029,0.666,Yüksek Tempo,0.524006,1.866
2. Koşu,2,CREATIVE MIND,Takipçi,,6.280,1.023,0.665,Yüksek Tempo,0.443236,1.853
2. Koşu,3,ROOCKET OF RUNNER,Takipçi,,6.590,0.975,0.655,Yüksek Tempo,0.437586,1.757
2. Koşu,4,KHIOS,Takipçi,Önde Kaçan,6.310,1.018,1.496,Yüksek Tempo,0.422603,1.602
2. Koşu,5,BLACK SHARK,Orta Grup,Takipçi,6.780,0.947,0.389,Yüksek Tempo,0.375919,1.779
2. Koşu,6,FROST CAT,Orta Grup,Takipçi,6.340,1.013,0.398,Yüksek Tempo,0.303090,1.911
3. Koşu,1,ERGİDEN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,2,FAHRİ BABA,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,3,HIRÇIN DADAŞ,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,4,KINDBERO,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,5,OĞLUM KADİR,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,6,DENİZOVA,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,7,EFSANEVİTAY,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,8,MRS MALİBU,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
4. Koşu,1,ABUZER BABA,Takipçi,Orta Grup,7.390,0.980,0.656,Yüksek Tempo,0.499360,1.768
4. Koşu,2,SARMAN RÜZGARI,Takipçi,,7.310,0.991,0.658,Yüksek Tempo,0.425951,1.790
4. Koşu,3,SERTTAYKUT,Takipçi,Orta Grup,7.110,1.019,0.664,Yüksek Tempo,0.423471,1.845
4. Koşu,4,KAPTANPAŞALI,Takipçi,Orta Grup,7.250,0.999,0.660,Yüksek Tempo,0.421376,1.806
4. Koşu,5,FEHİMOĞLU,Sprinter,Takipçi,7.245,1.000,-0.624,Yüksek Tempo,0.322526,2.000
4. Koşu,6,KING GÖKÇE,Orta Grup,Takipçi,7.110,1.019,0.398,Yüksek Tempo,0.268559,1.922
4. Koşu,7,ULU YAŞAR,Orta Grup,Takipçi,7.120,1.017,0.398,Yüksek Tempo,0.268419,1.919
4. Koşu,8,HAZARLI ÇOCUK,Takipçi,Önde Kaçan,7.670,0.945,1.257,Yüksek Tempo,0.198545,1.455
4. Koşu,9,SANCAK TAŞIYAN,Orta Grup,,7.190,1.008,0.000,Yüksek Tempo,0.076324,2.015
4. Koşu,10,CANYAMAN,Sprinter,Orta Grup,7.270,0.996,-1.019,Yüksek Tempo,0.045863,1.993
4. Koşu,11,NALDÖKEN PRENSİ,Önde Kaçan,,7.150,1.013,1.386,Yüksek Tempo,-0.028042,1.624
4. Koşu,12,BAY OLOF,Önde Kaçan,,7.120,1.017,1.388,Yüksek Tempo,-0.107490,1.632
5. Koşu,1,UFKUN ÖTESİ,Takipçi,,7.170,1.002,0.660,Yüksek Tempo,0.507179,1.811
5. Koşu,2,CANIM ÇITIR,Takipçi,Orta Grup,7.030,1.022,0.664,Yüksek Tempo,0.500904,1.851
5. Koşu,3,ÇAĞDAŞ ALAÇAT,Takipçi,,7.200,0.997,0.659,Yüksek Tempo,0.426731,1.802
5. Koşu,4,ÇEŞME KALESİ,Orta Grup,Takipçi,7.330,0.980,0.338,Yüksek Tempo,0.154194,1.844
5. Koşu,5,TÜRKAN HANIM,Sprinter,Orta Grup,7.130,1.007,-1.022,Yüksek Tempo,0.130267,2.014
5. Koşu,6,KAZANCI,Orta Grup,Sprinter,7.260,0.989,-0.610,Yüksek Tempo,0.049788,1.978
5. Koşu,7,GÖKÇESTAR,Önde Kaçan,,7.160,1.003,1.381,Yüksek Tempo,-0.108611,1.603
5. Koşu,8,BASKINSOY,Önde Kaçan,,7.170,1.002,1.381,Yüksek Tempo,-0.108793,1.601
6. Koşu,1,TOROS GÜZELİ,Takipçi,,6.450,1.009,0.662,Yüksek Tempo,0.515920,1.825
6. Koşu,2,WINGS OF FREEDOM,Takipçi,,6.470,1.006,0.661,Yüksek Tempo,0.515557,1.819
6. Koşu,3,GEMLIK IN KIZI,Takipçi,,6.490,1.002,0.661,Yüksek Tempo,0.515197,1.812
6. Koşu,4,ELLADORA,Takipçi,,6.580,0.989,0.658,Yüksek Tempo,0.513604,1.785
6. Koşu,5,MAMMA LUNA,Sprinter,Takipçi,6.410,1.015,-0.627,Yüksek Tempo,0.268341,2.030
6. Koşu,6,PRIMUS,Orta Grup,Takipçi,6.470,1.006,0.397,Yüksek Tempo,0.261879,1.896
6. Koşu,7,WHITE DOVE,Orta Grup,,6.670,0.975,0.000,Yüksek Tempo,0.148848,1.951
7. Koşu,1,BOCCE,Takipçi,,6.330,1.001,0.660,Yüksek Tempo,0.522462,1.809
7. Koşu,2,PERFECT SUNSET,Takipçi,Orta Grup,6.260,1.012,0.663,Yüksek Tempo,0.452850,1.832
7. Koşu,3,RED STORM,Orta Grup,Sprinter,6.400,0.990,-0.610,Yüksek Tempo,0.153442,1.980
7. Koşu,4,SÜSLÜCAN,Orta Grup,,6.430,0.985,0.000,Yüksek Tempo,0.112894,1.971
7. Koşu,5,OBRADA,Önde Kaçan,Takipçi,6.320,1.002,1.777,Yüksek Tempo,0.095681,1.487
7. Koşu,6,HUGE SUCCES,Önde Kaçan,,6.190,1.024,1.390,Yüksek Tempo,-0.014143,1.645
7. Koşu,7,MUCHACHO,Önde Kaçan,,6.420,0.987,1.374,Yüksek Tempo,-0.099334,1.571
8. Koşu,1,BOĞUŞLU,Takipçi,,6.840,1.044,0.669,Yüksek Tempo,0.513248,1.895
8. Koşu,2,AYDINEFESİ,Takipçi,,7.000,1.020,0.664,Yüksek Tempo,0.510678,1.847
8. Koşu,3,TEKİR BEYİ,Takipçi,,7.060,1.011,0.662,Yüksek Tempo,0.509744,1.829
8. Koşu,4,ŞİFNE EFESİ,Takipçi,,7.210,0.990,0.658,Yüksek Tempo,0.507478,1.787
8. Koşu,5,ESMERDAĞ,Takipçi,Orta Grup,6.990,1.021,0.664,Yüksek Tempo,0.507089,1.850
8. Koşu,6,YILDIZTEPE,Takipçi,Orta Grup,6.930,1.030,0.666,Yüksek Tempo,0.428041,1.867
8. Koşu,7,SAFDERUN OĞLU,Takipçi,,7.430,0.961,0.652,Yüksek Tempo,0.424319,1.729
8. Koşu,8,MİRAY ABLA,Takipçi,Orta Grup,7.280,0.980,0.656,Yüksek Tempo,0.422705,1.768
8. Koşu,9,KAYA DÜNYASI,Orta Grup,Takipçi,6.860,1.040,0.401,Yüksek Tempo,0.355307,1.965
8. Koşu,10,AFŞINTAY,Takipçi,Orta Grup,7.120,1.002,0.568,Yüksek Tempo,0.315832,1.812
8. Koşu,11,JINIRAL,Takipçi,,7.880,0.906,0.551,Yüksek Tempo,0.309442,1.619
8. Koşu,12,GÜRSELHAN,Takipçi,Sprinter,7.310,0.976,0.041,Yüksek Tempo,0.300055,1.939
8. Koşu,13,MERTCAN TAY,Orta Grup,Takipçi,7.060,1.011,0.397,Yüksek Tempo,0.272377,1.906
8. Koşu,14,REYHAN GELİN,Önde Kaçan,Takipçi,6.870,1.039,1.798,Yüksek Tempo,0.168338,1.560
8. Koşu,15,SARSALA,Orta Grup,Takipçi,7.320,0.975,0.338,Yüksek Tempo,0.163307,1.835
8. Koşu,16,İKİGAİ,Orta Grup,,7.070,1.010,0.000,Yüksek Tempo,0.160882,2.019
8. Koşu,17,BAŞ SÜVARİ,Orta Grup,Sprinter,7.110,1.004,-0.613,Yüksek Tempo,0.134561,2.008
