At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
KOŞUKAVAK ASLANI,,6.34,1200,Kum,54,54.2,İzmir,4,104942,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %0, onde %33.",1/3 (33%) | 1/3 (33%) | 0/3 (0%) | 1/3 (33%),https://www.yenibeygir.com/at/104942/kosukavak-aslani,bulundu
MASTER KINGDOM,,6.42,1200,Kum,56,56,İzmir,6,105465,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),https://www.yenibeygir.com/at/105465/master-kingdom,bulundu
ATİK MEHMET,,6.54,1200,Kum,54,54,İzmir,2,103851,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %65, arka-grup %24, on-grup %6, onde %6.",11/17 (65%) | 4/17 (24%) | 1/17 (6%) | 1/17 (6%),https://www.yenibeygir.com/at/103851/atik-mehmet,bulundu
HOLLABACK GIRL,,6.56,1200,Kum,52,54,İzmir,5,104653,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %67, arka-grup %33, on-grup %0, onde %0.",2/3 (67%) | 1/3 (33%) | 0/3 (0%) | 0/3 (0%),https://www.yenibeygir.com/at/104653/hollaback-girl,bulundu
VAHŞİ YILDIZ,,6.56,1200,Kum,56,58,İzmir,8,103990,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %64, on-grup %9, onde %0.",3/11 (27%) | 7/11 (64%) | 1/11 (9%) | 0/11 (0%),https://www.yenibeygir.com/at/103990/vahsi-yildiz,bulundu
ALFA KAAN,,6.76,1900,Kum,55,58,İzmir,1,104897,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %25, on-grup %75, onde %0.",0/4 (0%) | 1/4 (25%) | 3/4 (75%) | 0/4 (0%),https://www.yenibeygir.com/at/104897/alfa-kaan,bulundu
BRAVE COLT,,geçersiz,,,54,,,3,105011,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://www.yenibeygir.com/at/105011/brave-colt,bulundu
OCAKOĞLUŞAH,,geçersiz,,,54,,,7,104886,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://www.yenibeygir.com/at/104886/ocakoglusah,bulundu
,2. Koşu,,,,,,,,,,,,,,
SECRET FLIGHT,,6.35,1400,Kum,58,58,İzmir,1,102279,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %11, on-grup %56, onde %33.",0/9 (0%) | 1/9 (11%) | 5/9 (56%) | 3/9 (33%),https://www.yenibeygir.com/at/102279/secret-flight,bulundu
RAYMOND BABBITT,,6.42,1200,Kum,55,57,İzmir,3,103768,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),https://www.yenibeygir.com/at/103768/raymond-babbitt,bulundu
PİYASA,,6.45,1400,Kum,56,56,İzmir,2,103377,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %29, on-grup %57, onde %14.",0/7 (0%) | 2/7 (29%) | 4/7 (57%) | 1/7 (14%),https://www.yenibeygir.com/at/103377/piyasa,bulundu
ŞEKER PİRAYE,,6.45,1400,Kum,54,56.5,İzmir,4,104283,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %33, onde %33.",0/3 (0%) | 1/3 (33%) | 1/3 (33%) | 1/3 (33%),https://www.yenibeygir.com/at/104283/seker-piraye,bulundu
YİĞENİM NEHİR,,6.83,1700,Çim,52,57.6,İzmir,5,104403,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %12, on-grup %38, onde %25.",2/8 (25%) | 1/8 (12%) | 3/8 (38%) | 2/8 (25%),https://www.yenibeygir.com/at/104403/yigenim-nehir,bulundu
,3. Koşu,,,,,,,,,,,,,,
MAFDET,,6.16,1400,Sentetik,54,57.5,Antalya,6,103503,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %29, on-grup %57, onde %0.",1/7 (14%) | 2/7 (29%) | 4/7 (57%) | 0/7 (0%),https://www.yenibeygir.com/at/103503/mafdet,bulundu
KARA THRACE,,6.17,1900,Kum,59,56,İzmir,1,104315,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %40, on-grup %50, onde %10.",0/10 (0%) | 4/10 (40%) | 5/10 (50%) | 1/10 (10%),https://www.yenibeygir.com/at/104315/kara-thrace,bulundu
STRONG WIND,,6.23,1200,Kum,54,58,İzmir,9,104311,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %75, onde %25.",0/4 (0%) | 0/4 (0%) | 3/4 (75%) | 1/4 (25%),https://www.yenibeygir.com/at/104311/strong-wind,bulundu
SABALENKA,,6.25,1900,Kum,56,57.5,İzmir,3,103537,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %43, onde %57.",0/14 (0%) | 0/14 (0%) | 6/14 (43%) | 8/14 (57%),https://www.yenibeygir.com/at/103537/sabalenka,bulundu
ROSİLDA,,6.32,1400,Kum,54,56,İzmir,2,104616,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %11, on-grup %22, onde %56.",1/9 (11%) | 1/9 (11%) | 2/9 (22%) | 5/9 (56%),https://www.yenibeygir.com/at/104616/rosilda,bulundu
BRAVE KAAN,,6.33,1600,Kum,51,53.2,İzmir,5,104060,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/7 (0%) | 0/7 (0%) | 7/7 (100%) | 0/7 (0%),https://www.yenibeygir.com/at/104060/brave-kaan,bulundu
