At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
CEBEL ASLANI,,geçersiz,,,57,,,1,105583,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105583/cebel-aslani,bulundu
ÇERKES ENVER,,geçersiz,,,53,,,2,106743,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106743/cerkes-enver,bulundu
GUREGH,,geçersiz,,,57,,,3,106389,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106389/guregh,bulundu
GÜMBÜR BABA,,geçersiz,,,55,,,4,105817,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105817/gumbur-baba,bulundu
NAKIŞ HAN,,geçersiz,,,57,,,5,105666,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105666/nakis-han,bulundu
TUĞRAPTAY,,geçersiz,,,57,,,6,105613,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105613/tugraptay,bulundu
AMANKIZIM,,geçersiz,,,51,,,7,106406,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106406/amankizim,bulundu
KAYANİLİM,,geçersiz,,,55,,,8,105500,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105500/kayanilim,bulundu
,2. Koşu,,,,,,,,,,,,,,,,,
VİTE VİTE,,6.24,1400,Kum,58,60.5,İzmir,3,103002,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %17, on-grup %67, onde %0.",2/12 (17%) | 2/12 (17%) | 8/12 (67%) | 0/12 (0%),Nem,,0.07,https://yenibeygir.com/at/103002/vite-vite,bulundu
CREATIVE MIND,,6.28,1200,Kum,55,56.1,Bursa,6,102572,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %67, onde %17.",0/6 (0%) | 1/6 (17%) | 4/6 (67%) | 1/6 (17%),,,0.18,https://yenibeygir.com/at/102572/creative-mind,bulundu
KHIOS,,6.31,1900,Kum,56,58,İzmir,4,105091,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %17, on-grup %50, onde %33.",0/6 (0%) | 1/6 (17%) | 3/6 (50%) | 2/6 (33%),Sulu,,0.00,https://yenibeygir.com/at/105091/khios,bulundu
FROST CAT,,6.34,1400,Kum,58,56.3,İzmir,2,104684,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",1/5 (20%) | 2/5 (40%) | 2/5 (40%) | 0/5 (0%),,,0.00,https://yenibeygir.com/at/104684/frost-cat,bulundu
ROOCKET OF RUNNER,,6.59,2000,Kum,56,50.5,İzmir,5,104068,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %25, on-grup %42, onde %25.",1/12 (8%) | 3/12 (25%) | 5/12 (42%) | 3/12 (25%),,,2.36,https://yenibeygir.com/at/104068/roocket-of-runner,bulundu
BLACK SHARK,,6.78,1700,Çim,58,58,İzmir,1,102473,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %38, onde %25.",0/8 (0%) | 3/8 (38%) | 3/8 (38%) | 2/8 (25%),"Ağır Çim (5,3)",,1.78,https://yenibeygir.com/at/102473/black-shark,bulundu
,3. Koşu,,,,,,,,,,,,,,,,,
ERGİDEN,,geçersiz,,,54,,,1,106733,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106733/ergiden,bulundu
FAHRİ BABA,,geçersiz,,,53,,,2,105771,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105771/fahri-baba,bulundu
HIRÇIN DADAŞ,,geçersiz,,,57,,,3,105396,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105396/hircin-dadas,bulundu
KINDBERO,,geçersiz,,,57,,,4,105772,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105772/kindbero,bulundu
OĞLUM KADİR,,geçersiz,,,53,,,5,105438,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105438/oglum-kadir,bulundu
DENİZOVA,,geçersiz,,,52,,,6,106205,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106205/denizova,bulundu
EFSANEVİTAY,,geçersiz,,,51,,,7,106454,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106454/efsanevitay,bulundu
MRS MALİBU,,geçersiz,,,55,,,8,106179,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106179/mrs-malibu,bulundu
,4. Koşu,,,,,,,,,,,,,,,,,
SERTTAYKUT,,7.11,1600,Kum,52.5,57.5,İzmir,5,102009,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %30, on-grup %60, onde %5.",1/20 (5%) | 6/20 (30%) | 12/20 (60%) | 1/20 (5%),,,0.00,https://yenibeygir.com/at/102009/serttaykut,bulundu
KING GÖKÇE,,7.11,1600,Kum,50.5,56.5,İzmir,7,103448,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %22, arka-grup %39, on-grup %39, onde %0.",5/23 (22%) | 9/23 (39%) | 9/23 (39%) | 0/23 (0%),,,0.21,https://yenibeygir.com/at/103448/king-gokce,bulundu
BAY OLOF,,7.12,1600,Kum,54.5,59,İzmir,3,102390,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %17, onde %67.",0/6 (0%) | 1/6 (17%) | 1/6 (17%) | 4/6 (67%),,,0.10,https://yenibeygir.com/at/102390/bay-olof,bulundu
ULU YAŞAR,,7.12,1600,Kum,50,56.2,İzmir,10,101954,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %50, on-grup %43, onde %0.",1/14 (7%) | 7/14 (50%) | 6/14 (43%) | 0/14 (0%),,,0.44,https://yenibeygir.com/at/101954/ulu-yasar,bulundu
NALDÖKEN PRENSİ,,7.15,1600,Kum,50,54,İzmir,8,102758,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/1 (0%) | 0/1 (0%) | 0/1 (0%) | 1/1 (100%),Nem,,0.00,https://yenibeygir.com/at/102758/naldoken-prensi,bulundu
SANCAK TAŞIYAN,,7.19,1600,Kum,50,56,İzmir,9,103984,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %75, on-grup %0, onde %0.",2/8 (25%) | 6/8 (75%) | 0/8 (0%) | 0/8 (0%),,,1.47,https://yenibeygir.com/at/103984/sancak-tasiyan,bulundu
KAPTANPAŞALI,,7.25,1900,Kum,51.5,56,İzmir,6,103476,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %44, onde %6.",3/18 (17%) | 6/18 (33%) | 8/18 (44%) | 1/18 (6%),,,0.18,https://yenibeygir.com/at/103476/kaptanpasali,bulundu
CANYAMAN,,7.27,2000,Kum,60.5,56,İzmir,1,102069,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %43, on-grup %14, onde %0.",9/21 (43%) | 9/21 (43%) | 3/21 (14%) | 0/21 (0%),,,2.39,https://yenibeygir.com/at/102069/canyaman,bulundu
SARMAN RÜZGARI,,7.31,1600,Kum,50,51.5,İzmir,12,102383,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %25, on-grup %55, onde %15.",1/20 (5%) | 5/20 (25%) | 11/20 (55%) | 3/20 (15%),,,2.74,https://yenibeygir.com/at/102383/sarman-ruzgari,bulundu
ABUZER BABA,,7.39,1400,Kum,57.5,56,Bursa,2,101242,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %54, onde %8.",0/13 (0%) | 5/13 (38%) | 7/13 (54%) | 1/13 (8%),Sulu,,2.72,https://yenibeygir.com/at/101242/abuzer-baba,bulundu
HAZARLI ÇOCUK,,7.67,1900,Kum,50,58,İzmir,11,102180,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %23, on-grup %46, onde %31.",0/13 (0%) | 3/13 (23%) | 6/13 (46%) | 4/13 (31%),,X,8.78,https://yenibeygir.com/at/102180/hazarli-cocuk,bulundu
FEHİMOĞLU,,geçersiz,1900,Kum,54.5,55,İzmir,4,104538,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %18, on-grup %36, onde %9.",4/11 (36%) | 2/11 (18%) | 4/11 (36%) | 1/11 (9%),Sulu,,2.20,https://yenibeygir.com/at/104538/fehimoglu,bulundu
,5. Koşu,,,,,,,,,,,,,,,,,
CANIM ÇITIR,,7.03,1200,Kum,54.5,53.8,İzmir,7,86415,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %31, on-grup %47, onde %2.",18/88 (20%) | 27/88 (31%) | 41/88 (47%) | 2/88 (2%),Nem,,0.22,https://yenibeygir.com/at/86415/canim-citir,bulundu
TÜRKAN HANIM,,7.13,1400,Kum,61.5,63,İzmir,4,98352,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %42, arka-grup %40, on-grup %16, onde %2.",23/55 (42%) | 22/55 (40%) | 9/55 (16%) | 1/55 (2%),Nem,,1.08,https://yenibeygir.com/at/98352/turkan-hanim,bulundu
GÖKÇESTAR,,7.16,1900,Kum,59.5,58.5,İzmir,2,78661,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %1, arka-grup %0, on-grup %21, onde %78.",1/87 (1%) | 0/87 (0%) | 18/87 (21%) | 68/87 (78%),,,0.00,https://yenibeygir.com/at/78661/gokcestar,bulundu
BASKINSOY,,7.17,1500,Kum,59.5,58,Adana,1,95713,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %2, on-grup %25, onde %70.",1/44 (2%) | 1/44 (2%) | 11/44 (25%) | 31/44 (70%),,,1.79,https://yenibeygir.com/at/95713/baskinsoy,bulundu
UFKUN ÖTESİ,,7.17,1400,Kum,53.5,58.5,Bursa,8,98471,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %17, on-grup %69, onde %3.",6/58 (10%) | 10/58 (17%) | 40/58 (69%) | 2/58 (3%),Nem,,0.49,https://yenibeygir.com/at/98471/ufkun-otesi,bulundu
ÇAĞDAŞ ALAÇAT,,7.20,1900,Kum,60.5,56.2,İzmir,5,89168,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %15, on-grup %75, onde %8.",2/75 (3%) | 11/75 (15%) | 56/75 (75%) | 6/75 (8%),,,0.19,https://yenibeygir.com/at/89168/cagdas-alacat,bulundu
KAZANCI,,7.26,1900,Kum,59.5,56.5,İzmir,3,86283,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %44, on-grup %21, onde %2.",34/102 (33%) | 45/102 (44%) | 21/102 (21%) | 2/102 (2%),,,1.60,https://yenibeygir.com/at/86283/kazanci,bulundu
ÇEŞME KALESİ,,7.33,2100,Kum,57.5,56,İzmir,6,99412,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %35, on-grup %35, onde %4.",7/26 (27%) | 9/26 (35%) | 9/26 (35%) | 1/26 (4%),,X,5.49,https://yenibeygir.com/at/99412/cesme-kalesi,bulundu
,6. Koşu,,,,,,,,,,,,,,,,,
MAMMA LUNA,,6.41,1200,Kum,50,58,İzmir,7,102961,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %50, onde %0.",2/4 (50%) | 0/4 (0%) | 2/4 (50%) | 0/4 (0%),,,0.85,https://yenibeygir.com/at/102961/mamma-luna,bulundu
