horse_age,horse_weight,handicap_weight,total_weight,start_position,race_distance,career_total_races,career_avg_finish,career_avg_time,last_race_days_ago,last_1_avg_finish,last_1_best_finish,last_1_worst_finish,last_1_std_finish,last_1_avg_time,last_1_std_time,last_1_win_rate,last_1_top3_rate,last_3_avg_finish,last_3_best_finish,last_3_worst_finish,last_3_std_finish,last_3_avg_time,last_3_std_time,last_3_win_rate,last_3_top3_rate,last_5_avg_finish,last_5_best_finish,last_5_worst_finish,last_5_std_finish,last_5_avg_time,last_5_std_time,last_5_win_rate,last_5_top3_rate,last_10_avg_finish,last_10_best_finish,last_10_worst_finish,last_10_std_finish,last_10_avg_time,last_10_std_time,last_10_win_rate,last_10_top3_rate,performance_trend,track_type_races,track_type_avg_time,distance_races,distance_avg_finish,distance_avg_time,city_races,city_avg_finish,total_track_experience,distance_variety,form_length,form_avg,form_best,form_worst,form_consistency,recent_form_trend,ganyan,agf,kgs,ganyan_log,is_favorite,jockey_id,trainer_id,owner_id,father_id,mother_id,races_last_30_days,races_last_60_days,races_last_90_days,race_id,race_date,race_city,race_track_type,horse_id,horse_name
3,58,0,58,9,1400,21,7.48,108.47,1418,6.0,6,6,0,139.1,0,0.0,0.0,7.333333333333333,6,10,1.8856180831641267,120.94,12.856842536175044,0.0,0.0,9.2,6,13,2.7856776554368237,114.588,19.39840343945862,0.0,0.0,8.8,4,13,2.7129319932501073,112.471,22.31238017334771,0.0,0.0,4.333333333333333,21,108.47,3,8.67,99.71,13,6.77,21,8,0,999.0,999,999,0.0,0,11.95,8.0,0,2.5610957881455465,0,1459,1600,13948,22480,22526,0,0,0,182204,2021-01-04,Urfa,Kum,81214,BEAUTY GIRL
3,58,28,86,8,1400,9,7.56,97.63,1715,9.0,9,9,0,82.3,0,0.0,0.0,8.0,6,9,1.4142135623730951,100.14666666666666,16.359301805259157,0.0,0.0,7.0,4,9,1.8973665961010275,93.938,15.168486279124886,0.0,0.0,7.555555555555555,4,12,2.7125679146074893,97.63111111111111,16.989594491560247,0.0,0.0,-0.33333333333333304,6,99.22,2,10.0,101.94,6,7.67,9,5,5,3.2,0,7,2.925747767665559,7,5.65,14.0,15,1.8946168546677629,0,540,2366,9256,20243,20718,0,0,0,182204,2021-01-04,Urfa,Kum,81064,CALIFORNIA GIRL
3,54,28,82,2,1400,9,5.78,94.96,1728,9.0,9,9,0,84.5,0,0.0,0.0,10.0,9,11,0.816496580927726,91.67999999999999,5.903693758995293,0.0,0.0,7.0,1,11,3.847076812334269,98.67999999999999,16.25288159065955,0.2,0.2,5.777777777777778,1,11,3.705184889007348,94.95555555555556,13.8234262605277,0.1111111111111111,0.3333333333333333,-5.333333333333333,9,94.96,3,5.0,98.23,6,4.67,9,4,6,3.0,0,7,2.581988897471611,0,3.75,22.0,11,1.55814461804655,1,2717,-1,3304,17893,20171,0,0,0,182204,2021-01-04,Urfa,Kum,80980,DI MARIA
3,58,13,71,7,1400,1,10.0,106.79,1856,10.0,10,10,0,106.79,0,0.0,0.0,10.0,10,10,0.0,106.79,0.0,0.0,0.0,10.0,10,10,0.0,106.79,0.0,0.0,0.0,10.0,10,10,0.0,106.79,0.0,0.0,0.0,0.0,1,106.79,1,10.0,106.79,1,10.0,1,1,6,7.333333333333333,6,9,1.1055415967851332,-2,10.05,8.0,58,2.402430427963762,0,2378,2565,15737,22305,13974,0,0,0,182204,2021-01-04,Urfa,Kum,80342,FROZEN
3,58,21,79,6,1400,17,6.29,104.16,1575,8.0,8,8,0,136.59,0,0.0,0.0,9.333333333333334,8,11,1.247219128924647,114.45666666666666,22.425019261728384,0.0,0.0,9.2,7,11,1.5999999999999999,106.88,22.54278864737014,0.0,0.0,7.0,1,11,3.1622776601683795,108.87199999999999,19.401775073430784,0.1,0.2,-1.0,17,104.16,5,4.2,95.79,13,5.23,17,6,6,7.166666666666667,5,9,1.8633899812498247,-4,4.65,14.0,20,1.7316555451583497,1,267,1581,12012,29212,14547,0,0,0,182204,2021-01-04,Urfa,Kum,82145,GIANT FIST
3,58,0,58,3,1400,5,10.2,109.81,1744,13.0,13,13,0,122.0,0,0.0,0.0,14.0,13,16,1.4142135623730951,116.96,10.810525734980084,0.0,0.0,10.2,1,16,5.2687759489277965,109.80999999999999,12.122933638356683,0.2,0.2,10.2,1,16,5.2687759489277965,109.80999999999999,12.122933638356683,0.2,0.2,0.0,5,109.81,3,7.33,100.04,4,9.5,5,2,1,8.0,8,8,0.0,0,4.4,14.0,34,1.6863989535702288,1,918,1581,3489,13129,8132,0,0,0,182204,2021-01-04,Urfa,Kum,81831,HASMATRA
3,54,16,70,1,1400,1,8.0,105.43,1856,8.0,8,8,0,105.43,0,0.0,0.0,8.0,8,8,0.0,105.43,0.0,0.0,0.0,8.0,8,8,0.0,105.43,0.0,0.0,0.0,8.0,8,8,0.0,105.43,0.0,0.0,0.0,0.0,1,105.43,1,8.0,105.43,1,8.0,1,1,6,5.833333333333333,0,9,2.793842435706702,2,27.7,3.0,30,3.3568971227655755,0,2333,2717,6189,26236,25492,0,0,0,182204,2021-01-04,Urfa,Kum,80439,KAYA KALESİ
3,54,0,54,5,1400,3,10.67,98.65,1778,11.0,11,11,0,99.34,0,0.0,0.0,10.666666666666666,9,12,1.247219128924647,98.65000000000002,10.45030462075947,0.0,0.0,10.666666666666666,9,12,1.247219128924647,98.65000000000002,10.45030462075947,0.0,0.0,10.666666666666666,9,12,1.247219128924647,98.65000000000002,10.45030462075947,0.0,0.0,0.0,3,98.65,2,11.5,105.22,1,12.0,3,2,0,999.0,999,999,0.0,0,23.9,3.0,0,3.214867803470662,0,2496,1581,10129,15956,30116,0,0,0,182204,2021-01-04,Urfa,Kum,82426,KİNEBAZ
3,55,7,62,11,1400,4,9.25,106.44,1824,9.0,9,9,0,0.0,0,0.0,0.0,10.666666666666666,9,14,2.357022603955158,108.515,18.435000000000002,0.0,0.0,9.25,5,14,3.191786333700926,106.43666666666667,15.336397519916108,0.0,0.0,9.25,5,14,3.191786333700926,106.43666666666667,15.336397519916108,0.0,0.0,0.0,4,106.44,2,7.0,102.28,3,9.33,4,3,6,7.5,6,8,0.7637626158259734,-1,24.2,3.0,6,3.2268439945173775,0,2254,2468,1701,13005,26249,0,0,0,182204,2021-01-04,Urfa,Kum,79995,MAHA
3,58,10,68,4,1400,4,9.75,93.49,1818,12.0,12,12,0,0.0,0,0.0,0.0,11.666666666666666,9,14,2.0548046676563256,86.03,0.0,0.0,0.0,9.75,4,14,3.766629793329841,93.49000000000001,7.460000000000001,0.0,0.0,9.75,4,14,3.766629793329841,93.49000000000001,7.460000000000001,0.0,0.0,0.0,4,93.49,2,9.0,100.95,4,9.75,4,3,6,2.5,0,8,3.547299442298794,8,20.75,2.0,23,3.079613757534693,0,1076,1600,10621,11727,25165,0,0,0,182204,2021-01-04,Urfa,Kum,80507,MY DEAR SISTER
