at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
WORLD CHIEF,1. Koşu,6.29,1400,Kum,51.5,58.0,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:33% / stil_2:33% / stil_3:33% / stil_4:0%,33,33,33,0,3,stil_1,
GOLDEN PROMISE,1. Koşu,6.43,1900,Kum,55.0,57.0,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:0% / stil_2:20% / stil_3:80% / stil_4:0%,0,20,80,0,5,stil_3,
LION STONE,1. Koşu,6.44,2100,Kum,56.5,55.4,Antalya,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:43% / stil_2:43% / stil_3:14% / stil_4:0%,43,43,14,0,7,stil_1,
ALAMETİ FARİKA,1. Koşu,6.51,2000,Kum,59.5,58.0,Ankara,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:0% / stil_2:46% / stil_3:46% / stil_4:8%,0,46,46,8,13,stil_2,
MISS ELLEN,1. Koşu,6.52,1400,Kum,54.0,57.4,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:62% / stil_2:25% / stil_3:12% / stil_4:0%,62,25,12,0,16,stil_1,
NEJDET BAŞKAN,1. Koşu,6.53,2000,Kum,60.0,58.0,Ankara,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:0% / stil_2:0% / stil_3:62% / stil_4:38%,0,0,62,38,8,stil_3,
DOUBLE WORLD,1. Koşu,6.75,1900,Çim,57.0,58.0,Ankara,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:37% / stil_2:26% / stil_3:32% / stil_4:5%,37,26,32,5,19,stil_1,
SUFFERRING GIRL,1. Koşu,6.87,1400,Kum,55.0,58.2,Şanlıurfa,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:0% / stil_2:33% / stil_3:50% / stil_4:17%,0,33,50,17,6,stil_3,
CAPITAL,1. Koşu,7.00,2000,Kum,57.5,57.0,Ankara,ok,https://yenibeygir.com/25-04-2026/ankara/1/stiller,stil_1:38% / stil_2:23% / stil_3:31% / stil_4:8%,38,23,31,8,13,stil_1,
BABA RÜSTEM,2. Koşu,6.47,2000,Kum,50.0,59.2,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/2/stiller,stil_1:48% / stil_2:26% / stil_3:22% / stil_4:4%,48,26,22,4,27,stil_1,
MY SİXTH SENSE,2. Koşu,6.57,1200,Kum,59.5,60.5,Ankara,ok,https://yenibeygir.com/25-04-2026/ankara/2/stiller,stil_1:8% / stil_2:29% / stil_3:53% / stil_4:11%,8,29,53,11,38,stil_3,
İCRA,2. Koşu,6.62,2000,Kum,53.0,53.3,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/2/stiller,stil_1:25% / stil_2:56% / stil_3:19% / stil_4:0%,25,56,19,0,16,stil_2,
NERITOR,2. Koşu,6.63,2000,Kum,52.0,56.0,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/2/stiller,stil_1:75% / stil_2:25% / stil_3:0% / stil_4:0%,75,25,0,0,4,stil_1,
SUNDANCE,2. Koşu,6.64,1900,Kum,59.0,56.8,Adana,ok,https://yenibeygir.com/25-04-2026/ankara/2/stiller,stil_1:29% / stil_2:43% / stil_3:25% / stil_4:4%,29,43,25,4,28,stil_2,
