at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
BORN TO RUN,1. Koşu,6.03,1300,Kum,57.0,56.0,Bursa,error,https://yenibeygir.com/27-04-2026/bursa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
HEY JUDE,1. Koşu,6.18,1200,Kum,58.3,57.0,Antalya,error,https://yenibeygir.com/27-04-2026/bursa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
OBRADA,1. Koşu,6.22,1400,Kum,61.0,61.0,İzmir,error,https://yenibeygir.com/27-04-2026/bursa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
ÇİKOK AĞA,1. Koşu,6.23,1400,Kum,57.1,58.0,Kocaeli,error,https://yenibeygir.com/27-04-2026/bursa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
SUPER CHIRON,1. Koşu,6.31,1400,Kum,57.1,55.9,Bursa,error,https://yenibeygir.com/27-04-2026/bursa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
BEST OF ROCK,1. Koşu,6.48,1400,Kum,57.0,58.0,Kocaeli,error,https://yenibeygir.com/27-04-2026/bursa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
KARA BERELİ,2. Koşu,6.42,2000,Kum,57.5,58.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/2/stiller,stil_1:25% / stil_2:25% / stil_3:50% / stil_4:0%,25,25,50,0,4,stil_3,
BEYLERİNBEYİ,2. Koşu,6.51,2000,Kum,56.5,60.5,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/2/stiller,stil_1:8% / stil_2:17% / stil_3:67% / stil_4:8%,8,17,67,8,12,stil_3,
ARSLAN KAN,2. Koşu,6.52,1400,Kum,51.3,54.4,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/2/stiller,stil_1:27% / stil_2:27% / stil_3:36% / stil_4:9%,27,27,36,9,11,stil_3,
ÇELİK MENGENE,2. Koşu,6.57,1300,Kum,60.5,56.6,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/2/stiller,stil_1:14% / stil_2:43% / stil_3:36% / stil_4:7%,14,43,36,7,14,stil_2,
ROCK FOR EVER,2. Koşu,6.57,1800,Kum,56.0,56.0,Kocaeli,ok,https://yenibeygir.com/27-04-2026/bursa/2/stiller,stil_1:83% / stil_2:8% / stil_3:8% / stil_4:0%,83,8,8,0,12,stil_1,
AMONİ,3. Koşu,6.47,1800,Kum,58.0,56.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/3/stiller,stil_1:0% / stil_2:43% / stil_3:29% / stil_4:29%,0,43,29,29,7,stil_2,
ROSAS DEL ROSEDAL,3. Koşu,6.47,1200,Sentetik,52.0,56.5,Antalya,ok,https://yenibeygir.com/27-04-2026/bursa/3/stiller,stil_1:14% / stil_2:29% / stil_3:57% / stil_4:0%,14,29,57,0,14,stil_3,
PRINCESS DENİZ,3. Koşu,6.50,1500,Kum,57.0,56.7,Adana,ok,https://yenibeygir.com/27-04-2026/bursa/3/stiller,stil_1:19% / stil_2:31% / stil_3:50% / stil_4:0%,19,31,50,0,16,stil_3,
MAMMA LUNA,3. Koşu,6.55,1600,Kum,58.0,52.0,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/3/stiller,stil_1:40% / stil_2:0% / stil_3:60% / stil_4:0%,40,0,60,0,5,stil_3,
DALYA LİNA,3. Koşu,6.86,1400,Kum,54.0,56.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/3/stiller,stil_1:100% / stil_2:0% / stil_3:0% / stil_4:0%,100,0,0,0,1,stil_1,
SARPER,4. Koşu,7.09,2100,Kum,58.0,57.5,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:21% / stil_2:52% / stil_3:28% / stil_4:0%,21,52,28,0,29,stil_2,
EL FURAT,4. Koşu,7.10,1400,Kum,59.8,57.8,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:2% / stil_2:19% / stil_3:67% / stil_4:12%,2,19,67,12,42,stil_3,
YILMA TAY,4. Koşu,7.10,1900,Kum,54.0,61.0,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:7% / stil_2:7% / stil_3:86% / stil_4:0%,7,7,86,0,14,stil_3,
ŞAH DRAGON,4. Koşu,7.16,1700,Çim,59.5,60.0,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:12% / stil_2:33% / stil_3:55% / stil_4:0%,12,33,55,0,107,stil_3,
SÖZÜ GEÇER,4. Koşu,7.17,2100,Sentetik,56.4,56.2,Antalya,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:12% / stil_2:38% / stil_3:50% / stil_4:0%,12,38,50,0,24,stil_3,
CANASİLİM,4. Koşu,7.18,2100,Kum,59.5,57.5,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:35% / stil_2:27% / stil_3:38% / stil_4:0%,35,27,38,0,26,stil_3,
EFE METE BEY,4. Koşu,7.27,2100,Sentetik,58.8,54.6,İstanbul,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:0% / stil_2:12% / stil_3:67% / stil_4:21%,0,12,67,21,48,stil_3,
KARACAHİSAR,4. Koşu,7.34,2100,Kum,55.0,57.6,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:5% / stil_2:5% / stil_3:56% / stil_4:34%,5,5,56,34,41,stil_3,
BÜYÜK MENDERES,4. Koşu,7.56,1400,Kum,59.0,58.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:34% / stil_2:40% / stil_3:26% / stil_4:0%,34,40,26,0,35,stil_2,
SAFDERUN OĞLU,4. Koşu,7.77,1400,Kum,53.7,59.5,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:16% / stil_2:4% / stil_3:52% / stil_4:28%,16,4,52,28,25,stil_3,
KUTADGU,4. Koşu,8.40,1400,Kum,61.0,63.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/4/stiller,stil_1:50% / stil_2:23% / stil_3:21% / stil_4:5%,50,23,21,5,56,stil_1,
EFLANİ,5. Koşu,7.03,1000,Kum,57.2,56.5,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/5/stiller,stil_1:0% / stil_2:100% / stil_3:0% / stil_4:0%,0,100,0,0,1,stil_2,
GÜNŞİRAY,5. Koşu,7.21,1000,Kum,58.6,57.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/5/stiller,stil_1:100% / stil_2:0% / stil_3:0% / stil_4:0%,100,0,0,0,1,stil_1,
CROWN OF HONOR,6. Koşu,6.52,1400,Kum,53.2,60.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:14% / stil_2:14% / stil_3:67% / stil_4:5%,14,14,67,5,21,stil_3,
NEZNAKOMKA,6. Koşu,6.53,1400,Kum,56.0,60.5,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:36% / stil_2:36% / stil_3:23% / stil_4:5%,36,36,23,5,22,stil_1,
TRUE ANGEL,6. Koşu,6.54,1400,Kum,53.5,55.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:32% / stil_2:58% / stil_3:11% / stil_4:0%,32,58,11,0,38,stil_2,
HEARTS PATH,6. Koşu,6.56,2000,Kum,52.5,56.0,Adana,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:27% / stil_2:27% / stil_3:45% / stil_4:0%,27,27,45,0,11,stil_3,
TOROS GÜZELİ,6. Koşu,6.62,1600,Kum,55.5,61.0,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:7% / stil_2:21% / stil_3:45% / stil_4:28%,7,21,45,28,29,stil_3,
Mİ PRİNCESA ŞÜKRAN,6. Koşu,6.64,1900,Kum,55.3,52.2,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:24% / stil_2:47% / stil_3:24% / stil_4:5%,24,47,24,5,66,stil_2,
STORM FORCE,6. Koşu,6.65,2100,Kum,60.5,56.7,Adana,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:33% / stil_2:60% / stil_3:7% / stil_4:0%,33,60,7,0,15,stil_2,
MADAME SCARLET,6. Koşu,6.72,2000,Kum,61.0,55.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/6/stiller,stil_1:25% / stil_2:42% / stil_3:33% / stil_4:0%,25,42,33,0,24,stil_2,
