at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
MONOMOY GIRL,1. Koşu,6.24,1200,Kum,61.0,61.0,Diyarbakır,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:5% / stil_2:19% / stil_3:62% / stil_4:14%,5,19,62,14,21,stil_3,
AY ÇÖLÜ,1. Koşu,6.40,1200,Kum,53.5,58.0,Diyarbakır,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:36% / stil_2:46% / stil_3:16% / stil_4:2%,36,46,16,2,50,stil_2,
ELİF IN MY HEART,1. Koşu,6.98,1400,Sentetik,60.0,57.4,Antalya,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:29% / stil_2:4% / stil_3:62% / stil_4:4%,29,4,62,4,24,stil_3,
HENAIRE,1. Koşu,7.06,1200,Kum,57.5,58.0,Elazığ,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:3% / stil_2:0% / stil_3:29% / stil_4:68%,3,0,29,68,34,stil_4,
MY MOON,1. Koşu,7.07,1900,Kum,54.5,56.3,Adana,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:0% / stil_2:10% / stil_3:70% / stil_4:20%,0,10,70,20,10,stil_3,
TEZGAHTAR NEBAHAT,1. Koşu,7.22,2000,Kum,61.0,60.0,Şanlıurfa,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:13% / stil_2:40% / stil_3:47% / stil_4:0%,13,40,47,0,15,stil_3,
ARES CAT,1. Koşu,7.27,1300,Kum,58.0,59.2,Şanlıurfa,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:58% / stil_2:21% / stil_3:11% / stil_4:11%,58,21,11,11,19,stil_1,
BOHEMIA,1. Koşu,7.47,1700,Kum,61.0,57.5,Elazığ,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:23% / stil_2:47% / stil_3:30% / stil_4:0%,23,47,30,0,30,stil_2,
HOT WARRIOR,1. Koşu,7.64,1700,Kum,52.0,53.2,Elazığ,ok,https://yenibeygir.com/25-04-2026/diyarbakir/1/stiller,stil_1:25% / stil_2:69% / stil_3:6% / stil_4:0%,25,69,6,0,16,stil_2,
UMUDUM DENİZ,2. Koşu,7.51,1200,Kum,60.0,55.0,Diyarbakır,ok,https://yenibeygir.com/25-04-2026/diyarbakir/2/stiller,stil_1:18% / stil_2:14% / stil_3:55% / stil_4:14%,18,14,55,14,22,stil_3,
