at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,not
MONOMOY GIRL,1. Koşu,6.75,1800,Kum,61.0,52.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=MONOMOY+GIRL,,HTTP Error 404: Not Found
OĞUZ BAŞKAN,1. Koşu,6.75,1200,Kum,57.0,53.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=O%C4%9EUZ+BA%C5%9EKAN,,HTTP Error 404: Not Found
AFTER LION,1. Koşu,6.84,2000,Kum,60.0,56.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=AFTER+LION,,HTTP Error 404: Not Found
JİNORA,1. Koşu,7.16,1400,Kum,52.5,55.4,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=J%C4%B0NORA,,HTTP Error 404: Not Found
CHİKYU,1. Koşu,7.19,1900,Kum,55.0,57.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=CH%C4%B0KYU,,HTTP Error 404: Not Found
PROMISE ME DELIGHT,1. Koşu,7.23,1200,Sentetik,58.0,55.0,Antalya,error,https://www.yenibeygir.com/arama?q=PROMISE+ME+DELIGHT,,HTTP Error 404: Not Found
AY ÇÖLÜ,1. Koşu,7.39,1700,Kum,58.0,55.0,Elazığ,error,https://www.yenibeygir.com/arama?q=AY+%C3%87%C3%96L%C3%9C,,HTTP Error 404: Not Found
BLACK STONE,1. Koşu,7.40,1900,Kum,58.5,58.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=BLACK+STONE,,HTTP Error 404: Not Found
PEANUT GIRL,1. Koşu,7.55,1200,Kum,53.5,60.5,Elazığ,error,https://www.yenibeygir.com/arama?q=PEANUT+GIRL,,HTTP Error 404: Not Found
DREAMFYRE,2. Koşu,6.59,1300,Kum,56.0,55.8,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=DREAMFYRE,,HTTP Error 404: Not Found
VICTORY STAR,2. Koşu,6.92,1400,Kum,54.0,57.0,Adana,error,https://www.yenibeygir.com/arama?q=VICTORY+STAR,,<urlopen error [WinError 10054] Varolan bir bağlantı uzaktaki bir ana bilgisayar tarafından zorla kapatıldı>
TELGRAF,2. Koşu,6.97,1400,Kum,55.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=TELGRAF,,HTTP Error 404: Not Found
FIRST BREATH,2. Koşu,6.98,1300,Kum,55.0,54.2,Adana,error,https://www.yenibeygir.com/arama?q=FIRST+BREATH,,HTTP Error 404: Not Found
KIZIM RABİA,2. Koşu,7.13,1300,Kum,55.0,55.6,Adana,error,https://www.yenibeygir.com/arama?q=KIZIM+RAB%C4%B0A,,HTTP Error 404: Not Found
CEMO CAN,2. Koşu,7.14,1200,Kum,55.0,60.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=CEMO+CAN,,HTTP Error 404: Not Found
FANTASTIC FLAME,2. Koşu,7.22,1900,Kum,54.0,56.5,Adana,error,https://www.yenibeygir.com/arama?q=FANTASTIC+FLAME,,HTTP Error 404: Not Found
NOVA SUN,2. Koşu,7.40,1900,Kum,55.0,59.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=NOVA+SUN,,HTTP Error 404: Not Found
UTKUN CAN,2. Koşu,7.55,1900,Kum,55.0,56.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=UTKUN+CAN,,HTTP Error 404: Not Found
CRIMSON DANCER,2. Koşu,7.60,1800,Kum,55.0,57.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=CRIMSON+DANCER,,<urlopen error [WinError 10054] Varolan bir bağlantı uzaktaki bir ana bilgisayar tarafından zorla kapatıldı>
