at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
KAÇAR ÜLFET,1. Koşu,7.78,1300,Kum,55.5,58.0,Şanlıurfa,ok,https://yenibeygir.com/22-04-2026/elazig/1/stiller,stil_1:4% / stil_2:19% / stil_3:50% / stil_4:27%,4,19,50,27,26,stil_3,
ESKİ KALELİ,1. Koşu,7.94,2000,Kum,58.5,56.5,Elazığ,ok,https://yenibeygir.com/22-04-2026/elazig/1/stiller,stil_1:21% / stil_2:42% / stil_3:37% / stil_4:0%,21,42,37,0,38,stil_2,
BAŞ ALP,1. Koşu,8.01,2000,Kum,60.5,57.5,Elazığ,ok,https://yenibeygir.com/22-04-2026/elazig/1/stiller,stil_1:17% / stil_2:45% / stil_3:38% / stil_4:0%,17,45,38,0,77,stil_2,
GÖKKARA,1. Koşu,8.02,1700,Kum,58.5,57.5,Elazığ,ok,https://yenibeygir.com/22-04-2026/elazig/1/stiller,stil_1:53% / stil_2:34% / stil_3:13% / stil_4:0%,53,34,13,0,77,stil_1,
PEKALP,1. Koşu,8.22,2100,Kum,57.5,57.0,Şanlıurfa,ok,https://yenibeygir.com/22-04-2026/elazig/1/stiller,stil_1:4% / stil_2:20% / stil_3:33% / stil_4:43%,4,20,33,43,49,stil_4,
SÜRGÜNBATUR,1. Koşu,8.98,1700,Kum,54.5,55.5,Elazığ,ok,https://yenibeygir.com/22-04-2026/elazig/1/stiller,stil_1:3% / stil_2:56% / stil_3:31% / stil_4:9%,3,56,31,9,32,stil_2,
KING ANCESTOR,2. Koşu,6.56,1800,Kum,50.5,56.7,Şanlıurfa,ok,https://yenibeygir.com/22-04-2026/elazig/2/stiller,stil_1:21% / stil_2:43% / stil_3:36% / stil_4:0%,21,43,36,0,14,stil_2,
VAN KALESİ,2. Koşu,6.70,1500,Kum,51.5,57.8,Adana,ok,https://yenibeygir.com/22-04-2026/elazig/2/stiller,stil_1:29% / stil_2:7% / stil_3:57% / stil_4:7%,29,7,57,7,14,stil_3,
LEGANDARY WARRIOR,2. Koşu,6.73,1500,Kum,52.5,56.9,Adana,ok,https://yenibeygir.com/22-04-2026/elazig/2/stiller,stil_1:44% / stil_2:33% / stil_3:22% / stil_4:0%,44,33,22,0,9,stil_1,
BOSKO,2. Koşu,6.83,2100,Kum,50.0,51.7,Antalya,ok,https://yenibeygir.com/22-04-2026/elazig/2/stiller,stil_1:16% / stil_2:53% / stil_3:32% / stil_4:0%,16,53,32,0,19,stil_2,
