at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
SILVEN,1. Koşu,6.88,1800,Kum,52.0,57.0,Şanlıurfa,ok,https://yenibeygir.com/21-04-2026/elazig/1/stiller,stil_1:11% / stil_2:56% / stil_3:33% / stil_4:0%,11,56,33,0,9,stil_2,
GREEN GÖLE,1. Koşu,7.06,1500,Kum,62.5,60.5,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/1/stiller,stil_1:8% / stil_2:12% / stil_3:50% / stil_4:31%,8,12,50,31,26,stil_3,
JUNIOR CURA,1. Koşu,7.13,1500,Kum,55.5,54.5,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/1/stiller,stil_1:6% / stil_2:41% / stil_3:53% / stil_4:0%,6,41,53,0,17,stil_3,
FOÇA STORM,1. Koşu,7.21,2000,Kum,63.0,57.5,Şanlıurfa,ok,https://yenibeygir.com/21-04-2026/elazig/1/stiller,stil_1:34% / stil_2:60% / stil_3:6% / stil_4:0%,34,60,6,0,65,stil_2,
MELİS HANIM,1. Koşu,7.22,1500,Kum,62.5,61.0,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/1/stiller,stil_1:24% / stil_2:49% / stil_3:27% / stil_4:0%,24,49,27,0,45,stil_2,
BAY WIND,1. Koşu,7.45,1900,Kum,52.0,57.0,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/1/stiller,stil_1:80% / stil_2:20% / stil_3:0% / stil_4:0%,80,20,0,0,5,stil_1,
YİĞİT KHAN,2. Koşu,6.55,1400,Kum,58.5,58.0,Şanlıurfa,ok,https://yenibeygir.com/21-04-2026/elazig/2/stiller,stil_1:0% / stil_2:23% / stil_3:38% / stil_4:38%,0,23,38,38,26,stil_3,
BATIMERT,2. Koşu,6.75,1400,Kum,57.5,61.0,Şanlıurfa,ok,https://yenibeygir.com/21-04-2026/elazig/2/stiller,stil_1:31% / stil_2:40% / stil_3:27% / stil_4:2%,31,40,27,2,45,stil_2,
YOU ARE JUST FINE,2. Koşu,6.77,1200,Kum,59.5,58.0,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/2/stiller,stil_1:0% / stil_2:0% / stil_3:18% / stil_4:82%,0,0,18,82,38,stil_4,
GARONOR,2. Koşu,6.84,1200,Kum,59.6,63.0,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/2/stiller,stil_1:21% / stil_2:41% / stil_3:33% / stil_4:4%,21,41,33,4,75,stil_2,
SEASMOKE,2. Koşu,6.90,1800,Kum,57.0,54.0,Şanlıurfa,ok,https://yenibeygir.com/21-04-2026/elazig/2/stiller,stil_1:22% / stil_2:33% / stil_3:33% / stil_4:11%,22,33,33,11,9,stil_2,
KURTULUŞ ANADOLU,2. Koşu,6.96,1900,Kum,58.5,63.0,Elazığ,ok,https://yenibeygir.com/21-04-2026/elazig/2/stiller,stil_1:18% / stil_2:14% / stil_3:41% / stil_4:27%,18,14,41,27,22,stil_3,
