at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
AKSÖZ,2. Koşu,6.69,1400,Kum,59.5,57.4,Şanlıurfa,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:20% / stil_2:40% / stil_3:40% / stil_4:0%,20,40,40,0,15,stil_2,
DOĞUYURT,2. Koşu,6.83,1400,Çim,55.0,59.5,Ankara,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:69% / stil_2:12% / stil_3:19% / stil_4:0%,69,12,19,0,16,stil_1,
MİRZA BEY,2. Koşu,6.84,1500,Sentetik,54.5,57.3,Antalya,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:4% / stil_2:8% / stil_3:23% / stil_4:65%,4,8,23,65,26,stil_4,
ORÇUNTAY,2. Koşu,6.86,1500,Kum,59.5,60.0,Adana,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:50% / stil_2:35% / stil_3:15% / stil_4:0%,50,35,15,0,26,stil_1,
SANPMAN,2. Koşu,6.87,1900,Çim,54.1,55.0,İstanbul,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:3% / stil_2:8% / stil_3:31% / stil_4:58%,3,8,31,58,36,stil_4,
HIZLI VEYSEL,2. Koşu,6.91,1200,Kum,61.0,57.6,Bursa,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:7% / stil_2:43% / stil_3:43% / stil_4:7%,7,43,43,7,30,stil_2,
BLUEMOON,2. Koşu,6.91,1400,Sentetik,55.5,52.8,İstanbul,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:5% / stil_2:14% / stil_3:48% / stil_4:33%,5,14,48,33,21,stil_3,
ÇELİKGİLLER,2. Koşu,6.92,1900,Çim,55.5,58.0,İstanbul,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:40% / stil_2:10% / stil_3:40% / stil_4:10%,40,10,40,10,20,stil_1,
OLGUNADAM,2. Koşu,6.96,2200,Sentetik,54.9,62.5,Antalya,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:35% / stil_2:44% / stil_3:16% / stil_4:5%,35,44,16,5,43,stil_2,
LUSİA,2. Koşu,6.97,2000,Kum,63.0,57.3,İstanbul,ok,https://yenibeygir.com/24-04-2026/istanbul/2/stiller,stil_1:35% / stil_2:37% / stil_3:28% / stil_4:0%,35,37,28,0,54,stil_2,
