at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
KAPTANPAŞALI,1. Koşu,7.24,1900,Kum,50.0,52.4,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:16% / stil_2:32% / stil_3:47% / stil_4:5%,16,32,47,5,19,stil_3,
ABUZER BABA,1. Koşu,7.26,1900,Kum,57.0,57.5,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:0% / stil_2:36% / stil_3:57% / stil_4:7%,0,36,57,7,14,stil_3,
ÖZGÜNALP,1. Koşu,7.30,2000,Sentetik,59.5,56.5,İstanbul,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:52% / stil_2:28% / stil_3:21% / stil_4:0%,52,28,21,0,29,stil_1,
AFŞINTAY,1. Koşu,7.31,1400,Kum,60.0,60.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:20% / stil_2:31% / stil_3:48% / stil_4:1%,20,31,48,1,75,stil_3,
GARİPLERBEYİ,1. Koşu,7.33,2100,Kum,54.0,60.5,Bursa,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:25% / stil_2:25% / stil_3:39% / stil_4:11%,25,25,39,11,28,stil_3,
GÜRSELHAN,1. Koşu,7.34,1400,Kum,57.5,57.5,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:31% / stil_2:29% / stil_3:37% / stil_4:3%,31,29,37,3,59,stil_3,
SEMEND BATUR,1. Koşu,7.35,2000,Kum,60.0,60.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:27% / stil_2:60% / stil_3:13% / stil_4:0%,27,60,13,0,15,stil_2,
TÜRKAN HANIM,1. Koşu,7.38,1900,Kum,60.0,61.5,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:41% / stil_2:41% / stil_3:16% / stil_4:2%,41,41,16,2,56,stil_1,
ŞİFNE EFESİ,1. Koşu,7.38,1400,Kum,58.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:10% / stil_2:20% / stil_3:47% / stil_4:24%,10,20,47,24,131,stil_3,
ÖZGÜNSULTAN,1. Koşu,7.54,1700,Çim,58.5,54.4,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:66% / stil_2:29% / stil_3:6% / stil_4:0%,66,29,6,0,35,stil_1,
ASTEKPORT,1. Koşu,7.56,1700,Çim,54.0,53.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:62% / stil_2:27% / stil_3:12% / stil_4:0%,62,27,12,0,26,stil_1,
SARSALA,1. Koşu,7.64,1400,Kum,58.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:17% / stil_2:41% / stil_3:41% / stil_4:2%,17,41,41,2,54,stil_2,
TUNA KALESİ,1. Koşu,7.96,1900,Kum,50.5,52.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/1/stiller,stil_1:7% / stil_2:7% / stil_3:48% / stil_4:37%,7,7,48,37,27,stil_3,
POP ART,2. Koşu,6.06,1200,Kum,52.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:67% / stil_3:33% / stil_4:0%,0,67,33,0,3,stil_2,
QUEEN TUANA,2. Koşu,6.06,1200,Kum,52.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,2,stil_3,
SINGLE GUN,2. Koşu,6.10,1400,Kum,58.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:60% / stil_3:40% / stil_4:0%,0,60,40,0,5,stil_2,
KARPATINO,2. Koşu,6.13,1400,Kum,60.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:14% / stil_2:29% / stil_3:57% / stil_4:0%,14,29,57,0,7,stil_3,
VOSCO,2. Koşu,6.16,1600,Kum,54.0,58.3,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:50% / stil_2:50% / stil_3:0% / stil_4:0%,50,50,0,0,2,stil_1,
FIRST MAY,2. Koşu,6.18,1800,Çim,55.0,55.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:14% / stil_2:14% / stil_3:71% / stil_4:0%,14,14,71,0,7,stil_3,
KRAL AYVALIK,2. Koşu,6.21,1900,Kum,61.0,54.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:12% / stil_3:75% / stil_4:12%,0,12,75,12,8,stil_3,
BEŞ ON SEKİZ,2. Koşu,6.23,1800,Çim,58.0,56.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:40% / stil_3:20% / stil_4:40%,0,40,20,40,5,stil_2,
NIGHT RUNNER,2. Koşu,6.27,1800,Çim,58.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:33% / stil_2:0% / stil_3:67% / stil_4:0%,33,0,67,0,3,stil_3,
OJO TURCO,2. Koşu,6.31,1400,Sentetik,52.0,57.4,Antalya,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:67% / stil_3:33% / stil_4:0%,0,67,33,0,3,stil_2,
POWER OF SISTERS,2. Koşu,6.33,1200,Kum,56.0,56.6,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:67% / stil_3:33% / stil_4:0%,0,67,33,0,3,stil_2,
DATÇA RÜZGARI,2. Koşu,6.59,1600,Kum,56.0,54.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/2/stiller,stil_1:0% / stil_2:20% / stil_3:60% / stil_4:20%,0,20,60,20,5,stil_3,
REGAL BELLE,3. Koşu,6.05,1400,Kum,51.0,60.0,Antalya,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:0% / stil_2:55% / stil_3:45% / stil_4:0%,0,55,45,0,11,stil_2,
CANTALOUPE,3. Koşu,6.09,2000,Çim,57.5,55.2,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:8% / stil_2:35% / stil_3:50% / stil_4:8%,8,35,50,8,52,stil_3,
MAKUL,3. Koşu,6.11,1400,Kum,58.5,55.8,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:17% / stil_2:12% / stil_3:29% / stil_4:41%,17,12,29,41,41,stil_4,
TYATIR,3. Koşu,6.12,2000,Çim,57.5,55.8,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:4% / stil_2:12% / stil_3:68% / stil_4:16%,4,12,68,16,25,stil_3,
GEL KIZIM,3. Koşu,6.23,1800,Çim,57.5,56.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:0% / stil_2:12% / stil_3:24% / stil_4:64%,0,12,24,64,42,stil_4,
ALWAYS SPARKLE,3. Koşu,6.33,1400,Kum,56.0,56.5,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:8% / stil_2:33% / stil_3:58% / stil_4:0%,8,33,58,0,12,stil_3,
OX STRIKE,3. Koşu,6.41,1900,Çim,56.0,56.2,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:13% / stil_2:13% / stil_3:67% / stil_4:7%,13,13,67,7,15,stil_3,
CRAZYGOLD,3. Koşu,6.41,1900,Kum,56.0,52.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:20% / stil_2:48% / stil_3:32% / stil_4:0%,20,48,32,0,25,stil_2,
MAKA MAKA,3. Koşu,6.41,1600,Kum,56.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:27% / stil_2:0% / stil_3:55% / stil_4:18%,27,0,55,18,11,stil_3,
DOBRA KIZ,3. Koşu,6.41,1900,Kum,57.5,53.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:25% / stil_2:5% / stil_3:50% / stil_4:20%,25,5,50,20,20,stil_3,
ENTITY,3. Koşu,6.54,1200,Çim,56.0,54.3,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:0% / stil_2:15% / stil_3:31% / stil_4:54%,0,15,31,54,13,stil_4,
MUĞLALI VARGAS,3. Koşu,6.72,2100,Kum,60.0,58.0,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/3/stiller,stil_1:3% / stil_2:32% / stil_3:35% / stil_4:29%,3,32,35,29,34,stil_3,
DARK MONEY,4. Koşu,6.17,1200,Kum,50.0,52.8,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/4/stiller,stil_1:20% / stil_2:0% / stil_3:40% / stil_4:40%,20,0,40,40,10,stil_3,
TOROS EXPRESS,4. Koşu,6.18,2000,Çim,61.0,55.8,İzmir,ok,https://yenibeygir.com/25-04-2026/izmir/4/stiller,stil_1:5% / stil_2:14% / stil_3:81% / stil_4:0%,5,14,81,0,21,stil_3,
MANDACAN,4. Koşu,6.18,1700,Sentetik,61.5,61.0,Antalya,ok,https://yenibeygir.com/25-04-2026/izmir/4/stiller,stil_1:4% / stil_2:24% / stil_3:68% / stil_4:4%,4,24,68,4,79,stil_3,
