at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,not
FIREBLADE,1. Koşu,6.38,1400,Kum,52.5,55.3,İzmir,error,https://www.yenibeygir.com/arama?q=FIREBLADE,,HTTP Error 404: Not Found
DAUGHTER OF GODDES,1. Koşu,6.39,1200,Kum,51.0,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=DAUGHTER+OF+GODDES,,HTTP Error 404: Not Found
MAGIC BANK,1. Koşu,6.43,1400,Kum,58.5,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=MAGIC+BANK,,HTTP Error 404: Not Found
OLAYIN ASLI,1. Koşu,6.45,1200,Kum,52.5,60.0,İzmir,error,https://www.yenibeygir.com/arama?q=OLAYIN+ASLI,,HTTP Error 404: Not Found
DUBLIN DREAM,1. Koşu,6.48,1700,Sentetik,50.0,54.0,Antalya,error,https://www.yenibeygir.com/arama?q=DUBLIN+DREAM,,HTTP Error 404: Not Found
TIZ A BELLA,1. Koşu,6.49,1400,Kum,57.5,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=TIZ+A+BELLA,,HTTP Error 404: Not Found
NO BRAKES,1. Koşu,6.50,1600,Kum,54.0,56.5,İzmir,error,https://www.yenibeygir.com/arama?q=NO+BRAKES,,HTTP Error 404: Not Found
MADAM ANAHİT,1. Koşu,6.51,1600,Kum,51.5,54.3,İzmir,error,https://www.yenibeygir.com/arama?q=MADAM+ANAH%C4%B0T,,HTTP Error 404: Not Found
PERFECT WHITE,1. Koşu,6.62,2000,Kum,52.0,59.0,İzmir,error,https://www.yenibeygir.com/arama?q=PERFECT+WHITE,,HTTP Error 404: Not Found
KOLOSTRUM,1. Koşu,6.82,2000,Kum,50.0,51.0,İzmir,error,https://www.yenibeygir.com/arama?q=KOLOSTRUM,,HTTP Error 404: Not Found
LE ROI DANSE,3. Koşu,5.99,1900,Kum,50.0,57.5,İzmir,error,https://www.yenibeygir.com/arama?q=LE+ROI+DANSE,,HTTP Error 404: Not Found
AEGEAN QUEEN,3. Koşu,6.06,1400,Kum,55.5,56.1,İzmir,error,https://www.yenibeygir.com/arama?q=AEGEAN+QUEEN,,HTTP Error 404: Not Found
QUANTUM OF SOLACE,3. Koşu,6.11,1600,Kum,59.0,58.0,İzmir,error,https://www.yenibeygir.com/arama?q=QUANTUM+OF+SOLACE,,HTTP Error 404: Not Found
ATOMİC FORCE,3. Koşu,6.11,1600,Kum,50.0,59.0,İzmir,error,https://www.yenibeygir.com/arama?q=ATOM%C4%B0C+FORCE,,HTTP Error 404: Not Found
LA BOMBONERA,3. Koşu,6.13,1400,Kum,57.5,51.0,İzmir,error,https://www.yenibeygir.com/arama?q=LA+BOMBONERA,,HTTP Error 404: Not Found
BÜLENT,3. Koşu,6.15,1200,Sentetik,61.0,59.0,Antalya,error,https://www.yenibeygir.com/arama?q=B%C3%9CLENT,,HTTP Error 404: Not Found
BERİD,3. Koşu,6.16,1900,Kum,55.5,59.5,İzmir,error,https://www.yenibeygir.com/arama?q=BER%C4%B0D,,HTTP Error 404: Not Found
MANCUNIAN BEDİİ,3. Koşu,6.21,1600,Kum,58.0,57.5,İzmir,error,https://www.yenibeygir.com/arama?q=MANCUNIAN+BED%C4%B0%C4%B0,,HTTP Error 404: Not Found
HUMAN TORCH,3. Koşu,6.23,1400,Kum,51.0,60.0,İzmir,error,https://www.yenibeygir.com/arama?q=HUMAN+TORCH,,HTTP Error 404: Not Found
CAN SADİ,3. Koşu,6.27,1400,Kum,53.5,59.0,İzmir,error,https://www.yenibeygir.com/arama?q=CAN+SAD%C4%B0,,HTTP Error 404: Not Found
EASTERN EXPRESS,3. Koşu,6.40,2400,Çim,51.0,58.5,İzmir,error,https://www.yenibeygir.com/arama?q=EASTERN+EXPRESS,,HTTP Error 404: Not Found
ÇİFTÇİ,3. Koşu,6.42,1900,Kum,50.0,57.7,İzmir,error,https://www.yenibeygir.com/arama?q=%C3%87%C4%B0FT%C3%87%C4%B0,,HTTP Error 404: Not Found
SON ELÇİ,3. Koşu,6.49,2100,Kum,50.0,52.0,İzmir,error,https://www.yenibeygir.com/arama?q=SON+EL%C3%87%C4%B0,,HTTP Error 404: Not Found
İMGE TAY,4. Koşu,6.67,2000,Çim,55.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=%C4%B0MGE+TAY,,HTTP Error 404: Not Found
MİKSER,4. Koşu,6.67,1200,Çim,52.0,54.5,İzmir,error,https://www.yenibeygir.com/arama?q=M%C4%B0KSER,,HTTP Error 404: Not Found
ŞAH DRAGON,4. Koşu,6.68,2100,Kum,60.0,57.5,Bursa,error,https://www.yenibeygir.com/arama?q=%C5%9EAH+DRAGON,,HTTP Error 404: Not Found
JÖN ROME,4. Koşu,6.69,2000,Kum,53.5,58.0,İzmir,error,https://www.yenibeygir.com/arama?q=J%C3%96N+ROME,,HTTP Error 404: Not Found
ÖZGÜNSULTAN,4. Koşu,6.71,1400,Kum,53.0,59.0,İzmir,error,https://www.yenibeygir.com/arama?q=%C3%96ZG%C3%9CNSULTAN,,HTTP Error 404: Not Found
KATI ZEYNEL,4. Koşu,6.73,1200,Çim,59.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=KATI+ZEYNEL,,HTTP Error 404: Not Found
KOŞAN NUR,4. Koşu,6.73,1400,Sentetik,56.0,58.5,İstanbul,error,https://www.yenibeygir.com/arama?q=KO%C5%9EAN+NUR,,HTTP Error 404: Not Found
UZUN TAY,4. Koşu,6.74,1900,Çim,57.0,52.9,İzmir,error,https://www.yenibeygir.com/arama?q=UZUN+TAY,,HTTP Error 404: Not Found
SUFLE,4. Koşu,6.74,1900,Çim,56.0,54.5,İzmir,error,https://www.yenibeygir.com/arama?q=SUFLE,,HTTP Error 404: Not Found
TURBO KING,4. Koşu,6.80,1200,Çim,60.0,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=TURBO+KING,,HTTP Error 404: Not Found
ASTEKPORT,4. Koşu,6.82,1400,Sentetik,52.0,58.0,Antalya,error,https://www.yenibeygir.com/arama?q=ASTEKPORT,,HTTP Error 404: Not Found
PONÇİKTAY,4. Koşu,7.02,2000,Kum,50.5,57.2,Antalya,error,https://www.yenibeygir.com/arama?q=PON%C3%87%C4%B0KTAY,,HTTP Error 404: Not Found
VODA,4. Koşu,7.22,1400,Kum,50.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=VODA,,HTTP Error 404: Not Found
NALDÖKENLİ,4. Koşu,7.31,2000,Kum,55.0,59.5,İzmir,error,https://www.yenibeygir.com/arama?q=NALD%C3%96KENL%C4%B0,,HTTP Error 404: Not Found
WAR STORM,5. Koşu,6.15,1900,Kum,54.0,55.9,İzmir,error,https://www.yenibeygir.com/arama?q=WAR+STORM,,HTTP Error 404: Not Found
PHANTOM STRIKE,5. Koşu,6.23,2000,Kum,57.0,58.5,İzmir,error,https://www.yenibeygir.com/arama?q=PHANTOM+STRIKE,,HTTP Error 404: Not Found
PATPAT,5. Koşu,6.26,1800,Çim,58.0,61.0,İzmir,error,https://www.yenibeygir.com/arama?q=PATPAT,,HTTP Error 404: Not Found
PERFECTION,5. Koşu,6.26,1800,Çim,54.0,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=PERFECTION,,HTTP Error 404: Not Found
STRONG WIND,5. Koşu,6.30,1800,Çim,52.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=STRONG+WIND,,HTTP Error 404: Not Found
LAST FORCE,5. Koşu,6.31,1200,Kum,53.0,55.5,İzmir,error,https://www.yenibeygir.com/arama?q=LAST+FORCE,,HTTP Error 404: Not Found
BURNING HEART,5. Koşu,6.34,2000,Kum,56.0,53.1,İzmir,error,https://www.yenibeygir.com/arama?q=BURNING+HEART,,HTTP Error 404: Not Found
AHUU ATA,6. Koşu,6.50,1400,Kum,56.5,59.0,İzmir,error,https://www.yenibeygir.com/arama?q=AHUU+ATA,,HTTP Error 404: Not Found
BELKIS ANA,6. Koşu,6.54,1400,Sentetik,59.5,57.0,İstanbul,error,https://www.yenibeygir.com/arama?q=BELKIS+ANA,,HTTP Error 404: Not Found
YAŞARSERAP,6. Koşu,6.58,2100,Sentetik,59.5,60.5,Antalya,error,https://www.yenibeygir.com/arama?q=YA%C5%9EARSERAP,,HTTP Error 404: Not Found
KIVILCIM ATEŞİ,6. Koşu,6.64,1900,Kum,61.0,58.0,İzmir,error,https://www.yenibeygir.com/arama?q=KIVILCIM+ATE%C5%9E%C4%B0,,HTTP Error 404: Not Found
GÜLERYÜZ,6. Koşu,6.64,1400,Kum,54.0,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=G%C3%9CLERY%C3%9CZ,,HTTP Error 404: Not Found
SİLAHLIKIZ,6. Koşu,6.66,1400,Kum,55.5,53.5,İzmir,error,https://www.yenibeygir.com/arama?q=S%C4%B0LAHLIKIZ,,HTTP Error 404: Not Found
KURŞUNİLİ,6. Koşu,6.75,1900,Çim,55.5,58.0,Ankara,error,https://www.yenibeygir.com/arama?q=KUR%C5%9EUN%C4%B0L%C4%B0,,HTTP Error 404: Not Found
ANEMON ÇİÇEĞİ,6. Koşu,6.76,1200,Çim,55.5,55.0,İzmir,error,https://www.yenibeygir.com/arama?q=ANEMON+%C3%87%C4%B0%C3%87E%C4%9E%C4%B0,,HTTP Error 404: Not Found
ERVANUR,6. Koşu,6.77,1200,Çim,55.5,53.5,İzmir,error,https://www.yenibeygir.com/arama?q=ERVANUR,,HTTP Error 404: Not Found
HAS CEYLAN,6. Koşu,6.92,1400,Sentetik,55.5,53.0,Antalya,error,https://www.yenibeygir.com/arama?q=HAS+CEYLAN,,HTTP Error 404: Not Found
DESTE KIZIM,6. Koşu,6.97,1400,Sentetik,55.5,60.5,Antalya,error,https://www.yenibeygir.com/arama?q=DESTE+KIZIM,,HTTP Error 404: Not Found
HUMAY KIZIM,6. Koşu,7.53,2000,Kum,55.5,50.5,İzmir,error,https://www.yenibeygir.com/arama?q=HUMAY+KIZIM,,HTTP Error 404: Not Found
YENİBEY,7. Koşu,6.52,1900,Kum,57.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=YEN%C4%B0BEY,,HTTP Error 404: Not Found
TİMBİRBİKE,7. Koşu,6.52,1400,Kum,52.0,58.5,Bursa,error,https://www.yenibeygir.com/arama?q=T%C4%B0MB%C4%B0RB%C4%B0KE,,HTTP Error 404: Not Found
HADİYE,7. Koşu,6.56,2000,Kum,54.0,57.5,İzmir,error,https://www.yenibeygir.com/arama?q=HAD%C4%B0YE,,HTTP Error 404: Not Found
SERHUNEFE,7. Koşu,6.65,1500,Sentetik,54.0,60.0,Antalya,error,https://www.yenibeygir.com/arama?q=SERHUNEFE,,HTTP Error 404: Not Found
GÖKHİSAR,7. Koşu,6.66,1200,Sentetik,52.0,60.0,Antalya,error,https://www.yenibeygir.com/arama?q=G%C3%96KH%C4%B0SAR,,HTTP Error 404: Not Found
DEMİRNAL,7. Koşu,6.67,1600,Kum,56.0,55.5,İzmir,error,https://www.yenibeygir.com/arama?q=DEM%C4%B0RNAL,,HTTP Error 404: Not Found
KAYAŞAH,7. Koşu,6.75,1300,Sentetik,54.0,56.0,Antalya,error,https://www.yenibeygir.com/arama?q=KAYA%C5%9EAH,,HTTP Error 404: Not Found
YILDIZ SULTAN,7. Koşu,6.77,1200,Kum,50.0,51.0,İzmir,error,https://www.yenibeygir.com/arama?q=YILDIZ+SULTAN,,HTTP Error 404: Not Found
EL HAT,7. Koşu,6.79,1600,Kum,50.0,52.8,İzmir,error,https://www.yenibeygir.com/arama?q=EL+HAT,,HTTP Error 404: Not Found
ANADOLU MUHAFIZI,7. Koşu,6.85,1900,Kum,54.0,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=ANADOLU+MUHAFIZI,,HTTP Error 404: Not Found
SALTO,7. Koşu,6.86,1600,Kum,55.0,55.1,İzmir,error,https://www.yenibeygir.com/arama?q=SALTO,,HTTP Error 404: Not Found
AKSELBEYİM,7. Koşu,6.87,1900,Çim,58.0,54.0,İzmir,error,https://www.yenibeygir.com/arama?q=AKSELBEY%C4%B0M,,HTTP Error 404: Not Found
ŞAMPİYON GÜMBÜR,7. Koşu,6.88,1400,Kum,50.0,59.5,İzmir,error,https://www.yenibeygir.com/arama?q=%C5%9EAMP%C4%B0YON+G%C3%9CMB%C3%9CR,,HTTP Error 404: Not Found
ÇIK BİTİR KIZIM,7. Koşu,7.24,1900,Kum,50.0,56.0,İzmir,error,https://www.yenibeygir.com/arama?q=%C3%87IK+B%C4%B0T%C4%B0R+KIZIM,,HTTP Error 404: Not Found
THE BIG BANG,8. Koşu,5.82,1600,Kum,53.0,58.0,İzmir,error,https://www.yenibeygir.com/arama?q=THE+BIG+BANG,,HTTP Error 404: Not Found
LOVE WAY,8. Koşu,5.90,1200,Çim,54.0,52.9,İzmir,error,https://www.yenibeygir.com/arama?q=LOVE+WAY,,HTTP Error 404: Not Found
GUTSHOT,8. Koşu,5.91,1900,Çim,53.0,62.0,İzmir,error,https://www.yenibeygir.com/arama?q=GUTSHOT,,HTTP Error 404: Not Found
THUNDER JEST,8. Koşu,5.91,1400,Kum,53.0,53.5,İzmir,error,https://www.yenibeygir.com/arama?q=THUNDER+JEST,,HTTP Error 404: Not Found
TIZ A ROCKET,8. Koşu,5.94,1300,Çim,54.0,55.5,İzmir,error,https://www.yenibeygir.com/arama?q=TIZ+A+ROCKET,,HTTP Error 404: Not Found
MİRALAYIM,8. Koşu,5.96,1200,Sentetik,57.0,59.0,Antalya,error,https://www.yenibeygir.com/arama?q=M%C4%B0RALAYIM,,HTTP Error 404: Not Found
DARK CLOUD,8. Koşu,5.97,1800,Çim,52.0,53.1,İzmir,error,https://www.yenibeygir.com/arama?q=DARK+CLOUD,,HTTP Error 404: Not Found
MUĞLALI ADNAN,8. Koşu,5.98,1400,Kum,59.0,53.1,İzmir,error,https://www.yenibeygir.com/arama?q=MU%C4%9ELALI+ADNAN,,HTTP Error 404: Not Found
DUYARLI,8. Koşu,5.99,1400,Kum,58.0,60.0,İzmir,error,https://www.yenibeygir.com/arama?q=DUYARLI,,HTTP Error 404: Not Found
KEEN EYE,8. Koşu,6.00,1200,Sentetik,57.0,59.0,Antalya,error,https://www.yenibeygir.com/arama?q=KEEN+EYE,,HTTP Error 404: Not Found
BEULIEU,8. Koşu,6.02,1400,Kum,55.0,54.7,İzmir,error,https://www.yenibeygir.com/arama?q=BEULIEU,,HTTP Error 404: Not Found
BORN FOR GLORY,8. Koşu,6.05,1400,Kum,56.0,55.7,İzmir,error,https://www.yenibeygir.com/arama?q=BORN+FOR+GLORY,,HTTP Error 404: Not Found
MEDGIDIA,8. Koşu,6.10,1400,Kum,54.0,50.5,İzmir,error,https://www.yenibeygir.com/arama?q=MEDGIDIA,,HTTP Error 404: Not Found
ENTITY,8. Koşu,6.12,1700,Çim,54.0,53.0,İzmir,error,https://www.yenibeygir.com/arama?q=ENTITY,,HTTP Error 404: Not Found
