at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
NOBLE STORM,1. Koşu,6.28,1200,Kum,57.0,58.0,Antalya,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:33% / stil_2:67% / stil_3:0% / stil_4:0%,33,67,0,0,3,stil_2,
VENUS DOOM,1. Koşu,6.33,2000,Sentetik,56.0,54.5,İstanbul,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:22% / stil_2:56% / stil_3:22% / stil_4:0%,22,56,22,0,9,stil_2,
AGUA REGIA,1. Koşu,6.34,1400,Kum,56.0,58.0,Bursa,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:0% / stil_2:0% / stil_3:67% / stil_4:33%,0,0,67,33,3,stil_3,
SWEET VICTORY,1. Koşu,6.38,1400,Sentetik,56.2,58.0,Antalya,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:0% / stil_2:50% / stil_3:0% / stil_4:50%,0,50,0,50,2,stil_2,
KAREEM BUGHRA,1. Koşu,6.41,1400,Kum,57.5,56.0,İstanbul,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:0% / stil_2:15% / stil_3:15% / stil_4:69%,0,15,15,69,13,stil_4,
MY REBELLIOUS GIRL,1. Koşu,6.49,1500,Kum,56.2,56.0,Kocaeli,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:22% / stil_2:35% / stil_3:39% / stil_4:4%,22,35,39,4,23,stil_3,
DESESPERADOS,1. Koşu,6.50,1200,Kum,58.5,58.0,İzmir,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:20% / stil_2:8% / stil_3:60% / stil_4:12%,20,8,60,12,25,stil_3,
SİHİRLİ JOVANKA,1. Koşu,6.54,1800,Kum,56.5,54.5,Kocaeli,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:7% / stil_2:13% / stil_3:47% / stil_4:33%,7,13,47,33,15,stil_3,
CERKO LIPA,1. Koşu,6.55,1400,Kum,52.0,56.0,İstanbul,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:50% / stil_2:0% / stil_3:50% / stil_4:0%,50,0,50,0,4,stil_1,
GÜNÜN ASLANI,1. Koşu,6.63,2000,Kum,56.5,58.0,Antalya,ok,https://yenibeygir.com/21-04-2026/kocaeli/1/stiller,stil_1:50% / stil_2:33% / stil_3:17% / stil_4:0%,50,33,17,0,6,stil_1,
VARLIK EFESİ,2. Koşu,7.02,2000,Kum,60.5,56.5,İzmir,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:12% / stil_2:17% / stil_3:71% / stil_4:0%,12,17,71,0,24,stil_3,
KARAKURT BEYİ,2. Koşu,7.10,2100,Kum,57.2,57.5,Bursa,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:21% / stil_2:50% / stil_3:26% / stil_4:2%,21,50,26,2,42,stil_2,
CANMETE,2. Koşu,7.26,1900,Kum,60.5,59.0,İzmir,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:34% / stil_2:50% / stil_3:16% / stil_4:0%,34,50,16,0,58,stil_2,
SAĞLAMCAN,2. Koşu,7.26,1900,Kum,60.5,60.5,İzmir,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:4% / stil_2:13% / stil_3:51% / stil_4:33%,4,13,51,33,55,stil_3,
LE PATRON,2. Koşu,7.27,1900,Kum,55.5,59.5,Adana,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:40% / stil_2:38% / stil_3:23% / stil_4:0%,40,38,23,0,48,stil_1,
UFKUN ÖTESİ,2. Koşu,7.65,1900,Kum,54.7,53.7,İzmir,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:10% / stil_2:19% / stil_3:68% / stil_4:3%,10,19,68,3,59,stil_3,
SİYAH PENÇE,2. Koşu,7.66,2200,Kum,56.5,59.1,Adana,ok,https://yenibeygir.com/21-04-2026/kocaeli/2/stiller,stil_1:11% / stil_2:52% / stil_3:37% / stil_4:0%,11,52,37,0,27,stil_2,
