horse_id,horse_name,horse_age,start_no,horse_weight,handicap_weight,career_total_races,career_avg_finish,career_avg_time,last_race_days_ago,last_3_avg_finish,last_5_avg_finish,last_3_avg_time,last_5_avg_time,last_6_races,track_type_races,track_type_avg_time,distance_races,distance_avg_finish,distance_avg_time,ganyan,agf,kgs,jockey_id,jockey_name,trainer_id,trainer_name,owner_id,owner_name,father_id,father_name,mother_id,mother_name,prediction_score,predicted_rank
105779,GRİNGO,4y k  a,5,51,40,10,4.6,97.81,5,2.6666666666666665,4.0,125.43666666666667,115.26200000000001,6420-21,5,108.06,2,3.0,140.17,4.5,14.0,12,1346,HAK.YILDIZ,2351,Ö.F.TAN,11428,CEM ÖZBELGE,34712,DİLİRAN,34081,KADRUŞ,400.33333333333337,1
107551,ÖZGÜNALP,4y a  a,8,59,56,21,4.14,101.89,5,2.3333333333333335,3.4,129.71666666666667,120.12600000000002,266-451,9,102.47,1,1.0,137.72,2.35,29.0,6,2500,M.S.ÇELİK,2882,M.DOLAK,9155,SEMİH KATI,12285,ÖZGÜNHAN,21836,ÜLKÜNUR,389.46666666666664,2
104870,ARAM SAMSAM,4y d  a,11DSTercihli Start,"58,5",55,13,4.69,92.1,5,6.0,6.0,114.68666666666667,103.66999999999999,8375-40,5,108.67,1,3.0,138.14,5.5,13.0,16,889,A.KURŞUN,2838,E.Y.İYİDÖNER,10745,SELDA KARACA METİN,29205,BABA MEVLÜT,26272,RABİA,384.05,3
111346,SÜKANBEY,4y a  a,7,"57,5",53,16,3.81,92.22,5,5.333333333333333,5.0,107.78666666666668,103.338,13547-5,1,138.41,1,4.0,138.41,3.15,13.0,13,2493,E.ÇANKAYA,2889,MER.KORKMAZ,12505,BEDİH ZAMAN,22949,ANKA,22957,ÖZDİLBER,364.1166666666667,4
105472,BİÇERGİLLER,4y a  a,9,50,38,10,6.7,109.48,5,6.333333333333333,6.8,127.2,117.032,24100-5,2,139.25,2,3.5,139.25,21.2,4.0,15,3060,E.KORKMAZ,862,S.ÖZGEZER,7600,ÖNDER BAHAR,36074,BİÇER,35273,FERZİNE,363.1666666666667,5
104577,BELALI CİBEK,4y k  a,10DSTercihli Start,57,58,21,5.43,92.85,5,6.0,6.8,109.42,109.16000000000001,2497-18,4,105.86,1,9.0,147.23,10.65,4.0,21,3068,R.KETME,1614,E.ÇETİNKURT,7334,VEYSİ KABAL,30573,SAKARBAŞI,22324,AHKAM,359.85,6
107545,KIVIRCIKKIZ,4y a k,1,"55,5",49,26,5.15,91.91,5,5.666666666666667,5.4,112.76333333333332,111.20600000000002,504-673,5,107.2,1,7.0,143.03,8.55,5.0,13,1101,MAH.TURAN,690,MEH.AKKUŞ,20683,FERAT ÖZKAN,12285,ÖZGÜNHAN,22993,HIZ TUTKUNU,342.0833333333333,7
106939,ZIMBA GİBİ,4y a  a,3,50,36,18,5.94,89.54,5,5.333333333333333,5.4,120.49000000000001,102.43,37831-4,5,101.31,2,7.5,139.33,,12.0,14,1265,AH.ARSLAN,2962,ADN.POLAT,17864,CUMA TUMBUL,36828,BUMBAİ,28751,BERKTEK,341.9666666666667,8
111361,YALNIZ TURBO,4y k  a,2,53,50,14,5.21,92.75,5,8.0,8.0,113.52666666666669,109.28800000000001,7206-07,4,98.56,1,6.0,141.23,23.9,2.0,13,2970,A.METİN,3067,ENG.ALTIN,18223,MUHANNAD DARAVSHA,17027,TURBO,31143,BARAVA GÜLÜ,325.95,9
107075,ENGÜRÜ,4y a  a,6,50,35,19,6.58,102.66,5,6.666666666666667,8.4,126.08999999999999,127.346,100-057,10,108.13,2,6.5,141.45,10.3,2.0,7,3097,F.YÜCEL,441,H.R.YEŞİLBUDAK,21367,İBRAHİM ENGİN,36620,ŞÜKRÜ,37208,ALARAGÜLÜ,313.4333333333333,10
107377,KAYAŞAH,4y k  a,4,53,46,19,7.11,96.54,5,9.0,7.8,128.35666666666665,114.974,181-006,7,107.47,2,10.5,145.01,24.25,2.0,7,3105,SERH.ÇELİK,3086,RAM. KAYA,1448,KAYA KAYA,33144,AYTİGİN HAN,28104,İZMİRGÜLÜ,249.45,11
