at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,ALTINBORA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106715/altinbora,106715
2,BİLDENCAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106101/bildencan,106101
3,GÜMÜŞÇELİK,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105889/gumuscelik,105889
4,HIZLI MARTI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106070/hizli-marti,106070
5,KOŞ ARTUN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105566/kos-artun,105566
6,OBSİDYEN TAŞI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105997/obsidyen-tasi,105997
7,RÜZGARLIHAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106087/ruzgarlihan,106087
8,CAN HİLALİM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105902/can-hilalim,105902
9,ÇATALCALI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105696/catalcali,105696
10,EZDAR GÜLÜ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106278/ezdar-gulu,106278
11,FİRİYOZA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105758/firiyoza,105758
12,REYHANLI GÜZEL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105720/reyhanli-guzel,105720
13,SIRÇA KÖŞK,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105458/sirca-kosk,105458
14,ÜLFET ŞEKERİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105691/ulfet-sekeri,105691
1,OĞUZBEYİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %27, on-grup %47, onde %0.",4/15 (27%) | 4/15 (27%) | 7/15 (47%) | 0/15 (0%),4/15 (27%),4/15 (27%),7/15 (47%),0/15 (0%),https://yenibeygir.com/at/102298/oguzbeyi,102298
2,SADIKEFE,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %22, on-grup %44, onde %33.",0/9 (0%) | 2/9 (22%) | 4/9 (44%) | 3/9 (33%),0/9 (0%),2/9 (22%),4/9 (44%),3/9 (33%),https://yenibeygir.com/at/102501/sadikefe,102501
3,TAHT ALAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %27, on-grup %65, onde %4.",1/26 (4%) | 7/26 (27%) | 17/26 (65%) | 1/26 (4%),1/26 (4%),7/26 (27%),17/26 (65%),1/26 (4%),https://yenibeygir.com/at/101264/taht-alan,101264
4,BÖRÜTAY,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %33, on-grup %47, onde %0.",3/15 (20%) | 5/15 (33%) | 7/15 (47%) | 0/15 (0%),3/15 (20%),5/15 (33%),7/15 (47%),0/15 (0%),https://yenibeygir.com/at/102147/borutay,102147
5,BABAGÜNTAY,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %50, on-grup %10, onde %0.",4/10 (40%) | 5/10 (50%) | 1/10 (10%) | 0/10 (0%),4/10 (40%),5/10 (50%),1/10 (10%),0/10 (0%),https://yenibeygir.com/at/101086/babaguntay,101086
6,TOSTOS TUĞRUL,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %46, on-grup %42, onde %0.",3/24 (12%) | 11/24 (46%) | 10/24 (42%) | 0/24 (0%),3/24 (12%),11/24 (46%),10/24 (42%),0/24 (0%),https://yenibeygir.com/at/102908/tostos-tugrul,102908
7,DEDE SOYLU,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %7, on-grup %79, onde %7.",1/14 (7%) | 1/14 (7%) | 11/14 (79%) | 1/14 (7%),1/14 (7%),1/14 (7%),11/14 (79%),1/14 (7%),https://yenibeygir.com/at/101721/dede-soylu,101721
8,KARA MAHO,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %46, on-grup %31, onde %4.",5/26 (19%) | 12/26 (46%) | 8/26 (31%) | 1/26 (4%),5/26 (19%),12/26 (46%),8/26 (31%),1/26 (4%),https://yenibeygir.com/at/103555/kara-maho,103555
9,AKSU BABA,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %25, onde %75.",0/4 (0%) | 0/4 (0%) | 1/4 (25%) | 3/4 (75%),0/4 (0%),0/4 (0%),1/4 (25%),3/4 (75%),https://yenibeygir.com/at/101538/aksu-baba,101538
1,ATAKAYA HÜKÜMDARI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105852/atakaya-hukumdari,105852
2,CEMİYET HAYATI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105648/cemiyet-hayati,105648
3,ÇELİK ŞAHİN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105849/celik-sahin,105849
4,FIRTINA VEYSİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105478/firtina-veysi,105478
5,KARANIN OĞLU,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105722/karanin-oglu,105722
6,NESİH AĞA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105646/nesih-aga,105646
7,PAYZİROBA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105873/payziroba,105873
8,AYSEL HANIM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105650/aysel-hanim,105650
9,BESRİCAN KIZI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105692/besrican-kizi,105692
10,BİLDENKIZIM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105674/bildenkizim,105674
