at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,ÇAKIR FURKAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105712/cakir-furkan,105712
2,FELAKET,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106233/felaket,106233
3,IBAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105891/iban,105891
4,KING BALDWIN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106394/king-baldwin,106394
5,TAFO IS BACK,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106213/tafo-is-back,106213
6,BERNAMCAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105842/bernamcan,105842
7,EWER OF SWEET,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105861/ewer-of-sweet,105861
8,PRENSES FEHİME,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106561/prenses-fehime,106561
1,MY ARES,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %58, onde %42.",0/12 (0%) | 0/12 (0%) | 7/12 (58%) | 5/12 (42%),0/12 (0%),0/12 (0%),7/12 (58%),5/12 (42%),Sulu,,2.72,https://yenibeygir.com/at/103162/my-ares,103162
2,KARDAHA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %18, on-grup %73, onde %0.",1/11 (9%) | 2/11 (18%) | 8/11 (73%) | 0/11 (0%),1/11 (9%),2/11 (18%),8/11 (73%),0/11 (0%),,,0.92,https://yenibeygir.com/at/103440/kardaha,103440
