Kosu,Sira,At,Stil 1,Stil 2,Stil Skoru,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,MERYEM SULTAN,Takipçi,Orta Grup,1,7.070,0.989,0.989,Düşük Tempo,0.334866,
1. Koşu,2,BOHEMIA,,,0,6.690,0.936,0.000,Düşük Tempo,0.089686,
1. Koşu,3,MONOMOY GIRL,,,0,6.690,0.936,0.000,Düşük Tempo,0.089686,
1. Koşu,4,GILDED REFLECTION,,,0,6.920,0.968,0.000,Düşük Tempo,0.086705,
1. Koşu,5,BEYOND THE SEA,,,0,7.070,0.989,0.000,Düşük Tempo,0.084866,
1. Koşu,6,STORMY RIVER,,,0,7.100,0.993,0.000,Düşük Tempo,0.084507,
1. Koşu,7,DENİZ SESİ,,,0,7.410,1.037,0.000,Düşük Tempo,0.080972,
1. Koşu,8,SWIFT PASSING,,,0,7.810,1.092,0.000,Düşük Tempo,0.076825,
1. Koşu,9,FOÇA STORM,Orta Grup,Sprinter,-1,7.580,1.060,-1.060,Düşük Tempo,-0.220844,
2. Koşu,1,TAMİKO,,,0,6.830,0.960,0.000,Düşük Tempo,0.087848,
2. Koşu,2,MOONLIGHT GRACE,,,0,6.960,0.978,0.000,Düşük Tempo,0.086207,
2. Koşu,3,DÜŞES,,,0,7.000,0.984,0.000,Düşük Tempo,0.085714,
2. Koşu,4,CANDIA,,,0,7.100,0.998,0.000,Düşük Tempo,0.084507,
2. Koşu,5,LUXUARY,,,0,7.114,1.000,0.000,Düşük Tempo,0.084344,
2. Koşu,6,ULTIMATE POWER,,,0,7.180,1.009,0.000,Düşük Tempo,0.083565,
2. Koşu,7,HELLO KUTTY,,,0,7.220,1.015,0.000,Düşük Tempo,0.083102,
2. Koşu,8,FUTURE BREEZE,,,0,7.250,1.019,0.000,Düşük Tempo,0.082759,
2. Koşu,9,HEYLİ VEYLİ,,,0,7.370,1.036,0.000,Düşük Tempo,0.081411,
3. Koşu,1,TAHT ALAN,Takipçi,,1,7.630,1.019,1.019,Düşük Tempo,0.328637,
3. Koşu,2,DENİZ KASIRGASI,,,0,7.190,0.960,0.000,Düşük Tempo,0.083449,
3. Koşu,3,HERZAMAN,,,0,7.250,0.968,0.000,Düşük Tempo,0.082759,
3. Koşu,4,PERVARİ,,,0,7.260,0.970,0.000,Düşük Tempo,0.082645,
3. Koşu,5,BİZİMSOY,,,0,7.380,0.986,0.000,Düşük Tempo,0.081301,
3. Koşu,6,BERHAN BEYLİ,,,0,7.400,0.988,0.000,Düşük Tempo,0.081081,
3. Koşu,7,TAM BİR SAVAŞÇI,,,0,7.460,0.996,0.000,Düşük Tempo,0.080429,
3. Koşu,8,SEYRANTAY,,,0,7.680,1.026,0.000,Düşük Tempo,0.078125,
3. Koşu,9,AĞASAÇAN,,,0,7.700,1.028,0.000,Düşük Tempo,0.077922,
3. Koşu,10,AL BENZE,,,0,7.930,1.059,0.000,Düşük Tempo,0.075662,
4. Koşu,1,SON YAĞIZ,,,0,7.470,0.951,0.000,Düşük Tempo,0.080321,
4. Koşu,2,DERBEDER ALİ,,,0,7.540,0.960,0.000,Düşük Tempo,0.079576,
4. Koşu,3,KRALDOĞAN,,,0,7.640,0.973,0.000,Düşük Tempo,0.078534,
4. Koşu,4,ÇILGIN HEME,,,0,7.730,0.984,0.000,Düşük Tempo,0.077620,
4. Koşu,5,SON AKTAŞ,,,0,7.790,0.992,0.000,Düşük Tempo,0.077022,
4. Koşu,6,LORD ŞAHI,,,0,7.840,0.998,0.000,Düşük Tempo,0.076531,
4. Koşu,7,GÜVENABİ,,,0,7.910,1.007,0.000,Düşük Tempo,0.075853,
4. Koşu,8,ALTIN SAAD,,,0,8.020,1.021,0.000,Düşük Tempo,0.074813,
4. Koşu,9,ŞAHTAYIM,,,0,8.750,1.114,0.000,Düşük Tempo,0.068571,
4. Koşu,10,PALA SALİH,Sprinter,Orta Grup,-1,7.850,0.999,-0.999,Düşük Tempo,-0.423567,
5. Koşu,1,AKDAĞ FIRTINASI,Önde Kaçan,,2,8.000,1.052,2.104,Düşük Tempo,0.575000,
5. Koşu,2,PAYİDAR KAYA,,,0,7.400,0.973,0.000,Düşük Tempo,0.081081,
5. Koşu,3,ZEKAİBEY,,,0,7.420,0.976,0.000,Düşük Tempo,0.080863,
5. Koşu,4,HİLVANLIOĞLU,,,0,7.450,0.980,0.000,Düşük Tempo,0.080537,
5. Koşu,5,KRALCEVHERİ,,,0,7.540,0.992,0.000,Düşük Tempo,0.079576,
5. Koşu,6,GİRDABIN OĞLU,,,0,7.540,0.992,0.000,Düşük Tempo,0.079576,
5. Koşu,7,TARGUTAY,,,0,7.540,0.992,0.000,Düşük Tempo,0.079576,
5. Koşu,8,DÖRTNALBEYİ,,,0,7.590,0.998,0.000,Düşük Tempo,0.079051,
5. Koşu,9,HALİM AĞA,,,0,7.680,1.010,0.000,Düşük Tempo,0.078125,
5. Koşu,10,CİNDERELLA,,,0,7.780,1.023,0.000,Düşük Tempo,0.077121,
5. Koşu,11,GÖKKARA,,,0,7.930,1.043,0.000,Düşük Tempo,0.075662,
5. Koşu,12,SARRAFTAY,Orta Grup,Sprinter,-1,7.370,0.969,-0.969,Düşük Tempo,-0.218589,
6. Koşu,1,SEMENDHAN,,,0,7.300,0.954,0.000,Düşük Tempo,0.082192,
6. Koşu,2,YETİM AMCA,,,0,7.510,0.981,0.000,Düşük Tempo,0.079893,
6. Koşu,3,ESSANCAR,,,0,7.540,0.985,0.000,Düşük Tempo,0.079576,
6. Koşu,4,KÜÇÜKCEVER,,,0,7.560,0.988,0.000,Düşük Tempo,0.079365,
6. Koşu,5,ÇAPUTHAN,,,0,7.610,0.994,0.000,Düşük Tempo,0.078844,
6. Koşu,6,CAN YAKUP,,,0,8.410,1.099,0.000,Düşük Tempo,0.071344,
7. Koşu,1,DREAMFYRE,,,0,6.900,0.969,0.000,Düşük Tempo,0.086957,
7. Koşu,2,MIGHTYAQUSTIC,,,0,6.950,0.976,0.000,Düşük Tempo,0.086331,
7. Koşu,3,LIGHT OF HOPE,,,0,6.980,0.980,0.000,Düşük Tempo,0.085960,
7. Koşu,4,FERZANA,,,0,7.100,0.997,0.000,Düşük Tempo,0.084507,
7. Koşu,5,NAGAOKA,,,0,7.100,0.997,0.000,Düşük Tempo,0.084507,
7. Koşu,6,BECENEZAMANI,,,0,7.150,1.004,0.000,Düşük Tempo,0.083916,
