Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,ÇAKIR FURKAN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,2,FELAKET,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,3,IBAN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,4,KING BALDWIN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,5,TAFO IS BACK,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,6,BERNAMCAN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,7,EWER OF SWEET,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,8,PRENSES FEHİME,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
2. Koşu,1,KING OF THE FIELD,Takipçi,,6.340,1.072,0.675,Yüksek Tempo,0.442836,1.952
2. Koşu,2,ASİLSİMA,Takipçi,,6.420,1.059,0.672,Yüksek Tempo,0.441339,1.926
2. Koşu,3,KARDAHA,Takipçi,,6.780,1.003,0.661,Yüksek Tempo,0.435036,1.813
2. Koşu,4,KING YAKUP,Takipçi,,7.120,0.955,0.651,Yüksek Tempo,0.429668,1.717
2. Koşu,5,MY ARES,Takipçi,Önde Kaçan,6.660,1.021,1.498,Yüksek Tempo,0.417074,1.608
2. Koşu,6,WARRIOR MAN,Takipçi,Orta Grup,6.840,0.994,0.567,Yüksek Tempo,0.329475,1.795
2. Koşu,7,METE KOÇ BEY,Takipçi,,7.260,0.936,0.556,Yüksek Tempo,0.318550,1.680
2. Koşu,8,SEYYİT BEY,Sprinter,Takipçi,6.800,1.000,-0.624,Yüksek Tempo,0.308773,2.000
2. Koşu,9,RAHAT OLL,Önde Kaçan,,6.970,0.975,1.369,Yüksek Tempo,-0.027453,1.548
3. Koşu,1,LION ROBERO,Takipçi,Orta Grup,6.920,1.003,0.661,Yüksek Tempo,0.500032,1.814
3. Koşu,2,UZUN ALİ,Takipçi,,6.710,1.035,0.667,Yüksek Tempo,0.433459,1.877
3. Koşu,3,ÜNLÜ AĞAM,Takipçi,,7.180,0.967,0.653,Yüksek Tempo,0.425995,1.741
3. Koşu,4,INFORMACTION,Takipçi,Orta Grup,6.780,1.024,0.665,Yüksek Tempo,0.422315,1.855
3. Koşu,5,CHARLIE BROWN,Takipçi,Orta Grup,7.170,0.968,0.653,Yüksek Tempo,0.416177,1.744
3. Koşu,6,ÜÇNUR,Takipçi,Sprinter,6.820,1.018,0.048,Yüksek Tempo,0.412487,2.022
3. Koşu,7,SUPERLINE,Takipçi,Önde Kaçan,6.540,1.062,1.517,Yüksek Tempo,0.337503,1.689
3. Koşu,8,BLACK FIG,Takipçi,Önde Kaçan,6.960,0.997,1.487,Yüksek Tempo,0.328764,1.561
3. Koşu,9,MERYEM SULTAN,Takipçi,Orta Grup,7.270,0.955,0.560,Yüksek Tempo,0.305601,1.717
3. Koşu,10,HAMİDİN,Orta Grup,Takipçi,6.730,1.032,0.400,Yüksek Tempo,0.264884,1.948
3. Koşu,11,TEK OZANIM,Sprinter,,6.942,1.000,-1.020,Yüksek Tempo,0.144425,2.000
3. Koşu,12,BEYOND THE SEA,Orta Grup,Sprinter,6.970,0.996,-0.526,Yüksek Tempo,0.040681,1.992
3. Koşu,13,REEZ,Orta Grup,Sprinter,7.260,0.956,-0.519,Yüksek Tempo,-0.042209,1.913
4. Koşu,1,KRALCEVHERİ,Takipçi,Orta Grup,7.290,1.070,0.675,Yüksek Tempo,0.505129,1.947
4. Koşu,2,DEBDEBE,Takipçi,,7.670,1.017,0.663,Yüksek Tempo,0.422997,1.841
4. Koşu,3,HER DAİM,Takipçi,,7.680,1.015,0.663,Yüksek Tempo,0.422864,1.838
4. Koşu,4,ZEKAİBEY,Takipçi,,8.240,0.946,0.649,Yüksek Tempo,0.415936,1.700
4. Koşu,5,ÇELİK SEMEND,Takipçi,Orta Grup,8.650,0.901,0.550,Yüksek Tempo,0.299292,1.610
4. Koşu,6,UTKAN,Önde Kaçan,Takipçi,7.520,1.037,1.797,Yüksek Tempo,0.080482,1.556
4. Koşu,7,ZAFERE GEL,Önde Kaçan,Takipçi,7.670,1.017,1.785,Yüksek Tempo,0.077730,1.515
4. Koşu,8,PALA SALİH,Sprinter,Orta Grup,7.630,1.022,-1.027,Yüksek Tempo,0.038678,2.044
4. Koşu,9,YUSUF KAPTAN,Sprinter,Orta Grup,7.820,0.997,-1.019,Yüksek Tempo,0.037505,1.994
5. Koşu,1,RÜZGAR AGAH,Takipçi,,6.650,1.047,0.670,Yüksek Tempo,0.517569,1.902
5. Koşu,2,MY BRAVE SON,Takipçi,Orta Grup,6.750,1.032,0.667,Yüksek Tempo,0.439675,1.871
5. Koşu,3,NIGHT KING,Takipçi,Orta Grup,6.790,1.026,0.665,Yüksek Tempo,0.439007,1.859
5. Koşu,4,SERREŞ,Orta Grup,Takipçi,6.910,1.008,0.397,Yüksek Tempo,0.368895,1.900
5. Koşu,5,GARNCHO,Takipçi,Önde Kaçan,6.480,1.075,1.523,Yüksek Tempo,0.342014,1.715
5. Koşu,6,AZİZ GEÇGELHAT,Takipçi,,6.950,1.002,0.568,Yüksek Tempo,0.323354,1.812
5. Koşu,7,SON OF ANCESTOR,Takipçi,,6.964,1.000,0.568,Yüksek Tempo,0.323138,1.808
5. Koşu,8,SYNDICATION,Orta Grup,Takipçi,6.900,1.009,0.342,Yüksek Tempo,0.263483,1.903
5. Koşu,9,KING OF RACE,Sprinter,Orta Grup,6.760,1.030,-1.030,Yüksek Tempo,0.041607,2.060
5. Koşu,10,KING FERİT,Önde Kaçan,,6.740,1.033,1.395,Yüksek Tempo,-0.021893,1.664
5. Koşu,11,PAŞA SEYDO,Önde Kaçan,Takipçi,8.710,0.800,1.430,Yüksek Tempo,-0.066568,1.081
6. Koşu,1,RAND ROWER,Takipçi,,6.690,1.041,0.668,Orta Tempo,0.431948,
6. Koşu,2,DAR SOKAK,Takipçi,,6.850,1.016,0.663,Orta Tempo,0.429275,
6. Koşu,3,ROTA SHOW,Takipçi,,7.100,0.981,0.656,Orta Tempo,0.425340,
6. Koşu,4,PIRATE OF THE SEA,Takipçi,,7.240,0.962,0.652,Orta Tempo,0.423255,
6. Koşu,5,ORTAK GÜÇ,Takipçi,Orta Grup,6.640,1.048,0.670,Orta Tempo,0.414098,
6. Koşu,6,SELANİK PRENSİ,Takipçi,Orta Grup,6.790,1.025,0.665,Orta Tempo,0.411552,
6. Koşu,7,ANADOLU LİDERİ,Orta Grup,Takipçi,6.820,1.021,0.399,Orta Tempo,0.326583,
6. Koşu,8,WAR COMANDER,Takipçi,Sprinter,7.290,0.955,0.041,Orta Tempo,0.313751,
6. Koşu,9,BOGOTA,Orta Grup,Takipçi,6.720,1.036,0.401,Orta Tempo,0.248126,
6. Koşu,10,DEMİRKURT,Orta Grup,Takipçi,7.020,0.992,0.395,Orta Tempo,0.243628,
6. Koşu,11,KING OVA,Orta Grup,Takipçi,7.110,0.979,0.393,Orta Tempo,0.242353,
6. Koşu,12,LUKA MAGIC,Orta Grup,,7.180,0.970,0.000,Orta Tempo,0.132331,
6. Koşu,13,KUTUP KIZI,Sprinter,,6.740,1.033,-1.031,Orta Tempo,0.083855,
6. Koşu,14,VOICE OF REASON,Orta Grup,,7.040,0.989,0.000,Orta Tempo,0.054049,
6. Koşu,15,ENDLESS TIME,Sprinter,Orta Grup,7.200,0.967,-0.868,Orta Tempo,-0.024471,
7. Koşu,1,BECENE REİS,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,2,KING MAHMUT,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,3,LORD OF KİRVE,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,4,MY NOBLE SON,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,5,SON CESİ,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,6,DAUGHTER OF VICTOR,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,7,IRRITABLE GIRL,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,8,USLU TAY,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
8. Koşu,1,ADEN KRALİÇESİ,Takipçi,,7.720,1.041,0.669,Orta Tempo,0.418822,
8. Koşu,2,LALIBELA,Takipçi,,7.820,1.027,0.666,Orta Tempo,0.417516,
8. Koşu,3,MALKOÇ FATİH,Takipçi,Sprinter,7.610,1.056,0.049,Orta Tempo,0.414140,
8. Koşu,4,KARYAĞDIRAN,Takipçi,Sprinter,7.840,1.025,0.048,Orta Tempo,0.411703,
8. Koşu,5,Bİ ANKA,Takipçi,,8.560,0.939,0.557,Orta Tempo,0.379746,
8. Koşu,6,MUŞARDAĞI,Takipçi,Orta Grup,8.360,0.961,0.561,Orta Tempo,0.359678,
8. Koşu,7,KOCA SABRİ,Orta Grup,Takipçi,7.950,1.011,0.397,Orta Tempo,0.226762,
8. Koşu,8,CAN YAKUP,Orta Grup,Takipçi,7.770,1.034,0.344,Orta Tempo,0.203258,
8. Koşu,9,KIYI,Takipçi,Önde Kaçan,8.890,0.904,1.241,Orta Tempo,0.182137,
8. Koşu,10,TOSTOS TUĞRUL,Orta Grup,Takipçi,7.840,1.025,0.343,Orta Tempo,0.122446,
8. Koşu,11,KIVIRCIK MEMET,Orta Grup,,7.850,1.024,0.000,Orta Tempo,0.118609,
8. Koşu,12,MUTWAKEL,Sprinter,,7.810,1.029,-0.885,Orta Tempo,0.072912,
8. Koşu,13,SON AKTAŞ,Sprinter,Orta Grup,7.790,1.031,-0.886,Orta Tempo,0.050838,
8. Koşu,14,KARACA DÜNYA,Orta Grup,Sprinter,8.680,0.926,-0.514,Orta Tempo,0.015789,
