At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
ALTINBORA,,geçersiz,,,57,,,1,106715,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106715/altinbora,bulundu
BİLDENCAN,,geçersiz,,,57,,,2,106101,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106101/bildencan,bulundu
GÜMÜŞÇELİK,,geçersiz,,,55,,,3,105889,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105889/gumuscelik,bulundu
HIZLI MARTI,,geçersiz,,,53,,,4,106070,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106070/hizli-marti,bulundu
KOŞ ARTUN,,geçersiz,,,57,,,5,105566,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105566/kos-artun,bulundu
OBSİDYEN TAŞI,,geçersiz,,,57,,,6,105997,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105997/obsidyen-tasi,bulundu
RÜZGARLIHAN,,geçersiz,,,56,,,7,106087,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106087/ruzgarlihan,bulundu
CAN HİLALİM,,geçersiz,,,55,,,8,105902,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105902/can-hilalim,bulundu
ÇATALCALI,,geçersiz,,,54,,,9,105696,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105696/catalcali,bulundu
EZDAR GÜLÜ,,geçersiz,,,54,,,10,106278,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106278/ezdar-gulu,bulundu
FİRİYOZA,,geçersiz,,,55,,,11,105758,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105758/firiyoza,bulundu
REYHANLI GÜZEL,,geçersiz,,,55,,,12,105720,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105720/reyhanli-guzel,bulundu
SIRÇA KÖŞK,,geçersiz,,,55,,,13,105458,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105458/sirca-kosk,bulundu
ÜLFET ŞEKERİ,,geçersiz,,,55,,,14,105691,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105691/ulfet-sekeri,bulundu
,2. Koşu,,,,,,,,,,,,,,
SADIKEFE,,7.68,1200,Kum,58.5,55.6,Şanlıurfa,2,102501,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %22, on-grup %44, onde %33.",0/9 (0%) | 2/9 (22%) | 4/9 (44%) | 3/9 (33%),https://yenibeygir.com/at/102501/sadikefe,bulundu
KARA MAHO,,7.77,1800,Kum,52,55.3,Şanlıurfa,8,103555,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %46, on-grup %31, onde %4.",5/26 (19%) | 12/26 (46%) | 8/26 (31%) | 1/26 (4%),https://yenibeygir.com/at/103555/kara-maho,bulundu
BÖRÜTAY,,7.78,1800,Kum,57,59.5,Şanlıurfa,4,102147,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %33, on-grup %47, onde %0.",3/15 (20%) | 5/15 (33%) | 7/15 (47%) | 0/15 (0%),https://yenibeygir.com/at/102147/borutay,bulundu
BABAGÜNTAY,,7.78,1800,Kum,53.5,55,Şanlıurfa,5,101086,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %50, on-grup %10, onde %0.",4/10 (40%) | 5/10 (50%) | 1/10 (10%) | 0/10 (0%),https://yenibeygir.com/at/101086/babaguntay,bulundu
OĞUZBEYİ,,8.00,2000,Kum,60.5,61.5,Elazığ,1,102298,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %27, on-grup %47, onde %0.",4/15 (27%) | 4/15 (27%) | 7/15 (47%) | 0/15 (0%),https://yenibeygir.com/at/102298/oguzbeyi,bulundu
AKSU BABA,,8.11,1200,Kum,50.5,57.7,Elazığ,9,101538,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %25, onde %75.",0/4 (0%) | 0/4 (0%) | 1/4 (25%) | 3/4 (75%),https://yenibeygir.com/at/101538/aksu-baba,bulundu
