feature,importance
last_3_best_finish,0.24445973
last_5_std_finish,0.103911206
last_10_worst_finish,0.06026069
last_3_avg_time,0.02927118
form_length,0.028461536
last_10_avg_time,0.025096916
career_avg_time,0.0224156
last_5_avg_finish,0.020370243
last_5_top3_rate,0.020028997
last_3_worst_finish,0.019960871
last_5_best_finish,0.01976167
last_race_days_ago,0.017442867
last_3_top3_rate,0.01672927
last_3_std_finish,0.0165427
career_total_races,0.015686609
jockey_id,0.015450434
city_races,0.015155764
last_10_avg_finish,0.015145763
track_type_avg_time,0.014890988
last_3_win_rate,0.014469194
distance_races,0.014247232
last_5_avg_time,0.01294127
last_3_std_time,0.012749337
owner_id,0.0123494
mother_id,0.012204838
form_worst,0.012010726
form_avg,0.010091212
father_id,0.009894559
last_10_top3_rate,0.009449913
horse_age,0.009013972
form_best,0.008889877
track_type_races,0.008734681
ganyan,0.008691761
distance_variety,0.008486304
last_5_std_time,0.008324235
trainer_id,0.008215959
city_avg_finish,0.007851492
performance_trend,0.007432838
last_5_worst_finish,0.007114209
horse_weight,0.0069427337
handicap_weight,0.0068351473
last_3_avg_finish,0.0060346206
recent_form_trend,0.005900038
career_avg_finish,0.0056278324
last_10_std_time,0.0052546733
start_position,0.0052321428
kgs,0.005064186
ganyan_log,0.004909884
last_10_best_finish,0.0041713202
last_10_std_finish,0.003946278
distance_avg_time,0.0037459328
distance_avg_finish,0.0030472656
form_consistency,0.0029406867
last_10_win_rate,0.0020784116
total_weight,0.0019784654
agf,0.0013768679
total_track_experience,0.00070748746
last_5_win_rate,0.0
race_distance,0.0
is_favorite,0.0
races_last_30_days,0.0
races_last_60_days,0.0
races_last_90_days,0.0
race_city,0.0
race_track_type,0.0
