feature,importance
last_3_worst_finish,0.31388533
last_5_worst_finish,0.15948464
last_3_avg_finish,0.09424869
last_3_win_rate,0.033031095
last_3_best_finish,0.03169207
last_10_std_finish,0.023669869
last_5_win_rate,0.023444576
last_3_std_finish,0.01609987
last_5_avg_finish,0.0145326955
last_10_avg_time,0.013940085
father_id,0.01143126
last_5_std_finish,0.011302311
total_track_experience,0.01078913
track_type_avg_time,0.010660071
last_10_top3_rate,0.010050399
last_10_worst_finish,0.009837252
track_type_races,0.009776233
trainer_id,0.0092412345
last_5_std_time,0.008795059
last_10_std_time,0.008685761
last_race_days_ago,0.008492063
city_races,0.008465934
handicap_weight,0.008446177
mother_id,0.008082665
last_10_win_rate,0.007978992
last_5_top3_rate,0.0077859783
last_5_avg_time,0.007772171
distance_races,0.007636763
last_3_std_time,0.007559663
last_10_avg_finish,0.0074989786
performance_trend,0.0070858756
city_avg_finish,0.0069210418
last_3_avg_time,0.0065397373
owner_id,0.00652164
last_5_best_finish,0.0063620266
form_worst,0.0053813583
career_avg_time,0.0053008734
career_total_races,0.0047801477
career_avg_finish,0.0041211387
ganyan_log,0.0038967764
distance_variety,0.003345435
form_best,0.0033425859
last_10_best_finish,0.0033236234
form_avg,0.0030611688
form_consistency,0.003012186
horse_age,0.0029133589
form_length,0.0026741745
ganyan,0.0024218496
kgs,0.0022485657
distance_avg_finish,0.0020790137
total_weight,0.0019224084
distance_avg_time,0.0014243786
jockey_id,0.0012875841
agf,0.0012386359
race_distance,0.0010883715
recent_form_trend,0.0008840582
horse_weight,0.0008829011
start_position,0.00087424455
last_3_top3_rate,0.0007478133
is_favorite,0.0
races_last_30_days,0.0
races_last_60_days,0.0
races_last_90_days,0.0
race_city,0.0
race_track_type,0.0
